Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NAC,North America,AG.LND.FRST.K2,Forest area (sq. km),6.06470000000000E+06,,,,,,,,,,6.10330000000000E+06,,,,,6.12243000000000E+06,,,,,6.14157000000000E+06,
NAC,North America,AG.LND.FRST.ZS,Forest area (% of land area),3.32266448687633E+01,,,,,,,,,,3.34327007561565E+01,,,,,3.35374912081194E+01,,,,,3.36690791832456E+01,
NAC,North America,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.21900000000000E+07,-4.72000000000000E+06,-5.00000000000000E+06,-4.82000000000000E+06,-1.24800000000000E+07,-2.08000000000000E+06,-4.07000000000000E+06,-8.22000000000000E+06,5.50000000000000E+05,8.00000000000000E+04,6.00000000000000E+04,2.00000000000000E+04,2.00000000000000E+04,3.00000000000000E+04,9.00000000000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,
NAC,North America,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.21900000000000E+07,-4.72000000000000E+06,-5.00000000000000E+06,-4.82000000000000E+06,-1.24800000000000E+07,-2.08000000000000E+06,-4.07000000000000E+06,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,
NAC,North America,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),6.73087685024590E-04,-7.29188755948414E-05,-7.38494934970469E-05,-6.83165474931332E-05,-1.66591915618260E-04,-2.63027226339870E-05,-4.85425335080016E-05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,
NAC,North America,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.52050008198952E-01,-1.67843896038061E-02,-1.75380384137198E-02,-1.66889757438302E-02,-4.26959763371559E-02,-7.03430610797592E-03,-1.36062296839425E-02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,
NAC,North America,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),4.10525028984935E+00,4.05907588436712E+00,4.10465025131478E+00,4.14169521503922E+00,4.22894256415352E+00,4.28309322376498E+00,4.34080301118746E+00,4.48953349854855E+00,4.65332494028842E+00,4.75239012621604E+00,4.81867997163459E+00,4.96442760732962E+00,5.00832217786223E+00,5.09256225607659E+00,5.16624593250095E+00,5.29163275515765E+00,5.48874448986241E+00,5.50341594440210E+00,5.63025593705255E+00,,,
NAC,North America,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",2.43590507130004E+02,2.46361494213828E+02,2.43626116422388E+02,2.41447027866470E+02,2.36465732232087E+02,2.33476122922435E+02,2.30372121799290E+02,2.22740291463088E+02,2.14900101074398E+02,2.10420435494891E+02,2.07525713657382E+02,2.01433091404852E+02,1.99667666033986E+02,1.96364806106547E+02,1.93564149493732E+02,1.88977589010749E+02,1.82191027811001E+02,1.81705328127555E+02,1.77611819281434E+02,1.73268562686449E+02,,
NAC,North America,EN.ATM.CO2E.KT,CO2 emissions (kt),5.31135272000000E+06,5.31846820800000E+06,5.32358681600000E+06,5.62710891200000E+06,5.67328630400000E+06,5.67508166400000E+06,5.79081276800000E+06,5.95180892800000E+06,5.95813299200000E+06,6.03001334400000E+06,6.27463297600000E+06,6.15150425600000E+06,6.21163416000000E+06,6.23828243200000E+06,6.34734872000000E+06,6.39629609600000E+06,6.30046051200000E+06,6.38959097600000E+06,,,,
NAC,North America,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1.91417687751487E+01,1.89125513768068E+01,1.86730540155560E+01,1.94835444274396E+01,1.94091745023633E+01,1.91924334674699E+01,1.93589996506425E+01,1.96620070680725E+01,1.94606020000298E+01,1.94767089924764E+01,2.00465053605047E+01,1.94528509767497E+01,1.94582541829331E+01,1.93696354997115E+01,1.95240368383908E+01,1.94932617296933E+01,1.90170546727525E+01,1.90950659733429E+01,,,,
NAC,North America,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),4.48116193952415E+06,4.49450092181446E+06,4.49132290422129E+06,4.76265354727532E+06,4.82215621722837E+06,4.81935074933585E+06,4.92596437103890E+06,5.06253908075992E+06,5.07409911101534E+06,5.13859000402879E+06,5.31524438337896E+06,5.20810916147235E+06,5.26925273025632E+06,5.26342920350563E+06,5.36579785901817E+06,5.40081124869854E+06,5.32317042866682E+06,5.39551030274692E+06,,,,
NAC,North America,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
NAC,North America,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,9.24082568807339E+00,,,,
NAC,North America,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,1.98853751015560E+04,,,,,1.87282624282904E+04,,,,,1.77587838303579E+04,,,,,1.69418572675427E+04,,,,
NAC,North America,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
NAC,North America,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),9.41224298577981E+00,9.41708968836407E+00,9.53339302911478E+00,9.55739313973720E+00,1.01211123487679E+01,1.04208220978224E+01,1.04239963610848E+01,1.19926862687225E+01,1.20312917230393E+01,1.21167534365019E+01,1.24628982578347E+01,1.27623716592541E+01,1.27689657897163E+01,1.27694326476081E+01,1.27694326476081E+01,1.27694326476081E+01,1.27694326476081E+01,1.27694326476081E+01,1.28900111156047E+01,1.28900111156047E+01,,
NAC,North America,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2.11476478018701E+00,2.96373168680855E+00,4.23063085438796E+00,6.00589944156197E+00,8.89681717576942E+00,1.23038684963528E+01,1.58958041103340E+01,1.96618348614178E+01,2.43555501386366E+01,3.00292197249351E+01,3.77688770205500E+01,4.40071893437347E+01,4.81479190079214E+01,5.40164160630412E+01,6.14842669577568E+01,7.01156013327337E+01,7.86612247657602E+01,8.46770665232204E+01,8.66531399204028E+01,9.43542658356692E+01,,
NAC,North America,IT.MLT.MAIN.P2,Telephone lines (per 100 people),5.45806356980551E+01,5.52131019784548E+01,5.59912255369137E+01,5.70835785617394E+01,5.84136293425085E+01,5.99513652133948E+01,6.16688232678591E+01,6.36190941602644E+01,6.50624574517621E+01,6.78088143019209E+01,6.81809753951542E+01,6.72786895437812E+01,6.57610393800684E+01,6.32168210495619E+01,6.09981294619524E+01,5.89285520002114E+01,5.60671011494517E+01,5.28234325503556E+01,5.12101082870023E+01,5.08518350183811E+01,,
NAC,North America,IT.NET.USER.P2,Internet users (per 100 people),7.56826302957569E-01,1.12394446246388E+00,1.66997857239602E+00,2.19565266730889E+00,4.68453944542997E+00,8.86870433830684E+00,1.57156967430501E+01,2.13127538424348E+01,3.00842171670804E+01,3.65066361928542E+01,4.37687933602321E+01,4.96014968518121E+01,6.01935621400015E+01,6.31795018794961E+01,6.62218705675766E+01,6.94091648282867E+01,7.05463188389699E+01,7.34479540971849E+01,7.57265864220523E+01,7.80996698172860E+01,,
NAC,North America,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),1.78844149531668E+01,1.64506293479283E+01,1.65717619252039E+01,1.71115172667748E+01,1.82222082561332E+01,1.81928348638849E+01,1.85576753452006E+01,1.95147387321090E+01,1.99040577548074E+01,2.03202273816848E+01,2.05530190225157E+01,1.90021734726864E+01,1.84250613169421E+01,1.84551851272380E+01,1.94212833069909E+01,2.00293038216610E+01,2.03027224332105E+01,1.93893251786991E+01,1.78738022745091E+01,1.46690405349075E+01,,
NAC,North America,NE.TRD.GNFS.ZS,Trade (% of GDP),2.25455348041280E+01,2.25224192304417E+01,2.29818736594654E+01,2.34446871911355E+01,2.48310315860393E+01,2.64642866233120E+01,2.67983809791537E+01,2.77430580149288E+01,2.73655364525834E+01,2.78704537624679E+01,2.97811944366710E+01,2.74253765419595E+01,2.65697349795803E+01,2.64906430292260E+01,2.82707196764965E+01,2.94286555385394E+01,3.05399909921714E+01,3.13796462056904E+01,3.32254030157801E+01,2.74154828187959E+01,,
NAC,North America,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
NAC,North America,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",6.36773362355335E+12,6.51075865671579E+12,6.95798248496775E+12,7.23623820517110E+12,7.64934815669108E+12,8.07724998438374E+12,8.49352162300073E+12,8.86909756425153E+12,9.14795293451218E+12,9.74271323304480E+12,1.05286709746288E+13,1.08134368535377E+13,1.10644106768895E+13,1.19071851498237E+13,1.32168142201692E+13,1.42718311918912E+13,1.50110594051815E+13,1.54577793830469E+13,1.59562658286489E+13,1.56425090208377E+13,1.60572704997787E+13,
NAC,North America,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",2.29488966501547E+04,2.31523537946336E+04,2.44058728206707E+04,2.50550630461987E+04,2.61695823632011E+04,2.73162735099995E+04,2.83943012354006E+04,2.92993711836674E+04,2.98792711429202E+04,3.14685854925966E+04,3.36375147262297E+04,3.41952418310026E+04,3.46598189445329E+04,3.69713681119307E+04,4.06540713459889E+04,4.34946313632220E+04,4.53087733603864E+04,4.61950253512848E+04,4.72427460636601E+04,4.58978590816611E+04,4.67836242224606E+04,
NAC,North America,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
NAC,North America,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
