Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MNP,Northern Mariana Islands,AG.LND.FRST.K2,Forest area (sq. km),3.40000000000000E+02,,,,,,,,,,3.20000000000000E+02,,,,,3.10000000000000E+02,,,,,3.00000000000000E+02,
MNP,Northern Mariana Islands,AG.LND.FRST.ZS,Forest area (% of land area),7.39130434782609E+01,,,,,,,,,,6.95652173913043E+01,,,,,6.73913043478261E+01,,,,,6.52173913043478E+01,
MNP,Northern Mariana Islands,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),6.31100000000000E+07,2.91400000000000E+07,7.39000000000000E+06,8.89500000000000E+07,2.30000000000000E+06,-7.00000000000000E+05,-1.57000000000000E+06,6.90000000000000E+05,2.00000000000000E+05,1.20000000000000E+05,1.80000000000000E+05,,,,,,,,,,,
MNP,Northern Mariana Islands,DT.ODA.ODAT.CD,Net official development assistance received (current US$),6.31100000000000E+07,2.91400000000000E+07,7.39000000000000E+06,8.89500000000000E+07,2.30000000000000E+06,-7.00000000000000E+05,-1.57000000000000E+06,6.90000000000000E+05,2.00000000000000E+05,1.20000000000000E+05,,,,,,,,,,,,
MNP,Northern Mariana Islands,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.43519887203511E+03,6.23622316861772E+02,1.49425752183759E+02,1.70529706102260E+03,4.19310143659301E+01,-1.21703148634317E+01,-2.60914363584997E+01,1.09932128859574E+01,3.07040437225583E+00,1.78904211703317E+00,,,,,,,,,,,,
MNP,Northern Mariana Islands,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,
MNP,Northern Mariana Islands,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
