Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NOR,Norway,AG.LND.FRST.K2,Forest area (sq. km),9.13000000000000E+04,,,,,,,,,,9.30100000000000E+04,,,,,9.68300000000000E+04,,,,,1.00650000000000E+05,
NOR,Norway,AG.LND.FRST.ZS,Forest area (% of land area),3.00052583147101E+01,,,,,,,,,,3.05672406993559E+01,,,,,3.18226633364007E+01,,,,,3.29492257832193E+01,
NOR,Norway,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),5.83540000000000E+08,,5.26740000000000E+08,5.44740000000000E+08,6.67440000000000E+08,7.02940000000000E+08,6.67300000000000E+08,5.66630000000000E+08,6.18930000000000E+08,9.40290000000000E+08,6.50980000000000E+08,7.02580000000000E+08,8.94970000000000E+08,1.18942000000000E+09,1.06223000000000E+09,1.66494000000000E+09,2.01933000000000E+09,2.17752000000000E+09,2.90421000000000E+09,3.33426000000000E+09,,
NOR,Norway,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,6.21136937560000E+08,5.29480286230001E+08,3.93193194220000E+08,3.94922202120000E+08,7.65503916250001E+08,4.80420101890000E+08,7.71593397460000E+08,8.58605766499999E+08,9.68997858850002E+08,9.15479843160001E+08,1.39275347064000E+09,1.70777405422999E+09,2.04434841690001E+09,2.62277383180001E+09,2.73174537009001E+09,,
NOR,Norway,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,5.30813293300000E+07,6.99766160000000E+07,4.88865009200000E+07,3.54874621500000E+07,1.63320358820000E+08,4.91175530800000E+07,7.14805104800000E+07,1.81180939960000E+08,1.97365328960000E+08,1.41365717570000E+08,1.89391163980000E+08,3.71209234960000E+08,4.26920053980000E+08,3.55351144780000E+08,5.96995181410000E+08,,
NOR,Norway,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,8.54583363509476E+00,1.32160946913145E+01,1.24332011943846E+01,8.98593747312714E+00,2.13350128396551E+01,1.02238754970428E+01,9.26401271904424E+00,2.11017613704788E+01,2.03679840112579E+01,1.54417072780152E+01,1.35983264786244E+01,2.17364372084557E+01,2.08829400336450E+01,1.35486766137255E+01,2.18539834622408E+01,,
NOR,Norway,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",3.55760000000000E+08,3.61540000000000E+08,3.99780000000000E+08,3.16940000000000E+08,3.64120000000000E+08,3.71370000000000E+08,3.92140000000000E+08,3.79650000000000E+08,3.62540000000000E+08,3.33660000000000E+08,3.10720000000000E+08,3.14730000000000E+08,4.51930000000000E+08,5.77530000000000E+08,6.17350000000000E+08,7.12700000000000E+08,8.06800000000000E+08,9.66130000000000E+08,1.07283000000000E+09,9.01850000000000E+08,,
NOR,Norway,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),3.44868166640267E-01,3.48002695158341E-01,3.65675628210569E-01,3.15670625281618E-01,3.37121178453872E-01,2.56680948145707E-01,2.49541742114958E-01,2.44197785991531E-01,2.43633304122963E-01,2.13550750688555E-01,1.87900563157436E-01,1.86469162883625E-01,2.36717415148280E-01,2.59805973931411E-01,2.45439822715598E-01,2.39922909574446E-01,2.42514950980598E-01,2.46241794287159E-01,2.38100728395188E-01,2.33910286969030E-01,,
NOR,Norway,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",1.20483000000000E+09,1.17757000000000E+09,1.27293000000000E+09,1.01421000000000E+09,1.13674000000000E+09,1.24443000000000E+09,1.31124000000000E+09,1.30611000000000E+09,1.32149000000000E+09,1.36979000000000E+09,1.26356000000000E+09,1.34591000000000E+09,1.69609000000000E+09,2.04387000000000E+09,2.19829000000000E+09,2.79364000000000E+09,2.94524000000000E+09,3.73483000000000E+09,4.00576000000000E+09,4.08584000000000E+09,4.58223000000000E+09,
NOR,Norway,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",1.17000000000000E+00,1.13000000000000E+00,1.16000000000000E+00,1.01000000000000E+00,1.05000000000000E+00,8.60000000000000E-01,8.30000000000000E-01,8.40000000000000E-01,8.90000000000000E-01,8.80000000000000E-01,7.60000000000000E-01,8.00000000000000E-01,8.90000000000000E-01,9.20000000000000E-01,8.70000000000000E-01,9.40000000000000E-01,8.90000000000000E-01,9.50000000000000E-01,8.90000000000000E-01,1.06000000000000E+00,1.10000000000000E+00,
NOR,Norway,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",2.31799000000000E+09,2.29706000000000E+09,2.39705000000000E+09,2.13147000000000E+09,2.38118000000000E+09,2.27196000000000E+09,2.34149000000000E+09,2.48485000000000E+09,2.70301000000000E+09,2.71563000000000E+09,2.44377000000000E+09,2.61581000000000E+09,2.97998000000000E+09,3.09153000000000E+09,3.00635000000000E+09,3.36090000000000E+09,3.25173000000000E+09,3.67787000000000E+09,3.49460000000000E+09,4.08584000000000E+09,4.23345000000000E+09,
NOR,Norway,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),3.57530000000000E+08,,4.30120000000000E+08,4.45660000000000E+08,5.67070000000000E+08,5.40990000000000E+08,5.90220000000000E+08,5.16220000000000E+08,5.56080000000000E+08,9.31890000000000E+08,6.36220000000000E+08,6.94580000000000E+08,8.86710000000000E+08,1.18778000000000E+09,1.06219000000000E+09,1.65883000000000E+09,2.01581000000000E+09,2.17524000000000E+09,2.90396000000000E+09,3.33393000000000E+09,,
NOR,Norway,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),6.12691503581588E+01,,8.16569844705168E+01,8.18115064067261E+01,8.49619441447920E+01,7.69610493071955E+01,8.84489734751986E+01,9.11035419938937E+01,8.98453783141874E+01,9.91066585840538E+01,9.77326492365357E+01,9.88613396339207E+01,9.90770640356660E+01,9.98621176707975E+01,9.99962343371963E+01,9.96330198085216E+01,9.98256847568253E+01,9.98952937286454E+01,9.99913918070663E+01,9.99901027514351E+01,,
NOR,Norway,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),6.48602030609474E+00,6.47438309207005E+00,6.59516836763050E+00,6.36820967650248E+00,6.83611469553883E+00,6.98334619381094E+00,7.57323367787278E+00,7.52422565598692E+00,7.41449416912854E+00,7.21423483682564E+00,7.57738924672539E+00,7.50478279142262E+00,8.14336479904578E+00,7.58396291169954E+00,8.05373441650339E+00,8.17934185414080E+00,8.25689812596758E+00,8.37146578883580E+00,7.80355586856466E+00,8.60934861799815E+00,,
NOR,Norway,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.54177747340743E+02,1.54454870182893E+02,1.51626151791372E+02,1.57030005417349E+02,1.46281922486261E+02,1.43197826979602E+02,1.32043991052563E+02,1.32904041654348E+02,1.34870967214954E+02,1.38614838942506E+02,1.31971575887058E+02,1.33248360118153E+02,1.22799361772075E+02,1.31857184910191E+02,1.24166001544680E+02,1.22259225477139E+02,1.21110856007178E+02,1.19453393852914E+02,1.28146708608615E+02,1.16152806021755E+02,,
NOR,Norway,EN.ATM.CO2E.KT,CO2 emissions (kt),3.13052160000000E+04,3.19940480000000E+04,2.96564160000000E+04,3.12868960000000E+04,2.92277280000000E+04,3.29723360000000E+04,3.31408800000000E+04,3.41118400000000E+04,3.45625120000000E+04,4.09891680000000E+04,3.87797760000000E+04,4.10990880000000E+04,3.74021120000000E+04,4.25280480000000E+04,4.63166240000000E+04,4.63422720000000E+04,4.93027840000000E+04,4.27222400000000E+04,,,,
NOR,Norway,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),7.38069456560179E+00,7.50734401764554E+00,6.91872340425532E+00,7.25577365491651E+00,6.73977955080017E+00,7.56246238532110E+00,7.56468386213193E+00,7.74547353602325E+00,7.79840072202166E+00,9.19039641255605E+00,8.63499799599198E+00,9.10682206957678E+00,8.24198148964302E+00,9.31640720241935E+00,1.00865705120527E+01,1.00236545785243E+01,1.05784597387890E+01,9.07217072794195E+00,,,,
NOR,Norway,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),4.12815376675470E-01,3.95184058800064E-01,3.45638303198466E-01,3.47135288686217E-01,3.02369995051118E-01,3.20747775947705E-01,2.90510490881124E-01,2.76975414958500E-01,2.84474326878118E-01,3.08262650162634E-01,2.39026430868066E-01,2.45521730602873E-01,2.22394941697453E-01,2.43247723822772E-01,2.38739804261803E-01,2.11891629513853E-01,1.98501194081732E-01,1.64932497353670E-01,,,,
NOR,Norway,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,4.75130890052356E-01,,,,,,,,,,,
NOR,Norway,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,8.91190742814483E+04,,,,,8.67373583706092E+04,,,,,8.41780520052887E+04,,,,,8.11186215440441E+04,,,,
NOR,Norway,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),1.01174044915125E+00,1.05488292052268E+00,1.05681403797357E+00,1.12731966155962E+00,1.12773234248673E+00,1.16428086197703E+00,1.16607120836588E+00,1.17683600052273E+00,1.17728944691755E+00,1.18074378858958E+00,1.20443016953675E+00,1.20489962184736E+00,1.80462849435195E+00,1.97137551213522E+00,2.17087731311384E+00,2.24887257771501E+00,2.32518632173062E+00,2.32518632173062E+00,2.32518632173062E+00,2.32518632242409E+00,,
NOR,Norway,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),4.64052811505364E+00,5.50069221202806E+00,6.60036394176932E+00,8.61324211502783E+00,1.35700318221648E+01,2.25069954128440E+01,2.87935402876056E+01,3.80727730977952E+01,4.67509025270758E+01,5.97309417040359E+01,7.17880204854153E+01,7.96144471526701E+01,8.35169678272367E+01,8.89585539956910E+01,9.85374277805967E+01,1.02836983438853E+02,1.04467998962382E+02,1.06975713042239E+02,1.10122830109064E+02,1.10505338261065E+02,,
NOR,Norway,IT.MLT.MAIN.P2,Telephone lines (per 100 people),5.02720735588825E+01,5.15813642443157E+01,5.29228723404255E+01,5.41474025974026E+01,5.52045381174192E+01,5.60550458715596E+01,5.66993837023511E+01,6.30094684498535E+01,5.58438628158845E+01,5.48430493273543E+01,5.34624805165887E+01,5.18027033015732E+01,5.10559497576025E+01,4.89854113657498E+01,4.74841405863791E+01,4.56088098283236E+01,4.40935297597323E+01,4.22191846389361E+01,3.97615919761957E+01,3.93478528290899E+01,,
NOR,Norway,IT.NET.USER.P2,Internet users (per 100 people),7.07296946834846E-01,1.40788887063848E+00,2.21631205673759E+00,2.78293135435993E+00,4.15071715168565E+00,6.42201834862385E+00,1.82606710796622E+01,2.04355032810336E+01,2.25631768953069E+01,2.46636771300448E+01,2.67201068804275E+01,2.92355417682251E+01,7.28450198325253E+01,7.47373136715186E+01,7.49459375292634E+01,8.22061168115959E+01,8.28220449518385E+01,8.71366464415151E+01,9.05390112687943E+01,9.17651156847583E+01,,
NOR,Norway,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),2.26849600838795E+01,2.02939951812944E+01,1.95996809287182E+01,2.03072177197130E+01,2.11649429283108E+01,2.23266630416233E+01,2.10342026875407E+01,2.33588134116648E+01,2.66642113016942E+01,2.29335728209502E+01,2.03687988652758E+01,1.89974929841947E+01,1.89157916788215E+01,1.81706786060712E+01,1.99599435698873E+01,2.11760092428700E+01,2.20021735778323E+01,2.36266220345333E+01,2.20543944691672E+01,2.01614884761793E+01,,
NOR,Norway,NE.TRD.GNFS.ZS,Trade (% of GDP),7.39269911203948E+01,7.19972361410651E+01,6.90068153826472E+01,6.94372406948364E+01,7.01702421578344E+01,6.97522993056240E+01,7.26133579350797E+01,7.45095271070208E+01,7.34639061349048E+01,7.14344104364146E+01,7.59640733682095E+01,7.45868108715865E+01,6.88775813201924E+01,6.76230655040136E+01,7.05348870164270E+01,7.27965437915914E+01,7.47941838502334E+01,7.62058313784030E+01,7.81398998728544E+01,6.99352878445564E+01,,
NOR,Norway,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),3.19435000000000E+00,3.21835000000000E+00,2.87884000000000E+00,2.74360000000000E+00,2.45951000000000E+00,2.13640000000000E+00,2.03700000000000E+00,1.90529000000000E+00,1.99694000000000E+00,2.01636000000000E+00,1.45532000000000E+00,1.35314000000000E+00,1.56216000000000E+00,1.49242000000000E+00,1.29988000000000E+00,1.13222000000000E+00,1.00522000000000E+00,8.69360000000000E-01,9.05990000000000E-01,9.98870000000000E-01,9.85760000000000E-01,
NOR,Norway,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",1.10320371062225E+11,1.16383794752144E+11,1.29424145245728E+11,1.27668464703211E+11,1.31078761200197E+11,1.39631923379297E+11,1.53688366914409E+11,1.63788157997444E+11,1.56916894254999E+11,1.55527316176993E+11,1.61064023767736E+11,1.69379738558630E+11,1.77896018743621E+11,2.00983972402393E+11,2.43816670575377E+11,2.88076739423631E+11,3.18585163781937E+11,3.58777781977098E+11,4.04577584804076E+11,4.08305187331529E+11,4.16905252633768E+11,
