Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
OED,OECD members,AG.LND.FRST.K2,Forest area (sq. km),1.03506300000000E+07,,,,,,,,,,1.04459700000000E+07,,,,,1.04781300000000E+07,,,,,1.04746000000000E+07,
OED,OECD members,AG.LND.FRST.ZS,Forest area (% of land area),3.01812954423186E+01,,,,,,,,,,3.04575467929680E+01,,,,,3.05513520511255E+01,,,,,3.05554566982744E+01,
OED,OECD members,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.29379000000000E+09,7.30321000000000E+09,4.71836000000000E+09,3.64802000000000E+09,4.15544000000000E+09,5.14559000000000E+09,4.52793000000000E+09,2.65579000000000E+09,3.01654000000000E+09,3.14586000000000E+09,3.24025000000000E+09,2.44033000000000E+09,2.53669000000000E+09,2.38637000000000E+09,3.39329000000000E+09,7.43620000000000E+08,9.36690000000000E+08,1.01005000000000E+09,1.37273000000000E+09,1.62731000000000E+09,,
OED,OECD members,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.88598000000000E+09,3.80866000000000E+09,2.76413000000000E+09,2.22014000000000E+09,1.87637000000000E+09,1.29856000000000E+09,2.87531000000000E+09,1.71340000000000E+08,1.42760000000000E+08,9.19000000000000E+07,3.78620000000000E+08,4.50580000000000E+08,4.49470000000000E+08,3.73210000000000E+08,4.47450000000000E+08,7.43620000000000E+08,9.36690000000000E+08,1.01005000000000E+09,1.37273000000000E+09,1.62731000000000E+09,,
OED,OECD members,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.60798032611621E-02,2.00538694649279E-02,1.35505247427338E-02,1.07778931268871E-02,8.52191661555797E-03,5.35187143574998E-03,1.17430015334082E-02,7.08880854376519E-04,5.83805938836572E-04,3.57477262974318E-04,1.43837712847136E-03,1.72888713604941E-03,1.65616485482688E-03,1.22374078194573E-03,1.31384328520409E-03,2.06421919168527E-03,2.45535452130862E-03,2.43343533121376E-03,3.12949025975028E-03,3.96339504542522E-03,,
OED,OECD members,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.70930443955344E+00,3.54313081133212E+00,2.54866479890425E+00,2.02973174153080E+00,1.70167128141043E+00,1.16836719805924E+00,2.56741612106898E+00,1.51839065832612E-01,1.25613687336884E-01,8.02950449888363E-02,3.28434787150363E-01,3.88092703118545E-01,3.84342694211325E-01,3.16859821108833E-01,3.77184022987008E-01,6.22464171790723E-01,7.78522072975824E-01,8.33286756834479E-01,1.12437469573406E+00,1.32402403082746E+00,,
OED,OECD members,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
OED,OECD members,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
