Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
OMN,Oman,AG.LND.FRST.K2,Forest area (sq. km),2.00000000000000E+01,,,,,,,,,,2.00000000000000E+01,,,,,2.00000000000000E+01,,,,,2.00000000000000E+01,
OMN,Oman,AG.LND.FRST.ZS,Forest area (% of land area),6.46203554119548E-03,,,,,,,,,,6.46203554119548E-03,,,,,6.46203554119548E-03,,,,,6.46203554119548E-03,
OMN,Oman,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),6.10900000000000E+07,1.02000000000000E+07,3.51800000000000E+07,4.70300000000000E+07,9.52400000000000E+07,5.83000000000000E+07,6.13100000000000E+07,6.45800000000000E+07,4.29500000000000E+07,3.91900000000000E+07,4.50300000000000E+07,1.08000000000000E+06,4.05700000000000E+07,3.77700000000000E+07,5.49000000000000E+07,-5.40000000000000E+06,3.45300000000000E+07,-3.13000000000000E+07,3.19200000000000E+07,2.11990000000000E+08,,
OMN,Oman,DT.ODA.ODAT.CD,Net official development assistance received (current US$),6.10900000000000E+07,1.02000000000000E+07,3.51800000000000E+07,4.70300000000000E+07,9.52400000000000E+07,5.83000000000000E+07,6.13100000000000E+07,6.45800000000000E+07,4.29500000000000E+07,3.91900000000000E+07,4.50300000000000E+07,1.08000000000000E+06,4.05700000000000E+07,3.77700000000000E+07,5.49000000000000E+07,-5.40000000000000E+06,3.45300000000000E+07,-3.13000000000000E+07,3.19200000000000E+07,2.11990000000000E+08,,
OMN,Oman,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),5.36821922894425E-01,9.13984701784612E-02,2.91812731309979E-01,3.88452514429730E-01,7.61955784982845E-01,4.34878347486385E-01,4.14491974831574E-01,4.22072122341754E-01,3.18885659759695E-01,2.60725044647165E-01,2.35577993393141E-01,5.61293074454948E-03,2.12609579859011E-01,1.79846004742218E-01,2.26079574058484E-01,-1.80704959378853E-02,9.55508088735249E-02,-7.61602955511168E-02,5.52177077476305E-02,4.81169742284235E-01,,
OMN,Oman,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.27024632572381E+01,5.23871595990225E+00,1.73183018218676E+01,2.22532622818797E+01,4.36356505647573E+01,2.61198610405472E+01,2.71435718301878E+01,2.84936612854621E+01,1.89794911021759E+01,1.73453282688575E+01,1.98881440956327E+01,4.73856503088184E-01,1.76171166985254E+01,1.61688927968589E+01,2.30833658490642E+01,-2.22267041502196E+00,1.38640177947660E+01,-1.22208960142309E+01,1.21048342354443E+01,7.81633403278074E+01,,
OMN,Oman,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),7.06074710663295E+00,5.21490671615552E+00,5.76756406717047E+00,5.63998623633340E+00,5.83100961052894E+00,5.95814999200618E+00,5.99643896632508E+00,5.91947504437831E+00,6.02303820062059E+00,5.79509717885596E+00,5.31872575212981E+00,5.48858263743945E+00,5.37490610025699E+00,5.06705198193906E+00,5.09968144237865E+00,4.72248091414883E+00,3.92373624423709E+00,3.91998069099965E+00,3.95248484762153E+00,,,
OMN,Oman,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.41628072057784E+02,1.91757984261166E+02,1.73383422941428E+02,1.77305397229144E+02,1.71496887639204E+02,1.67837332282951E+02,1.66765643011764E+02,1.68933899121628E+02,1.66029164466691E+02,1.72559660198384E+02,1.88014958206778E+02,1.82196400429260E+02,1.86049761865084E+02,1.97353412509757E+02,1.96090679643230E+02,2.11753105661887E+02,2.54859128584071E+02,2.55103297395321E+02,2.53005397503741E+02,,,
OMN,Oman,EN.ATM.CO2E.KT,CO2 emissions (kt),1.03434720000000E+04,1.09407040000000E+04,1.20875360000000E+04,1.34578720000000E+04,1.52568960000000E+04,1.59200800000000E+04,1.52129280000000E+04,1.55829920000000E+04,1.66528800000000E+04,2.08005280000000E+04,2.20389600000000E+04,2.04268000000000E+04,2.55234240000000E+04,3.19171040000000E+04,3.09461440000000E+04,3.41484800000000E+04,3.96847840000000E+04,3.72885280000000E+04,,,,
OMN,Oman,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),5.53702755004537E+00,5.61914124091828E+00,5.95041491559666E+00,6.36788338022464E+00,6.99017831330159E+00,7.13259480882323E+00,6.73516887808636E+00,6.87544899136057E+00,7.35886351072419E+00,9.20622572915440E+00,9.73382216739696E+00,8.96238149748308E+00,1.10832915739202E+01,1.36633368536456E+01,1.30116787535487E+01,1.40557067062906E+01,1.59336968305081E+01,1.45590806137935E+01,,,,
OMN,Oman,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),5.23357820042534E-01,5.04719695106321E-01,5.03742759192713E-01,5.17543485120221E-01,5.53565232683940E-01,5.37630771159367E-01,4.89884275421985E-01,4.64298870837556E-01,4.76703034947049E-01,5.87565904527879E-01,5.78137248893885E-01,4.87494782030278E-01,5.84381693315780E-01,7.13212570114810E-01,6.50342865367087E-01,6.67810001259034E-01,7.12446736694575E-01,6.08896816114334E-01,,,,
OMN,Oman,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),6.05000000000000E+01,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,8.73571428571429E+01,,,,,,,,,9.47142857142857E+01,,,,,,,,,,,
OMN,Oman,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,6.89187679096495E+02,,,,,6.17700925977810E+02,,,,,6.07935996498289E+02,,,,,5.46621546962405E+02,,,,
OMN,Oman,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.11646534869551E-01,5.11712053179938E-01,1.00642761071563E+00,1.29771588848092E+00,1.29790398646610E+00,1.29790398646610E+00,1.29790398646610E+00,1.29790398646610E+00,1.29790398646610E+00,1.29790398646610E+00,1.29790398646610E+00,1.29790398646610E+00,1.29790398646610E+00,1.29790398646610E+00,1.29790398646610E+00,1.29790398627662E+00,,
OMN,Oman,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1.46141307402619E-01,1.88593774556481E-01,2.32403930929611E-01,2.65733193653065E-01,3.09307304664717E-01,3.60749778899633E-01,6.64089997476458E-01,2.33843921977314E+00,4.33059401167228E+00,5.35540883013971E+00,7.15496189982788E+00,1.41718194905077E+01,2.01053118841934E+01,2.54284414120576E+01,3.39010131453251E+01,5.48762919271787E+01,7.29948366270246E+01,9.76109905290008E+01,1.22085482428081E+02,1.46399578782961E+02,,
OMN,Oman,IT.MLT.MAIN.P2,Telephone lines (per 100 people),5.60363586725230E+00,5.98641426327732E+00,6.40486724030055E+00,6.99271978112973E+00,7.23167900581824E+00,7.61369307953610E+00,8.75213062207524E+00,8.84887461509511E+00,9.71979731052436E+00,9.75361578615189E+00,9.79642366737730E+00,1.01136334219767E+01,9.88438794306593E+00,1.01105024172002E+01,1.02065057250111E+01,1.09173043123922E+01,1.08286290160683E+01,1.04664360704626E+01,1.03974913565340E+01,1.10664969114806E+01,,
OMN,Oman,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,,0.00000000000000E+00,4.41214947127007E-01,8.83794696259648E-01,2.62826646743956E+00,3.73502261100460E+00,6.31839383705742E+00,7.41425714129388E+00,7.84523069033081E+00,7.30342558831048E+00,7.20165794748735E+00,8.89766403546105E+00,1.77573913970358E+01,2.11227840511983E+01,4.55971131294428E+01,,
OMN,Oman,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),1.23483718756260E+01,1.50201797800816E+01,1.63537250083111E+01,1.75347655815213E+01,1.57429589388658E+01,1.49799325290837E+01,1.36952487816129E+01,1.76451268374225E+01,2.39802011327372E+01,1.48504967897016E+01,1.19344957430955E+01,1.26406361855098E+01,1.88999870281489E+01,2.23373173970784E+01,2.55749973648150E+01,2.31473533619456E+01,2.42152498056674E+01,3.06467630811247E+01,2.95860529027826E+01,,,
OMN,Oman,NE.TRD.GNFS.ZS,Trade (% of GDP),7.48291749204300E+01,7.78068244180410E+01,8.02648342361934E+01,8.11058372380470E+01,7.77887382861605E+01,7.95914905696223E+01,8.55761536670826E+01,8.86279660693988E+01,9.16942314836349E+01,8.62503958295715E+01,9.05330399904008E+01,9.33967797369970E+01,7.73770917109872E+01,8.29047446577327E+01,9.05765784758090E+01,8.98510477152234E+01,8.87923114974207E+01,9.68903233815406E+01,9.61782892476812E+01,9.41287458379578E+01,,
OMN,Oman,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",1.03435081075901E+10,1.14341856255971E+10,1.29060028769224E+10,1.30215159664999E+10,1.32281644858704E+10,1.38290133240720E+10,1.44816797590662E+10,1.53198268263988E+10,1.46106825433140E+10,1.43754985360401E+10,1.61389484192209E+10,1.88084992776475E+10,1.95500257073063E+10,2.05627562755383E+10,2.34884475396836E+10,2.71860506947618E+10,3.26606751199317E+10,3.90083338179098E+10,4.94415388613321E+10,4.95121435231625E+10,,
OMN,Oman,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",5.54000000000000E+03,5.87000000000000E+03,6.35000000000000E+03,6.16000000000000E+03,6.06000000000000E+03,6.20000000000000E+03,6.41000000000000E+03,6.76000000000000E+03,6.46000000000000E+03,6.36000000000000E+03,7.13000000000000E+03,8.25000000000000E+03,8.49000000000000E+03,8.80000000000000E+03,9.88000000000000E+03,1.11900000000000E+04,1.31100000000000E+04,1.52300000000000E+04,1.87500000000000E+04,1.82600000000000E+04,,
OMN,Oman,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",2.27331243287467E-01,2.01173676476794E-01,1.99533631812660E-01,1.84729939969419E-01,1.80228310039289E-01,1.79223990602310E-01,1.89163269690797E-01,1.81438068967461E-01,1.55032683582016E-01,1.70631360546091E-01,2.00395394226022E-01,1.83059937480452E-01,1.76504471883214E-01,1.85090092079187E-01,1.99372263107725E-01,2.32384757534189E-01,2.54047842895275E-01,2.63081894903924E-01,3.29938894049366E-01,2.50214266857299E-01,,
OMN,Oman,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",,,,,,,,,,,3.18589956597751E-01,3.07303223664080E-01,3.01641236582737E-01,2.95492437306991E-01,2.89966055987996E-01,2.85671477700000E-01,2.85611108877454E-01,2.94226549713320E-01,3.17607695829109E-01,3.31283985170562E-01,3.36379553523782E-01,
OMN,Oman,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,,,,,,,,,,,,9.66614487318000E+01,,,,,9.76249786142000E+01,,,
OMN,Oman,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,,,,,,,,,,,,,9.78650882438000E+01,,,,,9.76341211495000E+01,,,
OMN,Oman,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",,,,,,,,,,,,,,9.72813300268000E+01,,,,,9.76298215406000E+01,,,
OMN,Oman,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,8.13633124338177E+01,,,,,8.66211430153840E+01,,,
OMN,Oman,SE.ENR.ORPH,Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14,,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,SE.ENR.PRIM.FM.ZS,Ratio of female to male primary enrollment (%),9.11200000000000E+01,9.21510000000000E+01,9.28370000000000E+01,9.40980000000000E+01,9.56400000000000E+01,9.66190000000000E+01,9.67640000000000E+01,9.65390000000000E+01,9.65400000000000E+01,9.66310000000000E+01,9.69160000000000E+01,9.79150000000000E+01,9.84400000000000E+01,9.89060000000000E+01,,,,,,9.80170000000000E+01,,
OMN,Oman,SE.ENR.PRSC.FM.ZS,Ratio of girls to boys in primary and secondary education (%),8.59620000000000E+01,8.87150000000000E+01,9.05500000000000E+01,9.23050000000000E+01,9.37410000000000E+01,9.49500000000000E+01,9.55850000000000E+01,9.62230000000000E+01,9.67080000000000E+01,9.77340000000000E+01,9.79450000000000E+01,9.83510000000000E+01,9.83110000000000E+01,9.78140000000000E+01,,,,,,9.70500000000000E+01,,
