Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PAK,Pakistan,AG.LND.FRST.K2,Forest area (sq. km),2.52700000000000E+04,,,,,,,,,,2.11600000000000E+04,,,,,1.90200000000000E+04,,,,,1.68700000000000E+04,
PAK,Pakistan,AG.LND.FRST.ZS,Forest area (% of land area),3.27807181403072E+00,,,,,,,,,,2.74491490244915E+00,,,,,2.46731008717310E+00,,,,,2.18840805313408E+00,
PAK,Pakistan,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.12662000000000E+09,1.36887000000000E+09,1.01149000000000E+09,1.00169000000000E+09,1.60325000000000E+09,8.20850000000000E+08,8.81910000000000E+08,5.95610000000000E+08,1.05239000000000E+09,7.32930000000000E+08,7.00360000000000E+08,1.94157000000000E+09,2.09214000000000E+09,1.07138000000000E+09,1.43931000000000E+09,1.60656000000000E+09,2.13981000000000E+09,2.24375000000000E+09,1.53936000000000E+09,2.78061000000000E+09,,
PAK,Pakistan,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.12662000000000E+09,1.36887000000000E+09,1.01149000000000E+09,1.00169000000000E+09,1.60325000000000E+09,8.20850000000000E+08,8.81910000000000E+08,5.95610000000000E+08,1.05239000000000E+09,7.32930000000000E+08,7.00360000000000E+08,1.94157000000000E+09,2.09214000000000E+09,1.07138000000000E+09,1.43931000000000E+09,1.60656000000000E+09,2.13981000000000E+09,2.24375000000000E+09,1.53936000000000E+09,2.78061000000000E+09,,
PAK,Pakistan,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.69944219868855E+00,2.94249326040577E+00,2.05833541193625E+00,1.93141612297757E+00,3.08155133785000E+00,1.34362001972111E+00,1.39748254508795E+00,9.61656441851304E-01,1.70770257223856E+00,1.17407161411987E+00,9.59062957730151E-01,2.72027843829859E+00,2.87812332409732E+00,1.24815963926118E+00,1.43729823186514E+00,1.43613018868722E+00,1.64591740088877E+00,1.53920501115375E+00,9.20480075742695E-01,1.67133665497974E+00,,
PAK,Pakistan,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.00730764312891E+01,1.19063128255727E+01,8.57120077049544E+00,8.27638357012810E+00,1.29167461349684E+01,6.44578867143591E+00,6.74566447009395E+00,4.43637686916108E+00,7.63662708020426E+00,5.18847836271153E+00,4.84603776283714E+00,1.31580207355476E+01,1.39098355383712E+01,6.99608681330231E+00,9.23462973511124E+00,1.01267314527614E+01,1.32485045010900E+01,1.36443301284882E+01,9.19337817338799E+00,1.63091018719698E+01,,
PAK,Pakistan,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.74406728138374E+01,2.44638720676354E+01,2.71260043639671E+01,2.82720015722425E+01,3.82376895189480E+01,3.09176477272498E+01,3.07147184412149E+01,4.03387222644317E+01,2.46093070579415E+01,3.20331696672122E+01,2.78855231024714E+01,2.79940577408203E+01,2.33143110824118E+01,2.04829260171805E+01,2.62616577683108E+01,1.22665570619183E+01,1.06987347681965E+01,1.12368383800687E+01,1.10262086076630E+01,1.50312469887434E+01,,
PAK,Pakistan,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",2.29249945043349E+01,2.04197570502049E+01,2.29190148399964E+01,2.45077842957384E+01,3.30799793957809E+01,2.44501884987922E+01,2.46762189765476E+01,3.26987905918094E+01,1.86446181857128E+01,2.16598472449536E+01,2.06578196737325E+01,2.10789404839765E+01,1.95965291791105E+01,1.71252713591263E+01,2.27622340866967E+01,9.94574059085391E+00,8.94563705121621E+00,9.02842729741207E+00,8.60876632475758E+00,1.16923218431081E+01,,
PAK,Pakistan,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),4.21766127448189E+00,4.29711561864072E+00,4.35858398438289E+00,4.21556526277287E+00,4.20539544017550E+00,4.22622060836078E+00,4.23203052231167E+00,4.17337832995553E+00,4.19782587260669E+00,4.12974261106905E+00,4.18795323346684E+00,4.19165858628736E+00,4.27548326126220E+00,4.27648903552149E+00,4.27901594248404E+00,4.44978958144899E+00,4.53632369488768E+00,4.52912103665617E+00,4.68266926531070E+00,,,
PAK,Pakistan,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",2.37098224565898E+02,2.32714241074184E+02,2.29432311866209E+02,2.37216111640086E+02,2.37789766557189E+02,2.36618031255086E+02,2.36293191820783E+02,2.39614029914862E+02,2.38218551780719E+02,2.42145841563993E+02,2.38780125816302E+02,2.38569048364629E+02,2.33891688703462E+02,2.33836680438970E+02,2.33698591788719E+02,2.24729727483961E+02,2.20442822703982E+02,2.20793392781195E+02,2.13553412240326E+02,,,
PAK,Pakistan,EN.ATM.CO2E.KT,CO2 emissions (kt),6.85094720000000E+04,6.81870400000000E+04,7.27304000000000E+04,7.79442720000000E+04,8.47703040000000E+04,8.44148960000000E+04,9.43699840000000E+04,9.46337920000000E+04,9.75833120000000E+04,1.00302000000000E+05,1.06362256000000E+05,1.08194256000000E+05,1.13990704000000E+05,1.18797872000000E+05,1.31511952000000E+05,1.36524304000000E+05,1.45735600000000E+05,1.56265936000000E+05,,,,
PAK,Pakistan,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),6.12541183116990E-01,5.93084974387515E-01,6.16305510206173E-01,6.44008318108792E-01,6.82960546734504E-01,6.62874557272633E-01,7.21829039371516E-01,7.04875952166352E-01,7.08109505977082E-01,7.10047012315899E-01,7.35957948935621E-01,7.33232520030255E-01,7.57880421741926E-01,7.75747377912202E-01,8.43782216799523E-01,8.60562296698015E-01,9.02313173865458E-01,9.50259172644551E-01,,,,
