Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PLW,Palau,AG.LND.FRST.K2,Forest area (sq. km),3.80000000000000E+02,,,,,,,,,,4.00000000000000E+02,,,,,4.00000000000000E+02,,,,,4.00000000000000E+02,
PLW,Palau,AG.LND.FRST.ZS,Forest area (% of land area),8.26086956521739E+01,,,,,,,,,,8.69565217391304E+01,,,,,8.69565217391304E+01,,,,,8.69565217391304E+01,
PLW,Palau,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,1.00000000000000E+04,1.00000000000000E+04,2.01890000000000E+08,1.42320000000000E+08,6.30200000000000E+07,3.83800000000000E+07,8.91200000000000E+07,2.88400000000000E+07,3.91300000000000E+07,3.44900000000000E+07,3.15800000000000E+07,2.58500000000000E+07,1.95500000000000E+07,2.36900000000000E+07,3.73200000000000E+07,2.23400000000000E+07,4.29400000000000E+07,3.53500000000000E+07,,
PLW,Palau,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,1.00000000000000E+04,1.00000000000000E+04,2.01890000000000E+08,1.42320000000000E+08,6.30200000000000E+07,3.83800000000000E+07,8.91200000000000E+07,2.88400000000000E+07,3.91300000000000E+07,3.44900000000000E+07,3.15800000000000E+07,2.58500000000000E+07,1.95500000000000E+07,2.36900000000000E+07,3.73200000000000E+07,2.23400000000000E+07,4.29400000000000E+07,3.53500000000000E+07,,
PLW,Palau,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,1.20940920360404E-02,1.26411063496277E-02,2.42286413767446E+02,1.45122311841663E+02,5.62723790304578E+01,3.27796045607892E+01,7.57881130358616E+01,2.43817897451072E+01,3.12133564129767E+01,2.64005939942285E+01,2.52832152435851E+01,2.03245640243423E+01,1.40064049749604E+01,1.58228693561314E+01,2.35055520214649E+01,1.34170950848028E+01,3.11850092462828E+01,2.78803116876042E+01,,
PLW,Palau,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,6.29168239587266E-01,6.11807892321811E-01,1.20144013330159E+04,8.24852208183610E+03,3.56165931954335E+03,2.11786778501269E+03,4.81157542382032E+03,1.52786607332062E+03,2.04099728771125E+03,1.77765178847541E+03,1.61344709548868E+03,1.31231597116459E+03,9.87224157955865E+02,1.19009343916407E+03,1.86497426415472E+03,1.11044835470723E+03,2.12280007909828E+03,1.73744224909073E+03,,
PLW,Palau,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,EN.ATM.CO2E.KT,CO2 emissions (kt),,,1.13584000000000E+02,1.09920000000000E+02,1.09920000000000E+02,1.13584000000000E+02,1.17248000000000E+02,1.17248000000000E+02,1.17248000000000E+02,1.17248000000000E+02,1.17248000000000E+02,1.83200000000000E+02,1.83200000000000E+02,1.90528000000000E+02,1.90528000000000E+02,1.94192000000000E+02,2.05184000000000E+02,2.12512000000000E+02,,,,
PLW,Palau,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,7.14634453252800E+00,6.72499235240135E+00,6.54129969054987E+00,6.58305320505390E+00,6.62642703741381E+00,6.46992605672663E+00,6.33020192203866E+00,6.21148548421276E+00,6.11558522845817E+00,9.44232553345016E+00,9.35983242221428E+00,9.67245405624937E+00,9.62116850982174E+00,9.75545061790415E+00,1.02535605417021E+01,1.05632766676608E+01,,,,
PLW,Palau,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,7.06594784834317E-01,7.62977366688112E-01,6.96880602533432E-01,6.34570186760560E-01,5.83004058068752E-01,5.59120208911138E-01,5.40559284306154E-01,5.63162191299527E-01,5.49587000572941E-01,8.28916763113374E-01,8.45249457584534E-01,8.71846168136378E-01,8.08211901823125E-01,7.55612779653014E-01,7.50712290468672E-01,7.39774038448799E-01,,,,
PLW,Palau,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),4.79689016490960E-01,4.79893883139180E-01,4.80097601707228E-01,4.80301321629143E-01,6.43924557052426E-01,1.60455384308161E+00,1.60505074382361E+00,1.65362163075108E+00,1.85578349177821E+00,1.85601182163803E+00,2.08633070327526E+00,5.27354249580512E+00,5.27354249580512E+00,5.27354249580512E+00,5.27354249580512E+00,5.27354249580512E+00,5.27354249580512E+00,5.27354249580512E+00,5.27354249580512E+00,5.27354248903578E+00,,
PLW,Palau,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),,,,,,,,,,,,,1.25581157717264E+01,1.99208041425525E+01,1.98151795182548E+01,3.03978699889481E+01,4.17070611163860E+01,5.31414653544090E+01,6.03519873442753E+01,6.46613584979849E+01,,
PLW,Palau,IT.MLT.MAIN.P2,Telephone lines (per 100 people),,,,,,,,,,,,,3.53956981556225E+01,3.74149659863946E+01,3.91405342624855E+01,4.00733447201849E+01,3.66098645744840E+01,3.71508102197038E+01,3.63456594819063E+01,3.46947803007962E+01,,
PLW,Palau,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,,,,,,,,2.04363153323456E+01,2.18296273733374E+01,2.72685956673231E+01,,,,,,,
PLW,Palau,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,NE.TRD.GNFS.ZS,Trade (% of GDP),,5.89112157891599E+01,7.88347018229009E+01,7.89123532744016E+01,6.80019634369725E+01,7.80221972552684E+01,7.97861427132335E+01,7.48200295019123E+01,6.33446982611660E+01,8.58492311759263E+01,1.15661213218424E+02,1.50511006289308E+02,1.57155414172701E+02,1.48489342285379E+02,1.66834381551363E+02,1.57995709216932E+02,1.51983858403463E+02,1.31834754609256E+02,1.81015746928618E+02,,,
PLW,Palau,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",,,,7.85430677615773E+07,8.36353868193257E+07,9.95111261570581E+07,1.12448968370061E+08,1.15405982310704E+08,1.13165643135924E+08,1.13887842703110E+08,1.19753109072428E+08,1.25534269821762E+08,1.22945013487879E+08,1.26384660981973E+08,1.42432610667872E+08,1.54596439884965E+08,1.59555409023213E+08,1.66369248651198E+08,1.35627715794236E+08,1.26808067240464E+08,1.32531111712353E+08,
PLW,Palau,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",,,,4.81000000000000E+03,4.98000000000000E+03,5.77000000000000E+03,6.36000000000000E+03,6.37000000000000E+03,6.11000000000000E+03,6.03000000000000E+03,6.25000000000000E+03,6.47000000000000E+03,6.28000000000000E+03,6.42000000000000E+03,7.19000000000000E+03,7.77000000000000E+03,7.97000000000000E+03,8.27000000000000E+03,6.70000000000000E+03,6.23000000000000E+03,6.47000000000000E+03,
PLW,Palau,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",,4.98548170805938E-01,5.12919483416452E-01,5.26886126029790E-01,5.29551911279203E-01,5.32069313252883E-01,5.38028692133027E-01,5.39878515722713E-01,5.40891232556615E-01,5.45087858894197E-01,5.61844523144740E-01,5.64025371302733E-01,5.51142325086029E-01,5.61596912385798E-01,5.66556000207300E-01,5.65869115717324E-01,5.73007908313809E-01,5.71905290066984E-01,5.96095275052714E-01,5.97136957453654E-01,6.03329671070639E-01,
