Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PAN,Panama,AG.LND.FRST.K2,Forest area (sq. km),3.79200000000000E+04,,,,,,,,,,3.36900000000000E+04,,,,,3.31000000000000E+04,,,,,3.25100000000000E+04,
PAN,Panama,AG.LND.FRST.ZS,Forest area (% of land area),5.10088781275222E+01,,,,,,,,,,4.53188054882970E+01,,,,,4.45251546946462E+01,,,,,4.37315039009954E+01,
PAN,Panama,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),9.93400000000000E+07,1.03610000000000E+08,1.56140000000000E+08,7.05000000000000E+07,3.16700000000000E+07,3.97500000000000E+07,4.93200000000000E+07,4.61300000000000E+07,2.15800000000000E+07,1.34100000000000E+07,1.53500000000000E+07,2.60600000000000E+07,2.03700000000000E+07,2.73700000000000E+07,2.25900000000000E+07,2.66900000000000E+07,3.10100000000000E+07,-1.35010000000000E+08,2.85400000000000E+07,6.55300000000000E+07,,
PAN,Panama,DT.ODA.ODAT.CD,Net official development assistance received (current US$),9.93400000000000E+07,1.03610000000000E+08,1.56140000000000E+08,7.05000000000000E+07,3.16700000000000E+07,3.97500000000000E+07,4.93200000000000E+07,4.61300000000000E+07,2.15800000000000E+07,1.34100000000000E+07,1.53500000000000E+07,2.60600000000000E+07,2.03700000000000E+07,2.73700000000000E+07,2.25900000000000E+07,2.66900000000000E+07,3.10100000000000E+07,-1.35010000000000E+08,2.85400000000000E+07,6.55300000000000E+07,,
PAN,Panama,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.96681713787915E+00,1.89824484262211E+00,2.49875974202634E+00,1.01303291997758E+00,4.22002211947180E-01,5.27069493615498E-01,5.47695724597446E-01,4.76924031264216E-01,2.07340507302075E-01,1.24568052613978E-01,1.39456709366767E-01,2.32572667803054E-01,1.69433723715731E-01,2.24504359666319E-01,1.71958376786000E-01,1.86125329502504E-01,1.95293065553225E-01,-7.30273264241978E-01,1.33164738872999E-01,2.89696819656767E-01,,
PAN,Panama,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),4.11188091025967E+01,4.20139954737939E+01,6.20253948984570E+01,2.74354080987768E+01,1.20744076315441E+01,1.48491217164763E+01,1.80545788601089E+01,1.65504938957272E+01,7.58983651252991E+00,4.62471841293183E+00,5.19260681039983E+00,8.65023476126381E+00,6.63707515143577E+00,8.75681676752843E+00,7.09937777520774E+00,8.24192536811514E+00,9.41242032754980E+00,-4.02933977741188E+01,8.37813266276959E+00,1.89289064014251E+01,,
PAN,Panama,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",6.17748413239144E+00,5.16030522583629E+00,1.29083216174600E+01,3.61544600334663E+00,4.40054788820307E+00,3.40846516251729E+00,1.01022292633247E+01,1.59555788488154E+01,7.33163007694949E+00,8.54514190433182E+00,9.41918751727217E+00,1.22042116722879E+01,1.94700788691521E+01,1.11634966081760E+01,1.43085983342191E+01,1.77257681390583E+01,2.20558850019815E+01,5.63958281752909E+00,9.31671747685827E+00,5.49980669128318E+00,,
PAN,Panama,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",4.08152544196220E+00,3.84814243872360E+00,1.21772511213764E+01,2.97856867035655E+00,3.54200476223501E+00,3.02010935338866E+00,9.64121308136245E+00,1.55727428152731E+01,5.89596671581201E+00,7.48517270527206E+00,8.59381178121213E+00,1.08052021517312E+01,1.63421797842215E+01,9.16420942582538E+00,1.10751612399280E+01,1.48224726231209E+01,1.68673487768851E+01,5.25037756870513E+00,8.98242076848735E+00,4.92121452450584E+00,,
PAN,Panama,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),9.83958996347319E+00,9.97680233811863E+00,9.41934056280785E+00,9.75859693994303E+00,9.54353839004536E+00,9.61813474691860E+00,9.25678806683266E+00,9.34982822847935E+00,8.76657691528143E+00,9.19227938684947E+00,9.32106899882446E+00,8.72189272313502E+00,9.62085115688038E+00,9.89073029566133E+00,1.08175032040679E+01,1.13558818911657E+01,1.11357343104253E+01,1.27896088796601E+01,1.37192306131050E+01,,,
