Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PNG,Papua New Guinea,AG.LND.FRST.K2,Forest area (sq. km),3.15230000000000E+05,,,,,,,,,,3.01330000000000E+05,,,,,2.94370000000000E+05,,,,,2.87260000000000E+05,
PNG,Papua New Guinea,AG.LND.FRST.ZS,Forest area (% of land area),6.96087090933180E+01,,,,,,,,,,6.65393278275847E+01,,,,,6.50024290067571E+01,,,,,6.34324073665150E+01,
PNG,Papua New Guinea,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.12400000000000E+08,3.98390000000000E+08,4.45170000000000E+08,3.06010000000000E+08,3.22940000000000E+08,3.70260000000000E+08,3.81300000000000E+08,3.46350000000000E+08,3.61510000000000E+08,2.15970000000000E+08,2.75150000000000E+08,2.02850000000000E+08,2.05870000000000E+08,2.20220000000000E+08,2.68340000000000E+08,2.66910000000000E+08,2.78890000000000E+08,3.24450000000000E+08,3.04380000000000E+08,4.13680000000000E+08,,
PNG,Papua New Guinea,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.12400000000000E+08,3.98390000000000E+08,4.45170000000000E+08,3.06010000000000E+08,3.22940000000000E+08,3.70260000000000E+08,3.81300000000000E+08,3.46350000000000E+08,3.61510000000000E+08,2.15970000000000E+08,2.75150000000000E+08,2.02850000000000E+08,2.05870000000000E+08,2.20220000000000E+08,2.68340000000000E+08,2.66910000000000E+08,2.78890000000000E+08,3.24450000000000E+08,3.04380000000000E+08,4.13680000000000E+08,,
PNG,Papua New Guinea,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.33189965832600E+01,1.08745463522139E+01,1.11873643752276E+01,6.73883036642583E+00,6.33541987636721E+00,8.47273169982896E+00,8.12232858468758E+00,7.50834663234312E+00,1.02594292666321E+01,6.76645074256504E+00,8.33083212879102E+00,7.16387676809673E+00,7.42228439897805E+00,7.03629309565632E+00,7.53991453458913E+00,5.89137136502637E+00,5.65569542876791E+00,5.18194770108345E+00,3.83781097797211E+00,5.26669054931364E+00,,
PNG,Papua New Guinea,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),9.91905531340511E+01,9.34850501122013E+01,1.01897196379339E+02,6.83064286972269E+01,7.02736590415373E+01,7.85178270415091E+01,7.87697133447628E+01,6.96814270176832E+01,7.08266386215303E+01,4.12112445998138E+01,5.11543043609532E+01,3.67576042123834E+01,3.63731385423112E+01,3.79491469024194E+01,4.51133002193124E+01,4.37884929333205E+01,4.46587271950495E+01,5.07245821690547E+01,4.64754229022236E+01,6.17123261002951E+01,,
PNG,Papua New Guinea,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.71813368336345E+01,2.71816002104238E+01,2.83639778544512E+01,2.89566557875548E+01,3.08453748349551E+01,2.07771836746232E+01,1.63426770771436E+01,2.05164537643677E+01,1.47585797377999E+01,9.65895159554970E+00,1.28544296501620E+01,1.26900885098260E+01,1.50979996239344E+01,7.80258170779876E+00,9.04977989948297E+00,8.53029956087268E+00,7.08918851410679E+00,1.92531541520110E+01,1.56193644584108E+01,1.17093401557196E+01,,
