Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PRY,Paraguay,AG.LND.FRST.K2,Forest area (sq. km),2.11570000000000E+05,,,,,,,,,,1.93680000000000E+05,,,,,1.84750000000000E+05,,,,,1.75820000000000E+05,
PRY,Paraguay,AG.LND.FRST.ZS,Forest area (% of land area),5.32519506670023E+01,,,,,,,,,,4.87490561288699E+01,,,,,4.65013843443242E+01,,,,,4.42537125597785E+01,
PRY,Paraguay,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.71900000000000E+07,1.45390000000000E+08,9.81300000000000E+07,1.28690000000000E+08,9.51100000000000E+07,1.39340000000000E+08,8.84800000000000E+07,1.08140000000000E+08,7.66700000000000E+07,7.80600000000000E+07,8.15500000000000E+07,6.13800000000000E+07,5.67700000000000E+07,5.12400000000000E+07,2.24400000000000E+07,5.06500000000000E+07,5.59700000000000E+07,1.07950000000000E+08,1.33540000000000E+08,1.48270000000000E+08,,
PRY,Paraguay,DT.ODA.ODAT.CD,Net official development assistance received (current US$),5.71900000000000E+07,1.45390000000000E+08,9.81300000000000E+07,1.28690000000000E+08,9.51100000000000E+07,1.39340000000000E+08,8.84800000000000E+07,1.08140000000000E+08,7.66700000000000E+07,7.80600000000000E+07,8.15500000000000E+07,6.13800000000000E+07,5.67700000000000E+07,5.12400000000000E+07,2.24400000000000E+07,5.06500000000000E+07,5.59700000000000E+07,1.07950000000000E+08,1.33540000000000E+08,1.48270000000000E+08,,
