Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PER,Peru,AG.LND.FRST.K2,Forest area (sq. km),7.01560000000000E+05,,,,,,,,,,6.92130000000000E+05,,,,,6.87420000000000E+05,,,,,6.79920000000000E+05,
PER,Peru,AG.LND.FRST.ZS,Forest area (% of land area),5.48093750000000E+01,,,,,,,,,,5.40726562500000E+01,,,,,5.37046875000000E+01,,,,,5.31187500000000E+01,
PER,Peru,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PER,Peru,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.97080000000000E+08,6.10520000000000E+08,4.05580000000000E+08,5.63820000000000E+08,3.33690000000000E+08,3.70940000000000E+08,3.27720000000000E+08,3.93170000000000E+08,4.97870000000000E+08,4.44710000000000E+08,3.96840000000000E+08,4.50640000000000E+08,4.88480000000000E+08,5.16890000000000E+08,4.63450000000000E+08,4.50480000000000E+08,4.63440000000000E+08,3.08530000000000E+08,4.63020000000000E+08,4.41920000000000E+08,,
PER,Peru,DT.ODA.ODAT.CD,Net official development assistance received (current US$),3.97080000000000E+08,6.10520000000000E+08,4.05580000000000E+08,5.63820000000000E+08,3.33690000000000E+08,3.70940000000000E+08,3.27720000000000E+08,3.93170000000000E+08,4.97870000000000E+08,4.44710000000000E+08,3.96840000000000E+08,4.50640000000000E+08,4.88480000000000E+08,5.16890000000000E+08,4.63450000000000E+08,4.50480000000000E+08,4.63440000000000E+08,3.08530000000000E+08,4.63020000000000E+08,4.41920000000000E+08,,
PER,Peru,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.55663854941005E+00,1.89029990957556E+00,1.16143022577816E+00,1.70056614644294E+00,7.76717418519209E-01,7.25337816798779E-01,6.07553230218101E-01,6.85281761081088E-01,8.96094195257262E-01,8.82483963749501E-01,7.64955206748059E-01,8.54663640221446E-01,8.83089371425642E-01,8.74920881917094E-01,7.03222230435593E-01,6.07598360458206E-01,5.48329505440319E-01,3.12027157451708E-01,3.86037016929475E-01,3.60555291337559E-01,,
PER,Peru,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.83108216319476E+01,2.75977852881275E+01,1.79831975622166E+01,2.45350537258582E+01,1.42575005694412E+01,1.55679465490709E+01,1.35149674800734E+01,1.59388788972762E+01,1.98519598123317E+01,1.74542714846280E+01,1.53445879645209E+01,1.71814584520506E+01,1.83782448053843E+01,1.92035752852301E+01,1.70123132880721E+01,1.63461582772438E+01,1.66307889142572E+01,1.09539567418652E+01,1.62672417409371E+01,1.53630283743926E+01,,
PER,Peru,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",1.10282502896871E+01,2.58790702896923E+01,2.13117258991275E+01,6.23477708760674E+01,1.96470483338615E+01,1.72583541088586E+01,3.71453917051273E+01,3.80776498925816E+01,2.61306925955040E+01,3.03945571670537E+01,2.77958460880955E+01,2.40323688718162E+01,3.59996934861081E+01,2.32631374952108E+01,1.83940606453181E+01,2.83703012096103E+01,1.36638522194325E+01,2.65263001307723E+01,1.33349295908656E+01,1.18327855790747E+01,,
PER,Peru,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",7.30356894553882E+00,2.07898270828655E+01,1.76438178335816E+01,5.88027990608445E+01,1.68131681098645E+01,1.31532015760476E+01,3.07537521661074E+01,3.23889681938249E+01,2.08354721307593E+01,2.59927571181980E+01,2.44047978738551E+01,2.10329239780717E+01,3.43068971942233E+01,2.09105276775882E+01,1.64114700520116E+01,2.20662965779448E+01,9.34334804229625E+00,2.26691102899796E+01,1.02653195005345E+01,9.11683673007773E+00,,
PER,Peru,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),9.97368803498451E+00,1.03871210111023E+01,1.06343640513459E+01,1.04364849070151E+01,1.13664573758308E+01,1.15561938331756E+01,1.15022724194795E+01,1.26986001330699E+01,1.19933430779298E+01,1.13604276124435E+01,1.17773009650415E+01,1.22327457478444E+01,1.27674900399942E+01,1.35600058332506E+01,1.28926759767990E+01,1.30556760560848E+01,1.45207645403838E+01,1.46756129735954E+01,1.54165054133892E+01,,,
PER,Peru,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.00263813796092E+02,9.62730672850681E+01,9.40347721003058E+01,9.58177019283409E+01,8.79781595034494E+01,8.65336818018054E+01,8.69393423778130E+01,7.87488376294159E+01,8.33795876180849E+01,8.80248555877126E+01,8.49090978457881E+01,8.17477956799857E+01,7.83239303001214E+01,7.37462809601372E+01,7.75634167646460E+01,7.65950377218445E+01,6.88668972779560E+01,6.81402542980126E+01,6.48655433371756E+01,,,
PER,Peru,EN.ATM.CO2E.KT,CO2 emissions (kt),2.11486080000000E+04,2.03901600000000E+04,2.04084800000000E+04,2.35961600000000E+04,2.32700640000000E+04,2.38563040000000E+04,2.43436160000000E+04,2.73664160000000E+04,2.78097600000000E+04,2.93486400000000E+04,3.02939520000000E+04,2.71685600000000E+04,2.71942080000000E+04,2.63954560000000E+04,3.19061120000000E+04,3.71786080000000E+04,3.49765440000000E+04,4.29530720000000E+04,,,,
PER,Peru,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),9.75240225778130E-01,9.21711422509607E-01,9.04900951192233E-01,1.02680474854377E+00,9.94254999343503E-01,1.00122301593354E+00,1.00391547231599E+00,1.10941829355363E+00,1.10888030592441E+00,1.15189478596077E+00,1.17137438579018E+00,1.03585009063120E+00,1.02313669323727E+00,9.80647964719723E-01,1.17120891821840E+00,1.34906635343545E+00,1.25515173531466E+00,1.52499300754617E+00,,,,
PER,Peru,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),3.01882179373768E-01,2.75519432618285E-01,2.71243494613269E-01,2.92924075748062E-01,2.50937374353398E-01,2.31482340987189E-01,2.26397400814744E-01,2.33658635399947E-01,2.35703678179853E-01,2.42932942696053E-01,2.38412710452387E-01,2.08627573980501E-01,1.95663592306180E-01,1.78703656923573E-01,2.00099487825891E-01,2.11222139312096E-01,1.78625531365556E-01,1.95668955541892E-01,,,,
PER,Peru,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),6.64000000000000E+01,,,,,5.63000000000000E+01,,,,,4.62000000000000E+01,,,,,3.61000000000000E+01,,3.61000000000000E+01,,,,
PER,Peru,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,1.17388613860000E+00,,,,,,,,1.19616336633663E+00,,,,,,,,,,,
PER,Peru,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,7.16525648713990E+04,,,,,6.55116827275692E+04,,,,,6.07993031557096E+04,,,,,5.73739801473247E+04,,,,
PER,Peru,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
PER,Peru,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),2.83420463510098E+00,2.83424543956076E+00,2.83428625709703E+00,2.83432707318036E+00,2.83436789507546E+00,2.83440871842350E+00,2.83444954613037E+00,2.83449037529018E+00,2.83453121171472E+00,2.83453121171472E+00,2.83453121171472E+00,2.83453121171472E+00,2.83453121171472E+00,2.83453121171472E+00,2.83453121171472E+00,2.83453121171472E+00,2.83453121171472E+00,2.83453121171472E+00,2.83453121171472E+00,2.83453121171472E+00,,
PER,Peru,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),7.60875785552371E-03,2.57661298798281E-02,9.55515329813519E-02,1.57962195425606E-01,2.23033812737820E-01,3.08651936447491E-01,8.28795936898975E-01,1.71000896893854E+00,2.96119451642991E+00,3.97712164223300E+00,4.92561505662754E+00,6.83721696669785E+00,8.67948804578850E+00,1.08868545361773E+01,1.50229536833760E+01,2.02598163945567E+01,3.14793374541163E+01,5.47369321351734E+01,7.36098977568970E+01,8.58690105760572E+01,,
PER,Peru,IT.MLT.MAIN.P2,Telephone lines (per 100 people),2.60313590574215E+00,2.44061302595395E+00,2.72116133909599E+00,2.92870178312774E+00,3.30017407319090E+00,4.65532132381853E+00,5.91845631457493E+00,6.67246218038123E+00,6.20074391717482E+00,6.62517376853503E+00,6.63956578265151E+00,5.98955158086270E+00,6.23277133607823E+00,6.83289356332298E+00,7.52448247896917E+00,8.16771605437093E+00,8.61469411158325E+00,9.49138889695612E+00,1.01119728121839E+01,1.03086400139168E+01,,
PER,Peru,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,8.54535680987816E-03,3.35751260022018E-02,2.47436240938730E-01,4.05394076284463E-01,1.19621345807128E+00,1.96243298831014E+00,3.09335509817980E+00,7.62535880172672E+00,9.02959947857073E+00,1.05883630101000E+01,1.18199695301742E+01,1.66916018636391E+01,2.33171311372371E+01,2.48525904103511E+01,2.50439635716654E+01,2.81064226233108E+01,,
PER,Peru,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),1.64800793898743E+01,1.72864688282210E+01,1.73067887235727E+01,1.93122413607426E+01,2.22474829028839E+01,2.48189585849868E+01,2.28215702706634E+01,2.40908462122545E+01,2.36080271261380E+01,2.10942950650134E+01,2.01626659919239E+01,1.86536079959738E+01,1.89536789836713E+01,1.88024011391100E+01,1.79504450354279E+01,1.78897428513028E+01,2.00426677307744E+01,2.29798201174761E+01,2.67344947005339E+01,2.30677668198633E+01,2.24648780787288E+01,
PER,Peru,NE.TRD.GNFS.ZS,Trade (% of GDP),2.95980021149247E+01,2.71367207167668E+01,2.83722333440956E+01,2.82089243201397E+01,2.79437149942740E+01,3.08479320749932E+01,3.14522440295248E+01,3.29416978034501E+01,3.16679288265131E+01,3.24889868693818E+01,3.41574289635905E+01,3.34512385464561E+01,3.33784299429681E+01,3.55223364339982E+01,3.92703879997781E+01,4.42561849481972E+01,4.83852419001884E+01,5.13022645494860E+01,5.45219135431045E+01,4.44378624588582E+01,4.45570481592326E+01,
PER,Peru,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
PER,Peru,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",1.68427670456897E+10,2.53255745448270E+10,3.25190338603455E+10,3.58649870476602E+10,4.18473939641626E+10,4.77502318812986E+10,5.34103822833180E+10,5.79800061084009E+10,5.59407524378600E+10,5.37439063895990E+10,5.33403090676391E+10,5.20573947666849E+10,5.44117562233593E+10,5.86079807407504E+10,6.54164309522292E+10,7.39002398940080E+10,8.22682969343152E+10,9.53008317107830E+10,1.15756932625041E+11,1.23646733912402E+11,1.38978254466051E+11,
PER,Peru,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",7.80000000000000E+02,1.14000000000000E+03,1.44000000000000E+03,1.56000000000000E+03,1.79000000000000E+03,2.00000000000000E+03,2.20000000000000E+03,2.35000000000000E+03,2.23000000000000E+03,2.11000000000000E+03,2.06000000000000E+03,1.98000000000000E+03,2.05000000000000E+03,2.18000000000000E+03,2.40000000000000E+03,2.68000000000000E+03,2.95000000000000E+03,3.38000000000000E+03,4.07000000000000E+03,4.30000000000000E+03,4.78000000000000E+03,
PER,Peru,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",7.76942417793392E-02,3.60585923666695E-01,5.97464046458669E-01,8.59819549833566E-01,1.06302952015212E+00,1.17338507345464E+00,1.27486178105604E+00,1.34503962933566E+00,1.40933899426552E+00,1.44377199560071E+00,1.46492588364396E+00,1.45296592027659E+00,1.43649027997388E+00,1.44493827152426E+00,1.49200300952655E+00,1.48652550639604E+00,1.54361966295781E+00,1.52847185425762E+00,1.50665322740796E+00,1.52496548269955E+00,1.57837108260816E+00,
PER,Peru,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",8.91582153617232E-02,4.35830728974157E-01,7.34056385525218E-01,1.05939128156281E+00,1.27754670022318E+00,1.38097882592742E+00,1.49645132353390E+00,1.58747019056965E+00,1.67650319171429E+00,1.69752973936126E+00,1.70377753925646E+00,1.68970884102671E+00,1.66654040240988E+00,1.66636575657390E+00,1.68235532185155E+00,1.65344989440000E+00,1.63384916658937E+00,1.61680918948853E+00,1.64712113180126E+00,1.70153416309544E+00,1.69966383491449E+00,
PER,Peru,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,,9.37862498433835E+01,,,,,,,,,,,9.56560196265000E+01,9.62877757220000E+01,9.69576355424000E+01,9.67052347990000E+01,,,,
PER,Peru,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,,,9.69854774596430E+01,,,,,,,,,,,9.78030308875000E+01,9.79213538119000E+01,9.85127461720000E+01,9.80132591114000E+01,,,,
PER,Peru,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",,,,9.53666310589636E+01,,,,,,,,,,,9.67556253939000E+01,9.71237598531000E+01,9.77571257817000E+01,9.73562161690000E+01,,,,
PER,Peru,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",,,,8.71506327280751E+01,,,,,,,,,,,8.76698484954250E+01,8.79086735851189E+01,8.86993418330323E+01,8.95908130156422E+01,,,,
PER,Peru,SE.ENR.ORPH,Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14,,,,,,,,,,,8.50000000000000E-01,,,,,,,,,,,
PER,Peru,SE.ENR.PRIM.FM.ZS,Ratio of female to male primary enrollment (%),,9.73730000000000E+01,,,,9.73650000000000E+01,,,9.85890000000000E+01,9.91130000000000E+01,9.92340000000000E+01,9.95140000000000E+01,9.94910000000000E+01,9.92800000000000E+01,9.93860000000000E+01,9.95250000000000E+01,9.93520000000000E+01,9.94440000000000E+01,9.96530000000000E+01,,,
PER,Peru,SE.ENR.PRSC.FM.ZS,Ratio of girls to boys in primary and secondary education (%),,9.61910000000000E+01,,,,9.61650000000000E+01,,,9.71790000000000E+01,9.72970000000000E+01,9.70120000000000E+01,9.71490000000000E+01,9.70580000000000E+01,9.73400000000000E+01,9.87320000000000E+01,9.87140000000000E+01,9.90060000000000E+01,9.90850000000000E+01,9.93800000000000E+01,,,
PER,Peru,SE.ENR.SECO.FM.ZS,Ratio of female to male secondary enrollment (%),,9.36240000000000E+01,,,,9.36050000000000E+01,,,9.45500000000000E+01,9.39790000000000E+01,9.31330000000000E+01,9.32220000000000E+01,9.31340000000000E+01,9.40290000000000E+01,9.77020000000000E+01,9.74530000000000E+01,9.85180000000000E+01,9.85900000000000E+01,9.90260000000000E+01,,,
PER,Peru,SE.ENR.TERT.FM.ZS,Ratio of female to male tertiary enrollment (%),,,,,,,,,9.50120000000000E+01,,,9.76900000000000E+01,1.07183000000000E+02,1.07313000000000E+02,1.02449000000000E+02,1.02507000000000E+02,1.06298000000000E+02,,,,,
PER,Peru,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",,,,,,8.93981800000000E+01,,,9.86949500000000E+01,1.03450420000000E+02,1.01722320000000E+02,9.68532000000000E+01,9.63797100000000E+01,1.01232820000000E+02,1.00951710000000E+02,1.00491540000000E+02,1.00925110000000E+02,1.02579740000000E+02,1.00962420000000E+02,,,
PER,Peru,SE.PRM.NENR,"School enrollment, primary (% net)",,,,8.58649700000000E+01,,8.92846100000000E+01,8.90783900000000E+01,8.86433300000000E+01,9.75401400000000E+01,9.76401000000000E+01,9.76015500000000E+01,9.79603100000000E+01,9.79172500000000E+01,9.99024200000000E+01,9.70995100000000E+01,9.69492400000000E+01,9.69676300000000E+01,9.67953000000000E+01,9.44366500000000E+01,,,
PER,Peru,SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)",,,,,,,,,8.49083190425798E+01,8.17548800000000E+01,8.04578300000000E+01,7.67653300000000E+01,,8.36881200000000E+01,8.49451500000000E+01,8.39069000000000E+01,8.95678200000000E+01,8.36569000000000E+01,,,,
PER,Peru,SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)",,,,,,,,,8.54658195890923E+01,8.43834000000000E+01,8.13659500000000E+01,7.94473700000000E+01,,8.44492000000000E+01,8.61616500000000E+01,8.58875300000000E+01,8.98435700000000E+01,8.22892300000000E+01,,,,
PER,Peru,SE.PRM.PRSL.ZS,"Persistence to last grade of primary, total (% of cohort)",,,,,,,,,8.51928564959459E+01,8.30875300000000E+01,8.09254400000000E+01,7.81144900000000E+01,,8.40759300000000E+01,8.55611700000000E+01,8.49051500000000E+01,8.97073300000000E+01,8.29589300000000E+01,,,,
