Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
POL,Poland,AG.LND.FRST.K2,Forest area (sq. km),8.88100000000000E+04,,,,,,,,,,9.05900000000000E+04,,,,,9.20000000000000E+04,,,,,9.33700000000000E+04,
POL,Poland,AG.LND.FRST.ZS,Forest area (% of land area),2.91735102818474E+01,,,,,,,,,,2.97640951504797E+01,,,,,3.00329709790096E+01,,,,,3.06916047597134E+01,
POL,Poland,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,1.13000000000000E+06,2.00000000000000E+06,7.70000000000000E+05,2.41000000000000E+07,8.30000000000000E+05,5.50000000000000E+05,9.60000000000000E+06,9.30000000000000E+05,9.38900000000000E+07,5.79000000000000E+06,1.31700000000000E+07,1.56600000000000E+07,,
POL,Poland,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,7.09353421217828E-04,1.28949065119278E-03,4.87959442332066E-04,1.38719406902586E-02,,2.66405479505402E-04,3.96928763690941E-03,3.10896979238032E-04,2.78323837744525E-02,1.61827222189615E-03,2.66514768763125E-03,3.73677828339087E-03,,
POL,Poland,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,1.87200000000000E+07,2.03300000000000E+07,2.88100000000000E+07,3.55700000000000E+07,1.42600000000000E+07,2.71900000000000E+07,1.17510000000000E+08,2.04790000000000E+08,2.96790000000000E+08,3.62840000000000E+08,3.72370000000000E+08,3.74670000000000E+08,3.77890000000000E+08,
POL,Poland,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,1.00000000000000E-02,1.00000000000000E-02,2.00000000000000E-02,2.00000000000000E-02,,1.00000000000000E-02,5.00000000000000E-02,7.00000000000000E-02,9.00000000000000E-02,1.00000000000000E-01,8.00000000000000E-02,9.00000000000000E-02,8.00000000000000E-02,
POL,Poland,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,3.06300000000000E+07,3.56200000000000E+07,5.15800000000000E+07,5.78600000000000E+07,2.26100000000000E+07,4.09400000000000E+07,1.59980000000000E+08,2.40040000000000E+08,3.28820000000000E+08,3.44510000000000E+08,3.03180000000000E+08,3.74670000000000E+08,3.59240000000000E+08,
POL,Poland,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.32028000000000E+09,2.50726000000000E+09,1.43553000000000E+09,1.07156000000000E+09,1.80952000000000E+09,3.78888000000000E+09,1.16437000000000E+09,8.60480000000000E+08,8.75320000000000E+08,1.17915000000000E+09,1.39341000000000E+09,9.60460000000000E+08,8.82020000000000E+08,1.18580000000000E+09,1.52207000000000E+09,,,,,,,
POL,Poland,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
POL,Poland,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
POL,Poland,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),3.02104351787546E+00,2.86798439163220E+00,3.01554853213482E+00,3.05621470254440E+00,3.37382923254804E+00,3.49110602213673E+00,3.56543745185559E+00,3.86948070463130E+00,4.34348361833718E+00,4.66220001945555E+00,5.07161245742993E+00,5.09744751730456E+00,5.22212282915294E+00,5.29010843469921E+00,5.55346543046227E+00,5.69491067347782E+00,5.74377194228742E+00,6.15247027233237E+00,6.40933634770517E+00,6.81576897835575E+00,,
POL,Poland,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",3.31011451534219E+02,3.48676932453906E+02,3.31614626441466E+02,3.27202142953984E+02,2.96399115388766E+02,2.86442174388033E+02,2.80470493032927E+02,2.58432610557567E+02,2.30229946252873E+02,2.14491011931483E+02,1.97175949147099E+02,1.96176615179509E+02,1.91493006334017E+02,1.89032042035422E+02,1.80067745540420E+02,1.75595379337058E+02,1.74101619989069E+02,1.62536339996147E+02,1.56022393856432E+02,1.46718587906312E+02,,
POL,Poland,EN.ATM.CO2E.KT,CO2 emissions (kt),3.47574368000000E+05,3.48109312000000E+05,3.41327248000000E+05,3.52223984000000E+05,3.35864224000000E+05,3.46526464000000E+05,3.58529728000000E+05,3.50762048000000E+05,3.26726208000000E+05,3.16994624000000E+05,3.01444608000000E+05,3.02558464000000E+05,2.96688736000000E+05,3.04540688000000E+05,3.04789840000000E+05,3.03386528000000E+05,3.18965856000000E+05,3.17119200000000E+05,,,,
POL,Poland,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),9.11818756099353E+00,9.10222965976718E+00,8.89690908569596E+00,9.15842804025066E+00,8.71387789412510E+00,8.98025438223678E+00,9.28400559324667E+00,9.07534406209573E+00,8.44992972534500E+00,8.19997475296187E+00,7.83914580830164E+00,7.91042310206663E+00,7.76055221446492E+00,7.97131568291437E+00,7.98250662310853E+00,7.94924644531198E+00,8.36274935491786E+00,8.31884946076343E+00,,,,
POL,Poland,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),1.67037787291585E+00,1.73756829035958E+00,1.62338290319347E+00,1.58015115971610E+00,1.40921845976630E+00,1.21032109146140E+00,1.15323240069653E+00,1.03273018850468E+00,9.01457558769272E-01,8.27844723255574E-01,7.45686337001079E-01,7.22326765862964E-01,6.71146614643020E-01,6.65273942234342E-01,6.13386111602766E-01,5.76694117257684E-01,5.55155911280760E-01,4.96345618411612E-01,,,,
POL,Poland,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
POL,Poland,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,2.44589552238806E+01,,,,,,,,,,,
POL,Poland,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,1.39711766285153E+03,,,,,1.38680465717982E+03,,,,,1.40202693335591E+03,,,,,1.40606538833637E+03,,,,
POL,Poland,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
POL,Poland,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),3.75899938622926E+00,3.77521722381274E+00,3.77594397383848E+00,3.77666858452813E+00,4.35497365133962E+00,4.35581743215535E+00,4.36290449128784E+00,4.36382040030348E+00,4.36473296748652E+00,4.44693530013074E+00,4.45989059009029E+00,4.46394669904665E+00,4.46394669904665E+00,4.46394669904665E+00,4.46394669904665E+00,4.47062495911887E+00,4.47062495911887E+00,4.47062495911887E+00,4.47062495911887E+00,4.47062496287374E+00,,
POL,Poland,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,5.72140535440131E-03,4.08200941262123E-02,1.01033634637138E-01,1.94362955975495E-01,5.61655186700502E-01,2.10142302716688E+00,4.98638279042299E+00,1.02346215531067E+01,1.75457498210123E+01,2.61572921994821E+01,3.63545348404216E+01,4.55474881669915E+01,6.04890516848391E+01,7.64209404606706E+01,9.63404178471575E+01,1.08573368282103E+02,1.15214398748101E+02,1.16779197980226E+02,,
POL,Poland,IT.MLT.MAIN.P2,Telephone lines (per 100 people),8.63878191338657E+00,9.32239491271925E+00,1.02650196665164E+01,1.14818378012949E+01,1.29881329196027E+01,1.48454348028900E+01,1.69154125019421E+01,1.94307891332471E+01,2.27908471351359E+01,2.63210616172590E+01,2.84642330266975E+01,2.98054208007744E+01,3.10257731263035E+01,3.21753392329766E+01,3.28778063256769E+01,3.10129830793274E+01,3.00871310856034E+01,2.75194514456241E+01,2.55088744593911E+01,2.50480196074592E+01,,
