Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PRT,Portugal,AG.LND.FRST.K2,Forest area (sq. km),3.32700000000000E+04,,,,,,,,,,3.42000000000000E+04,,,,,3.43700000000000E+04,,,,,3.45600000000000E+04,
PRT,Portugal,AG.LND.FRST.ZS,Forest area (% of land area),3.63606557377049E+01,,,,,,,,,,3.73770491803279E+01,,,,,3.75751612550563E+01,,,,,3.77828796326665E+01,
PRT,Portugal,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,3.95300000000000E+07,8.22200000000000E+07,1.37360000000000E+08,2.16180000000000E+08,1.04320000000000E+08,8.39600000000000E+07,1.09140000000000E+08,4.95600000000000E+07,1.81860000000000E+08,2.29560000000000E+08,5.92800000000000E+07,5.22900000000000E+07,3.20100000000000E+07,7.52520000000000E+08,9.40000000000000E+07,8.73700000000000E+07,1.33960000000000E+08,7.90300000000000E+07,1.87870000000000E+08,,
PRT,Portugal,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,2.45060973000000E+06,2.24806167000000E+06,9.51050120000000E+05,1.07280820000000E+07,1.41012729540000E+08,1.45642248370000E+08,1.37302992380000E+08,1.62282667130000E+08,1.65704832180000E+08,1.74355845430000E+08,2.27003550860000E+08,1.59770925020000E+08,2.83698550350000E+08,2.15565805470000E+08,2.79166795740000E+08,,
PRT,Portugal,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,2.00087100000000E+05,7.71657970000000E+05,1.14181060000000E+05,4.55178520000000E+05,3.67447719000000E+06,3.57748502000000E+06,4.40522972000000E+06,4.94324661000000E+06,4.47229804000000E+06,5.08957387000000E+06,5.97931767000000E+06,8.15011168000000E+06,9.53282955000000E+06,6.43710947000000E+06,1.01265603600000E+07,,
PRT,Portugal,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,8.16478844226249E+00,3.43254804927126E+01,1.20057878758272E+01,4.24286950826811E+00,2.60577694083830E+00,2.45635113439852E+00,3.20840037324757E+00,3.04607183097386E+00,2.69895450914906E+00,2.91907269151085E+00,2.63401944478288E+00,5.10112317305528E+00,3.36019677867205E+00,2.98614590378335E+00,3.62742292942005E+00,,
PRT,Portugal,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",8.41300000000000E+07,1.35570000000000E+08,2.06240000000000E+08,1.48550000000000E+08,1.49770000000000E+08,1.41510000000000E+08,1.29130000000000E+08,1.47030000000000E+08,1.08070000000000E+08,1.65790000000000E+08,1.24930000000000E+08,1.32000000000000E+08,1.45010000000000E+08,1.10610000000000E+08,7.93710000000000E+08,1.11390000000000E+08,1.18200000000000E+08,1.30760000000000E+08,1.34480000000000E+08,1.36360000000000E+08,,
PRT,Portugal,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),1.41258922080081E-01,1.96874577954752E-01,2.43378600997871E-01,1.74764705882353E-01,1.70149155724138E-01,1.37155557916166E-01,1.21828650592732E-01,1.45745284466485E-01,1.01262402114339E-01,1.53757577747321E-01,1.20362217728537E-01,1.23407459457377E-01,1.22119916182670E-01,7.60226562773847E-02,4.82781252119403E-01,6.23426322862637E-02,6.31539161919749E-02,6.10266402099660E-02,5.86139517680575E-02,6.22907036241121E-02,,
PRT,Portugal,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",1.42310000000000E+08,2.05180000000000E+08,2.92780000000000E+08,2.35250000000000E+08,3.03180000000000E+08,2.57530000000000E+08,2.17930000000000E+08,2.50480000000000E+08,2.58540000000000E+08,2.75980000000000E+08,2.70620000000000E+08,2.68450000000000E+08,3.22580000000000E+08,3.19600000000000E+08,1.03105000000000E+09,3.77120000000000E+08,3.96350000000000E+08,4.70540000000000E+08,6.20150000000000E+08,5.12710000000000E+08,6.48100000000000E+08,
PRT,Portugal,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",2.40000000000000E-01,3.00000000000000E-01,3.50000000000000E-01,2.80000000000000E-01,3.40000000000000E-01,2.50000000000000E-01,2.10000000000000E-01,2.50000000000000E-01,2.40000000000000E-01,2.60000000000000E-01,2.60000000000000E-01,2.50000000000000E-01,2.70000000000000E-01,2.20000000000000E-01,6.30000000000000E-01,2.10000000000000E-01,2.10000000000000E-01,2.20000000000000E-01,2.70000000000000E-01,2.30000000000000E-01,2.90000000000000E-01,
PRT,Portugal,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",3.04060000000000E+08,4.03940000000000E+08,4.82940000000000E+08,4.30720000000000E+08,5.34770000000000E+08,3.96600000000000E+08,3.37290000000000E+08,4.23700000000000E+08,4.33350000000000E+08,4.67750000000000E+08,5.13610000000000E+08,5.06200000000000E+08,5.57180000000000E+08,4.47020000000000E+08,1.27985000000000E+09,4.56460000000000E+08,4.62180000000000E+08,4.89270000000000E+08,6.00180000000000E+08,5.12710000000000E+08,6.73960000000000E+08,
PRT,Portugal,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,3.70300000000000E+07,2.70000000000000E+06,8.77100000000000E+07,2.01530000000000E+08,1.02370000000000E+08,8.39600000000000E+07,1.08050000000000E+08,4.09400000000000E+07,1.34060000000000E+08,2.25520000000000E+08,3.42300000000000E+07,1.72800000000000E+07,3.00000000000000E+07,7.46630000000000E+08,5.70200000000000E+07,5.35300000000000E+07,5.79200000000000E+07,6.03800000000000E+07,5.23500000000000E+07,,
PRT,Portugal,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,9.36756893498609E+01,3.28387253709560E+00,6.38541059988352E+01,9.32232398926820E+01,9.81307515337423E+01,1.00000000000000E+02,9.90012827560931E+01,8.26069410815173E+01,7.37160453095788E+01,9.82401115176860E+01,5.77429149797571E+01,3.30464716006885E+01,9.37207122774133E+01,9.92172965502578E+01,6.06595744680851E+01,6.12681698523521E+01,4.32367871006270E+01,7.64013665696571E+01,2.78650130409326E+01,,
PRT,Portugal,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),9.63595624751892E+00,9.93402725180800E+00,9.44163740046488E+00,9.38514266168488E+00,9.23192796357671E+00,8.68415762947928E+00,9.07652084057309E+00,8.99421319817638E+00,8.73479713003232E+00,8.47013180880500E+00,8.74595934098421E+00,8.86693320872591E+00,8.58101775911147E+00,8.73516608816509E+00,8.62920346166832E+00,8.49752895863078E+00,9.24102309066985E+00,9.30826767985863E+00,9.65653001790980E+00,9.53738996532493E+00,,
PRT,Portugal,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.03777972244060E+02,1.00664108790118E+02,1.05913832271377E+02,1.06551390431445E+02,1.08319736023219E+02,1.15152216561039E+02,1.10174373811812E+02,1.11182599074120E+02,1.14484627990015E+02,1.18061917166444E+02,1.14338514622853E+02,1.12778564635618E+02,1.16536293021674E+02,1.14479792359628E+02,1.15885551249555E+02,1.17681270033722E+02,1.08213126424242E+02,1.07431375460314E+02,1.03556867544068E+02,1.04850488827205E+02,,
PRT,Portugal,EN.ATM.CO2E.KT,CO2 emissions (kt),4.42721120000000E+04,4.76063520000000E+04,5.21607040000000E+04,4.74011680000000E+04,4.85736480000000E+04,5.28275520000000E+04,5.07793760000000E+04,5.37142400000000E+04,5.80231040000000E+04,6.45889920000000E+04,6.31490400000000E+04,6.24382240000000E+04,6.67654080000000E+04,6.12034560000000E+04,6.28266080000000E+04,6.50286720000000E+04,5.94044320000000E+04,5.80634080000000E+04,,,,
PRT,Portugal,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),4.47373807599030E+00,4.79178178158027E+00,5.23544153367460E+00,4.75247323039904E+00,4.85833646729346E+00,5.26853016854493E+00,5.05016171059175E+00,5.32404004361185E+00,5.72841386119064E+00,6.34843640652644E+00,6.17544032585698E+00,6.06608666725801E+00,6.43931452124305E+00,5.86179641464121E+00,5.98236407074101E+00,6.16419171321581E+00,5.61248122698960E+00,5.47337617071859E+00,,,,
PRT,Portugal,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),4.02632251560624E-01,4.00630915963184E-01,4.24157730994808E-01,3.85042240640832E-01,3.82788534255811E-01,3.91099630858200E-01,3.60473421600744E-01,3.57463262595900E-01,3.65184936329050E-01,3.80158759976414E-01,3.47938974131477E-01,3.28522073250820E-01,3.37345811553625E-01,3.02273497734057E-01,3.02196494008264E-01,2.89478616642697E-01,2.45409812165667E-01,2.26115052880914E-01,,,,
PRT,Portugal,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,3.12631578947368E+01,,,,,,,,,,,
PRT,Portugal,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,3.81411221519623E+03,,,,,3.76647834274953E+03,,,,,3.66498100044915E+03,,,,,3.58208898945970E+03,,,,
PRT,Portugal,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),1.79106067506637E+00,1.79125030061555E+00,1.79144130500336E+00,1.79163232930772E+00,1.79182336893252E+00,1.79201442540979E+00,1.79220550180362E+00,1.79239659811400E+00,1.79258771280890E+00,1.79258771280890E+00,1.79258771280890E+00,1.79258771280890E+00,1.79258771280890E+00,1.79258771280890E+00,1.79258771280890E+00,1.79258771280890E+00,1.79258771280890E+00,1.79258771280890E+00,1.79258771280890E+00,1.79258771280890E+00,,
PRT,Portugal,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),6.56831042845594E-02,1.26824358329139E-01,3.74003814112215E-01,1.01564066573090E+00,1.73542708541708E+00,3.39927196569263E+00,6.60020885131775E+00,1.49366438695609E+01,3.03547536775595E+01,4.59156477295066E+01,6.51775659222385E+01,7.75044960171472E+01,8.36194349313004E+01,9.58014859581030E+01,1.00658257450745E+02,1.08511260899173E+02,1.15514376705821E+02,1.26795873244953E+02,1.40359775128307E+02,1.42751240961424E+02,,
