Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PRI,Puerto Rico,AG.LND.FRST.K2,Forest area (sq. km),2.87000000000000E+03,,,,,,,,,,4.64000000000000E+03,,,,,5.08000000000000E+03,,,,,5.52000000000000E+03,
PRI,Puerto Rico,AG.LND.FRST.ZS,Forest area (% of land area),3.23562570462232E+01,,,,,,,,,,5.23111612175874E+01,,,,,5.72717023675310E+01,,,,,6.22322435174746E+01,
PRI,Puerto Rico,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",1.11830985915493E+01,,,,,1.16225352112676E+01,,,,,1.20633802816901E+01,,,,,1.40140845070423E+01,,,,,,
PRI,Puerto Rico,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,1.98037697451952E+03,,,,,1.88858417366462E+03,,,,,1.84020203863284E+03,,,,,1.80146578420216E+03,,,,
PRI,Puerto Rico,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),1.50205457869189E+00,1.50256461603455E+00,1.50294655043023E+00,1.50332853188901E+00,1.50371192131875E+00,1.50409689408552E+00,1.50448325913556E+00,1.50487126467067E+00,1.50576373001125E+00,1.54930849688236E+00,1.54930849688236E+00,1.55295095979414E+00,1.55295095979414E+00,1.55295095979414E+00,1.55295095979414E+00,1.55295095979414E+00,1.55295095979414E+00,1.55295095979414E+00,1.55295095979414E+00,1.55295095867359E+00,,
PRI,Puerto Rico,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),5.75883517104891E-01,9.37927239753966E-01,1.67355800663622E+00,2.62757789592966E+00,4.79552300933044E+00,7.79234248947151E+00,8.83303285807679E+00,9.76211819344954E+00,1.53394474254986E+01,2.14153329889547E+01,3.45557494691844E+01,4.24246853900496E+01,4.26857411815445E+01,4.40862015195129E+01,4.74565933500106E+01,5.09743469364481E+01,5.59966476042238E+01,6.16941643926333E+01,6.43204680781873E+01,6.84586800857412E+01,,
PRI,Puerto Rico,IT.MLT.MAIN.P2,Telephone lines (per 100 people),2.77689284704552E+01,2.89928722021499E+01,3.05766020970798E+01,3.02986283766796E+01,3.09718990572550E+01,3.24704739454748E+01,3.36699103675374E+01,3.34265034859008E+01,3.33694603767527E+01,3.40704316565884E+01,3.40626722905988E+01,3.35726130396626E+01,3.30845777591627E+01,3.12843064749163E+01,2.85545378179531E+01,2.65347421780428E+01,2.64341143705829E+01,2.57002944508511E+01,2.40071886759388E+01,2.19322872450903E+01,,
PRI,Puerto Rico,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,2.74029886247454E-02,1.35755095635392E-01,2.68481241886832E-01,1.32998885469340E+00,2.64473231474113E+00,5.26304570876252E+00,1.04865414416320E+01,1.56340873132508E+01,1.75467152134427E+01,1.97078034389085E+01,2.21370127000196E+01,2.34130168291175E+01,2.54663914938178E+01,2.79100332763715E+01,2.52873080724926E+01,2.52061357783957E+01,,
PRI,Puerto Rico,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),1.69541027922819E+01,1.55976094594040E+01,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,NE.TRD.GNFS.ZS,Trade (% of GDP),,,1.78043483094823E+02,1.67165970623062E+02,1.67205333945368E+02,1.68934601658518E+02,1.61601290967070E+02,1.60955000355309E+02,1.64347964904585E+02,1.70552202631224E+02,1.73245262534941E+02,1.81207744244241E+02,,,,,,,,,,
