Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
QAT,Qatar,AG.LND.FRST.K2,Forest area (sq. km),0.00000000000000E+00,,,,,,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,
QAT,Qatar,AG.LND.FRST.ZS,Forest area (% of land area),0.00000000000000E+00,,,,,,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,
QAT,Qatar,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.52000000000000E+06,1.43000000000000E+06,1.47000000000000E+06,2.32000000000000E+06,1.31000000000000E+06,2.29000000000000E+06,1.83000000000000E+06,6.10000000000000E+05,1.21000000000000E+06,4.89000000000000E+06,4.90000000000000E+05,1.03000000000000E+06,2.14000000000000E+06,1.94000000000000E+06,2.18000000000000E+06,,,,,,,
QAT,Qatar,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.52000000000000E+06,1.43000000000000E+06,1.47000000000000E+06,2.32000000000000E+06,1.31000000000000E+06,2.29000000000000E+06,,,,,,,,,,,,,,,,
QAT,Qatar,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.00489920103376E-02,2.01877134915136E-02,1.86810044144465E-02,3.14998704298467E-02,1.72611111052759E-02,2.73432180683082E-02,,,,,,,,,,,,,,,,
QAT,Qatar,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.20863291128552E+00,2.96111619585609E+00,3.01103637004203E+00,4.72101257580074E+00,2.64579117234805E+00,4.56747598086048E+00,,,,,,,,,,,,,,,,
