Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ROM,Romania,AG.LND.FRST.K2,Forest area (sq. km),6.37100000000000E+04,,,,,,,,,,6.36600000000000E+04,,,,,6.39100000000000E+04,,,,,6.57300000000000E+04,
ROM,Romania,AG.LND.FRST.ZS,Forest area (% of land area),2.77785044691519E+01,,,,,,,,,,2.77132036045449E+01,,,,,2.77893729889556E+01,,,,,2.85906916050457E+01,
ROM,Romania,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.43400000000000E+08,3.20750000000000E+08,2.37280000000000E+08,1.67580000000000E+08,1.54390000000000E+08,2.97850000000000E+08,2.30920000000000E+08,2.18350000000000E+08,3.66120000000000E+08,3.86390000000000E+08,4.30770000000000E+08,6.62370000000000E+08,4.24140000000000E+08,5.97720000000000E+08,9.18490000000000E+08,,,,,,,
ROM,Romania,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.80701754385965E-01,2.41605940594059E+00,9.14591294071302E+00,6.30111226972541E+00,8.56389002872384E+00,1.05102793885082E+01,4.69340222085133E+01,3.26935420358338E+01,2.47107956286385E+01,3.70516966067864E+01,2.00957710242804E+01,1.84580017301038E+01,1.91334335176725E+01,1.69744837758112E+01,1.71237832340549E+01,2.01425390740667E+01,2.08139658035144E+01,2.16976235580981E+01,2.73465866011585E+01,3.14335719646672E+01,,
ROM,Romania,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",0.00000000000000E+00,9.16059405940594E-01,7.37321252708292E+00,4.42415710809871E+00,8.01266584598550E+00,8.83162888771745E+00,2.48988587291795E+01,2.05001476668636E+01,2.10958124808498E+01,2.05830339321357E+01,1.24107251969770E+01,1.30822159746251E+01,1.16090526568887E+01,1.00568893329527E+01,8.41980241173907E+00,7.37855164857754E+00,5.58350756367491E+00,4.46537934915127E+00,5.10395930003336E+00,4.12448325496593E+00,,
ROM,Romania,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),2.92945229128388E+00,3.09427037758224E+00,3.07063373924474E+00,3.23596153696631E+00,3.56887023394689E+00,3.53833655747216E+00,3.58975094925772E+00,3.58454026680393E+00,3.74683935319137E+00,4.16775230248860E+00,4.24504445005806E+00,4.36811006811649E+00,4.54636307100177E+00,4.61020588589663E+00,5.07289177424043E+00,5.29503831947014E+00,5.48993461545884E+00,5.89733423483442E+00,6.44271760634670E+00,,,
ROM,Romania,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",3.41360739335247E+02,3.23177963776186E+02,3.25665671948867E+02,3.09027158875780E+02,2.80200717439389E+02,2.82618677945779E+02,2.78570857459283E+02,2.78975803190412E+02,2.66891613366944E+02,2.39937483665450E+02,2.35568793628609E+02,2.28931960139730E+02,2.19956036150816E+02,2.16910052338262E+02,1.97126223957287E+02,1.88856045918109E+02,1.82151531856891E+02,1.69568140481710E+02,1.55214004570820E+02,,,
ROM,Romania,EN.ATM.CO2E.KT,CO2 emissions (kt),1.58731808000000E+05,1.37418320000000E+05,1.24960720000000E+05,1.22033184000000E+05,1.16713056000000E+05,1.28419536000000E+05,1.27730704000000E+05,1.15892320000000E+05,1.03595936000000E+05,8.61736160000000E+04,8.76355520000000E+04,9.32158240000000E+04,8.97606720000000E+04,9.33513920000000E+04,9.25892800000000E+04,9.17905280000000E+04,9.84773280000000E+04,9.41061760000000E+04,,,,
ROM,Romania,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),6.83982453570044E+00,5.92703558335131E+00,5.48337882311642E+00,5.36291733684904E+00,5.13453240068629E+00,5.66198739032671E+00,5.64980113234253E+00,5.13843752771127E+00,4.60365000222193E+00,3.83710210270784E+00,3.90480559639977E+00,4.21181203686969E+00,4.11687111515049E+00,4.29359470992865E+00,4.26976018785431E+00,4.24281010989411E+00,4.56174039379709E+00,4.36750966137871E+00,,,,
ROM,Romania,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),1.31718785529154E+00,1.26617032087899E+00,1.23699973658529E+00,1.16450337336860E+00,1.04983177661886E+00,1.05344397734890E+00,9.86268460832335E-01,9.33392681840303E-01,8.62024660868941E-01,7.18040235461949E-01,6.89782757969987E-01,6.56283761079624E-01,5.87026598170262E-01,5.59241232664655E-01,4.88865692002645E-01,4.52793422249327E-01,4.09898541058440E-01,3.44582264794341E-01,,,,
ROM,Romania,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",4.82505910165485E+01,,,,,,,2.94562647754000E+01,,,,,2.31205673759000E+01,2.17257683215130E+01,,,,,,,,
ROM,Romania,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,1.85615867304401E+03,,,,,1.87549880287310E+03,,,,,1.94008850747982E+03,,,,,1.96316189360749E+03,,,,
ROM,Romania,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
ROM,Romania,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),1.47130162361267E+00,1.47162714570484E+00,3.32288130333045E+01,3.32293006509423E+01,3.32297881146873E+01,3.32302753732420E+01,3.32307624608048E+01,3.32312492747806E+01,3.32414059208138E+01,3.32414059208138E+01,3.32414059208138E+01,3.32414059208138E+01,3.32414059208138E+01,3.32414059208138E+01,3.32414059208138E+01,3.32414059208138E+01,3.32414059208138E+01,3.32414059208138E+01,3.32414059208138E+01,3.32414059208138E+01,,
ROM,Romania,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.51571083278400E-03,1.22079978883463E-02,3.99806005026233E-02,7.51946213729653E-02,8.91194466613461E-01,2.85739679153891E+00,6.03571271770756E+00,1.11348750167090E+01,1.73735586481113E+01,2.34397136300941E+01,3.23792373778822E+01,4.71083228921152E+01,6.17264906846610E+01,7.40747054359651E+01,9.47562089403878E+01,1.13727944090493E+02,1.18140252595843E+02,,
ROM,Romania,IT.MLT.MAIN.P2,Telephone lines (per 100 people),1.01944671866247E+01,1.05468018115161E+01,1.12952301548993E+01,1.14418809052955E+01,1.23427741850337E+01,1.30856531898946E+01,1.40460589171975E+01,1.50660636694156E+01,1.59934230991423E+01,1.66533128470869E+01,1.73738181170075E+01,1.85975058738478E+01,1.93331654369426E+01,1.99225527093558E+01,2.02352882583218E+01,2.02594288505083E+01,1.94462893765357E+01,2.04948532439023E+01,2.42125663451742E+01,2.47341751208462E+01,,
ROM,Romania,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,3.73544275983300E-03,2.63956711099380E-02,7.49526035007275E-02,2.21160651096957E-01,4.43380331648488E-01,2.22192596542683E+00,2.67165446744709E+00,3.56458583968275E+00,4.51834447858305E+00,6.61458270507871E+00,8.93143610943476E+00,1.24683593045665E+01,1.65602318643791E+01,2.46068287326661E+01,2.81727979739798E+01,3.21904326477429E+01,3.62504033327869E+01,,
ROM,Romania,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),3.02482806853946E+01,2.80457371024094E+01,3.14054945929808E+01,2.89277197188597E+01,2.48091355162587E+01,2.42737620808200E+01,2.58538399082232E+01,2.06271643541423E+01,1.77458056475766E+01,1.60776326377223E+01,1.95042395531949E+01,2.25522460216759E+01,2.16799410070229E+01,2.18494570542698E+01,2.23238911850354E+01,2.26165168410826E+01,2.37302529114659E+01,2.90218927879659E+01,3.14000000000000E+01,3.05420963575115E+01,3.13541462061674E+01,
ROM,Romania,NE.TRD.GNFS.ZS,Trade (% of GDP),4.29070987294556E+01,3.91351694722991E+01,6.39902474623499E+01,5.10036993620827E+01,5.18670700134796E+01,6.08292713481792E+01,6.47100246505489E+01,6.54171944717231E+01,5.32700577869745E+01,6.08683940267607E+01,7.05914680969713E+01,7.44635245441173E+01,7.64830535962087E+01,7.68963886861007E+01,8.09616792743959E+01,7.62053944811997E+01,6.81885226300996E+01,7.35762177431761E+01,7.47561230179439E+01,7.35679638649158E+01,5.32439054554626E+01,
ROM,Romania,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
