Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
RWA,Rwanda,AG.LND.FRST.K2,Forest area (sq. km),3.18000000000000E+03,,,,,,,,,,3.44000000000000E+03,,,,,3.85000000000000E+03,,,,,4.35000000000000E+03,
RWA,Rwanda,AG.LND.FRST.ZS,Forest area (% of land area),1.28901499797325E+01,,,,,,,,,,1.39440616132955E+01,,,,,1.56059991892987E+01,,,,,1.76327523307661E+01,
RWA,Rwanda,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,9.55969837622487E+08
RWA,Rwanda,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,2.82564608573980E+08
RWA,Rwanda,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
RWA,Rwanda,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.23853444619647E+09
RWA,Rwanda,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.87920000000000E+08,3.59160000000000E+08,3.48930000000000E+08,3.53910000000000E+08,7.11540000000000E+08,6.94700000000000E+08,4.65310000000000E+08,2.29600000000000E+08,3.50070000000000E+08,3.73080000000000E+08,3.21460000000000E+08,3.04850000000000E+08,3.62890000000000E+08,3.35180000000000E+08,4.89600000000000E+08,5.77050000000000E+08,5.88950000000000E+08,7.22210000000000E+08,9.33150000000000E+08,9.34380000000000E+08,,
RWA,Rwanda,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.87920000000000E+08,3.59160000000000E+08,3.48930000000000E+08,3.53910000000000E+08,7.11540000000000E+08,6.94700000000000E+08,4.65310000000000E+08,2.29600000000000E+08,3.50070000000000E+08,3.73080000000000E+08,3.21460000000000E+08,3.04850000000000E+08,3.62890000000000E+08,3.35180000000000E+08,4.89600000000000E+08,5.77050000000000E+08,5.88950000000000E+08,7.22210000000000E+08,9.33150000000000E+08,9.34380000000000E+08,,
RWA,Rwanda,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.11932368122439E+01,1.88935066529478E+01,1.72083142043068E+01,1.80921866973077E+01,9.49180205639217E+01,5.34842227561239E+01,3.40042763862571E+01,1.25118720597536E+01,1.76563736006000E+01,1.94334240970740E+01,1.86936508279263E+01,1.84513230413185E+01,2.23784734163804E+01,1.84606245376786E+01,2.38273364877867E+01,2.25943653311418E+01,1.91059458511931E+01,1.93942669172005E+01,1.99508630567197E+01,1.78822879335416E+01,,
RWA,Rwanda,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),4.04977088525302E+01,5.22704066485116E+01,5.40751389188506E+01,5.91382765564549E+01,1.25974053105480E+02,1.24717111000922E+02,8.01729202957358E+01,3.64575633803465E+01,5.04124643079119E+01,4.92004271211090E+01,3.96945350802584E+01,3.60471980028776E+01,4.17288668914806E+01,3.78398436913480E+01,5.43417034281557E+01,6.27110541314690E+01,6.23794803443470E+01,7.43738936624578E+01,9.32768311207054E+01,9.06173096925453E+01,,
RWA,Rwanda,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",1.34369248108324E+01,1.54929732529921E+01,1.93056236664449E+01,2.04713379530954E+01,8.29618934229207E+00,2.04861834837837E+01,1.98054382464338E+01,1.45785532986012E+01,1.71308825939790E+01,2.67063211044359E+01,2.51757847710147E+01,1.16150249548135E+01,1.42256751180808E+01,1.51395857658048E+01,1.27436245515369E+01,9.71120401925307E+00,8.61034741620672E+00,5.57812326547671E+00,3.64777998443933E+00,4.71888648240376E+00,,
