Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
WSM,Samoa,AG.LND.FRST.K2,Forest area (sq. km),1.30000000000000E+03,,,,,,,,,,1.71000000000000E+03,,,,,1.71000000000000E+03,,,,,1.71000000000000E+03,
WSM,Samoa,AG.LND.FRST.ZS,Forest area (% of land area),4.59363957597173E+01,,,,,,,,,,6.04240282685512E+01,,,,,6.04240282685512E+01,,,,,6.04240282685512E+01,
WSM,Samoa,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.75500000000000E+07,5.69200000000000E+07,4.91200000000000E+07,5.21300000000000E+07,4.82700000000000E+07,4.32000000000000E+07,3.23500000000000E+07,2.74100000000000E+07,3.58900000000000E+07,2.30200000000000E+07,2.71400000000000E+07,4.28300000000000E+07,3.78700000000000E+07,3.29700000000000E+07,3.09300000000000E+07,4.35500000000000E+07,4.70700000000000E+07,3.74700000000000E+07,4.03100000000000E+07,7.74300000000000E+07,,
WSM,Samoa,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.75500000000000E+07,5.69200000000000E+07,4.91200000000000E+07,5.21300000000000E+07,4.82700000000000E+07,4.32000000000000E+07,3.23500000000000E+07,2.74100000000000E+07,3.58900000000000E+07,2.30200000000000E+07,2.71400000000000E+07,4.28300000000000E+07,3.78700000000000E+07,3.29700000000000E+07,3.09300000000000E+07,4.35500000000000E+07,4.70700000000000E+07,3.74700000000000E+07,4.03100000000000E+07,7.74300000000000E+07,,
WSM,Samoa,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.89385332915006E+01,3.50657507957136E+01,2.97917840831152E+01,3.09761760410676E+01,2.55992573221757E+01,2.23070730688935E+01,1.44424193412011E+01,1.07820428457548E+01,1.48828232784073E+01,9.95769555591115E+00,1.10488303254946E+01,1.75018871474291E+01,1.47144535650516E+01,1.13725846201766E+01,8.40971851159316E+00,1.12181866739720E+01,1.08762754271868E+01,7.80753440723349E+00,7.17933829536483E+00,1.61031122768292E+01,,
WSM,Samoa,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.94777692364917E+02,3.50268301087973E+02,2.99896208559741E+02,3.15610394013513E+02,2.89628109587068E+02,2.56750090635159E+02,1.90328824668028E+02,1.59577564826566E+02,2.06807534732026E+02,1.31415946885579E+02,1.53725028179146E+02,2.41098820681697E+02,2.12171126350231E+02,1.84044970163168E+02,1.72121158158921E+02,2.41626303145303E+02,2.60391887855017E+02,2.06700243274105E+02,2.21716196667932E+02,4.24504251621427E+02,,
WSM,Samoa,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",1.06192673581186E+01,1.07460564702202E+01,9.86070912893633E+00,8.72380190510033E+00,1.00736766448156E+01,6.57413929184214E+00,5.76374550065445E+00,5.41477607369448E+00,4.63204717934534E+00,5.70400923511604E+00,,,,,5.46845257828603E+00,4.39255108234838E+00,4.64196113005486E+00,4.32897398315642E+00,,,,
WSM,Samoa,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.06192673581186E+01,1.07460564702202E+01,9.86070912893633E+00,8.72380190510033E+00,1.00736766448156E+01,6.57413929184214E+00,5.76374550065445E+00,5.41477607369448E+00,4.63204717934534E+00,5.70400923511604E+00,,,,,5.46845257828603E+00,4.39255108234838E+00,4.64196113005486E+00,3.63562549609164E+00,4.16340003700657E+00,4.64866685358695E+00,,
WSM,Samoa,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),9.77779337939685E+00,,,,,,,,,,,,,,1.18396452259857E+01,1.21141604798897E+01,1.23748241197029E+01,1.24372266301600E+01,,,,
WSM,Samoa,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.02272564084565E+02,,,,,,,,,,,,,,8.44619902803503E+01,8.25480231717307E+01,8.08092293132330E+01,8.04037772838380E+01,,,,
WSM,Samoa,EN.ATM.CO2E.KT,CO2 emissions (kt),1.24576000000000E+02,1.24576000000000E+02,1.28240000000000E+02,1.28240000000000E+02,1.20912000000000E+02,1.31904000000000E+02,1.31904000000000E+02,1.31904000000000E+02,1.31904000000000E+02,1.39232000000000E+02,1.39232000000000E+02,1.42896000000000E+02,1.42896000000000E+02,1.50224000000000E+02,1.53888000000000E+02,1.57552000000000E+02,1.57552000000000E+02,1.61216000000000E+02,,,,
WSM,Samoa,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),7.72286557393310E-01,7.66602668242013E-01,7.82953782282191E-01,7.76402780132226E-01,7.25492313784786E-01,7.83943610072686E-01,7.76047396878254E-01,7.67928460812966E-01,7.60065228790559E-01,7.94843836523586E-01,7.88630918328623E-01,8.04390779363337E-01,8.00591636412532E-01,8.38579666296381E-01,8.56365366529586E-01,8.74137940600432E-01,8.71579832490623E-01,8.89335105942839E-01,,,,
