Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SMR,San Marino,AG.LND.FRST.K2,Forest area (sq. km),0.00000000000000E+00,,,,,,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,
SMR,San Marino,AG.LND.FRST.ZS,Forest area (% of land area),0.00000000000000E+00,,,,,,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,,,,,0.00000000000000E+00,
SMR,San Marino,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,,3.63357422584682E+00,5.17969559327436E+00,7.47854837439975E+00,9.11285925695148E+00,8.80024713287253E+00,9.01177282662883E+00,1.89562635605801E+01,3.60815035215246E+01,5.37805465939852E+01,5.75609047670915E+01,5.93217939187993E+01,5.82497501120188E+01,5.74826727676469E+01,5.65987921190720E+01,5.66062302659419E+01,5.64388686425646E+01,7.69280082056542E+01,7.65330527121401E+01,,
SMR,San Marino,IT.MLT.MAIN.P2,Telephone lines (per 100 people),4.24546283251844E+01,4.41862368054987E+01,5.45197626064839E+01,5.61797752808989E+01,5.68054790207038E+01,6.26528545836903E+01,6.58879406881106E+01,6.72546688652836E+01,7.35601994594800E+01,7.49651613875184E+01,7.52846071123966E+01,7.44327052245580E+01,7.29213125199108E+01,7.13094130217489E+01,6.98270641275823E+01,6.88063100227715E+01,6.83571498323622E+01,6.79846486277292E+01,6.82736072825181E+01,6.85608597212921E+01,,
SMR,San Marino,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,1.36303450424488E+00,1.42873691933429E+00,1.41887487057560E+00,1.40839709185033E+00,4.27855824639373E+01,4.87633032966218E+01,5.02850088951821E+01,5.07592651587554E+01,4.99121083652156E+01,5.04676670479779E+01,5.01633609451833E+01,5.01285765437323E+01,5.03112200470861E+01,5.44906724790051E+01,5.42109123377659E+01,,
SMR,San Marino,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,NE.TRD.GNFS.ZS,Trade (% of GDP),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",,,,,,,,,,,,7.32452981977478E+08,7.34126439476274E+08,8.66179648816226E+08,1.06779957368448E+09,1.22311849689202E+09,1.31387920458283E+09,1.42421072729033E+09,1.57246472518689E+09,,,
SMR,San Marino,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,2.65900000000000E+04,2.59900000000000E+04,2.98500000000000E+04,3.59300000000000E+04,4.03700000000000E+04,4.27700000000000E+04,4.59300000000000E+04,5.04000000000000E+04,,,
SMR,San Marino,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,,,,,,,,,,,,,,,,,,,,,
