Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SAU,Saudi Arabia,AG.LND.FRST.K2,Forest area (sq. km),9.77000000000000E+03,,,,,,,,,,9.77000000000000E+03,,,,,9.77000000000000E+03,,,,,9.77000000000000E+03,
SAU,Saudi Arabia,AG.LND.FRST.ZS,Forest area (% of land area),4.88500000000000E-01,,,,,,,,,,4.88500000000000E-01,,,,,4.88500000000000E-01,,,,,4.88500000000000E-01,
SAU,Saudi Arabia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.45900000000000E+07,1.37200000000000E+07,4.97400000000000E+07,2.90000000000000E+07,1.66500000000000E+07,1.69200000000000E+07,1.40100000000000E+07,1.31000000000000E+06,1.65200000000000E+07,2.20800000000000E+07,2.18900000000000E+07,1.30400000000000E+07,1.69300000000000E+07,1.17600000000000E+07,2.01000000000000E+07,2.46800000000000E+07,2.38300000000000E+07,-1.31140000000000E+08,,,,
SAU,Saudi Arabia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.45900000000000E+07,1.37200000000000E+07,4.97400000000000E+07,2.90000000000000E+07,1.66500000000000E+07,1.69200000000000E+07,1.40100000000000E+07,1.31000000000000E+06,1.65200000000000E+07,2.20800000000000E+07,2.18900000000000E+07,1.30400000000000E+07,1.69300000000000E+07,1.17600000000000E+07,2.01000000000000E+07,2.46800000000000E+07,2.38300000000000E+07,-1.31140000000000E+08,,,,
SAU,Saudi Arabia,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.16947581530740E-02,9.93466611576567E-03,3.50930367088805E-02,2.13141531441011E-02,1.22607254582376E-02,1.16479869164208E-02,8.74590108716229E-03,7.80791829675997E-04,1.11214865547439E-02,1.34731852215711E-02,1.15868005276497E-02,7.14546943997892E-03,8.98953026318614E-03,5.51406461583474E-03,7.98896859898133E-03,7.67806750064365E-03,6.52657775886347E-03,-3.35150292312225E-02,,,,
SAU,Saudi Arabia,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),9.04018346057851E-01,8.23047044937169E-01,2.89369846835854E+00,1.64029747077442E+00,9.18977176746466E-01,9.14997935576466E-01,7.45749586657246E-01,6.88725547022895E-02,8.57885502301049E-01,1.12774333909991E+00,1.09202786731397E+00,6.30512877742006E-01,7.88796682972503E-01,5.26542699590689E-01,8.65865501277755E-01,1.02657463987945E+00,9.60908949703534E-01,-5.14190303580088E+00,,,,
SAU,Saudi Arabia,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),5.27667420446725E+00,4.85654560469460E+00,4.50369997213171E+00,4.33259920480487E+00,4.13372746083634E+00,4.13997778523989E+00,3.99942669277326E+00,4.10963119791224E+00,3.97071129702452E+00,3.88032496450772E+00,3.89058445425704E+00,3.81705899588437E+00,3.46745244146296E+00,3.70067401908669E+00,3.62790059927082E+00,3.59227010685393E+00,3.53588310121756E+00,3.48556252262174E+00,3.32988768341531E+00,,,
SAU,Saudi Arabia,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.89513311083977E+02,2.05907672118500E+02,2.22039657656563E+02,2.30808332995814E+02,2.41912416692725E+02,2.41547189834028E+02,2.50035836838051E+02,2.43330837207002E+02,2.51844046367551E+02,2.57710374555412E+02,2.57030791069401E+02,2.61981803550383E+02,2.88396168911286E+02,2.70221044826530E+02,2.75641510189389E+02,2.78375503582549E+02,2.82814779610688E+02,2.86897737025193E+02,3.00310429381914E+02,,,
SAU,Saudi Arabia,EN.ATM.CO2E.KT,CO2 emissions (kt),2.14878944000000E+05,2.68256096000000E+05,2.86572432000000E+05,3.15309184000000E+05,3.10362784000000E+05,2.34664544000000E+05,2.58304672000000E+05,2.16648656000000E+05,2.07118592000000E+05,2.27043424000000E+05,2.97505808000000E+05,2.95600528000000E+05,3.23194112000000E+05,3.23432272000000E+05,3.45764352000000E+05,3.66766400000000E+05,3.84071472000000E+05,4.02120336000000E+05,,,,
