Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SYC,Seychelles,AG.LND.FRST.K2,Forest area (sq. km),4.10000000000000E+02,,,,,,,,,,4.10000000000000E+02,,,,,4.10000000000000E+02,,,,,4.10000000000000E+02,
SYC,Seychelles,AG.LND.FRST.ZS,Forest area (% of land area),8.91304347826087E+01,,,,,,,,,,8.91304347826087E+01,,,,,8.91304347826087E+01,,,,,8.91304347826087E+01,
SYC,Seychelles,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.55600000000000E+07,2.27400000000000E+07,1.90900000000000E+07,1.93800000000000E+07,1.27100000000000E+07,1.28300000000000E+07,1.89000000000000E+07,1.67400000000000E+07,2.39500000000000E+07,1.29200000000000E+07,1.81000000000000E+07,1.32300000000000E+07,7.65000000000000E+06,1.01500000000000E+07,1.03600000000000E+07,1.47300000000000E+07,1.36400000000000E+07,8.73000000000000E+06,1.25200000000000E+07,2.32000000000000E+07,,
