Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SLE,Sierra Leone,AG.LND.FRST.K2,Forest area (sq. km),3.11800000000000E+04,,,,,,,,,,2.92200000000000E+04,,,,,2.82400000000000E+04,,,,,2.72600000000000E+04,
SLE,Sierra Leone,AG.LND.FRST.ZS,Forest area (% of land area),4.35353253281206E+01,,,,,,,,,,4.07986595922927E+01,,,,,3.94303267243787E+01,,,,,3.80619938564647E+01,
SLE,Sierra Leone,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,9.18608296089058E+08
SLE,Sierra Leone,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,4.65330202309556E+08
SLE,Sierra Leone,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,4.00000000000000E+00,4.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
SLE,Sierra Leone,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.38393849839861E+09
SLE,Sierra Leone,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.93200000000000E+07,1.03270000000000E+08,1.33060000000000E+08,2.06470000000000E+08,2.73730000000000E+08,2.05330000000000E+08,1.82520000000000E+08,1.17980000000000E+08,1.06430000000000E+08,7.36300000000000E+07,1.80640000000000E+08,3.34820000000000E+08,3.83120000000000E+08,3.37080000000000E+08,3.76290000000000E+08,3.39670000000000E+08,3.47460000000000E+08,5.45290000000000E+08,3.78560000000000E+08,4.50270000000000E+08,,
