Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SGP,Singapore,AG.LND.FRST.K2,Forest area (sq. km),2.00000000000000E+01,,,,,,,,,,2.00000000000000E+01,,,,,2.00000000000000E+01,,,,,2.00000000000000E+01,
SGP,Singapore,AG.LND.FRST.ZS,Forest area (% of land area),2.98507462686567E+00,,,,,,,,,,2.98507462686567E+00,,,,,2.94117647058824E+00,,,,,2.85714285714286E+00,
SGP,Singapore,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),-3.10000000000000E+06,7.77000000000000E+06,1.99400000000000E+07,2.36400000000000E+07,1.68600000000000E+07,1.66600000000000E+07,1.48800000000000E+07,2.81000000000000E+06,1.62000000000000E+06,-1.11000000000000E+06,1.09000000000000E+06,8.50000000000000E+05,7.19000000000000E+06,7.07000000000000E+06,9.14000000000000E+06,,,,,,,
SGP,Singapore,DT.ODA.ODAT.CD,Net official development assistance received (current US$),-3.10000000000000E+06,7.77000000000000E+06,1.99400000000000E+07,2.36400000000000E+07,1.68600000000000E+07,1.66600000000000E+07,,,,,,,,,,,,,,,,
SGP,Singapore,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),-8.06347238247219E-03,1.74612136025892E-02,3.83143406710500E-02,3.99362595495668E-02,2.29911918893246E-02,1.90174515171503E-02,,,,,,,,,,,,,,,,
SGP,Singapore,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),-1.01739415818838E+00,2.47838984402411E+00,6.17203701984090E+00,7.13444997736532E+00,4.93126645217900E+00,4.72691161866932E+00,,,,,,,,,,,,,,,,
SGP,Singapore,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),6.23149512950535E+00,5.91365106977413E+00,5.53201863474835E+00,5.02642489223379E+00,4.57154317467595E+00,5.78523262003675E+00,5.94394302250929E+00,5.53491753969784E+00,6.59585262439026E+00,7.43765523478090E+00,8.20221824199053E+00,7.72995156833093E+00,8.10064343923191E+00,1.05861035618854E+01,9.12192500142229E+00,8.09999257330345E+00,8.95447010827723E+00,1.16869405642122E+01,1.25394694057915E+01,,,
SGP,Singapore,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.60475131443997E+02,1.69100271253947E+02,1.80765840830450E+02,1.98948561142349E+02,2.18744516193021E+02,1.72853896407997E+02,1.68238490209794E+02,1.80671164986243E+02,1.51610422025226E+02,1.34450975264849E+02,1.21918238517550E+02,1.29366916617813E+02,1.23446983872533E+02,9.44634627985729E+01,1.09625983533528E+02,1.23456903318143E+02,1.11676066579934E+02,8.55655930228828E+01,7.97481909033676E+01,,,
