Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SVK,Slovak Republic,AG.LND.FRST.K2,Forest area (sq. km),1.92200000000000E+04,,,,,,,,,,1.92100000000000E+04,,,,,1.93200000000000E+04,,,,,1.93300000000000E+04,
SVK,Slovak Republic,AG.LND.FRST.ZS,Forest area (% of land area),3.99584199584200E+01,,,,,,,,,,3.99376299376299E+01,,,,,4.01663201663202E+01,,,,,4.01871101871102E+01,
SVK,Slovak Republic,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SVK,Slovak Republic,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SVK,Slovak Republic,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SVK,Slovak Republic,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SVK,Slovak Republic,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,2.30000000000000E+05,8.90000000000000E+05,1.33000000000000E+06,2.18600000000000E+07,1.71700000000000E+07,1.93000000000000E+07,2.57700000000000E+07,6.90000000000000E+05,,
SVK,Slovak Republic,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,8.27720131269215E-04,2.73560977049156E-03,3.40042569238931E-03,4.70924302042144E-02,3.21630202443453E-02,2.67100227076711E-02,2.80771407730311E-02,7.91829240302961E-04,,
SVK,Slovak Republic,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,7.36000000000000E+06,5.86000000000000E+06,8.28000000000000E+06,6.68000000000000E+06,1.50800000000000E+07,2.82300000000000E+07,5.60900000000000E+07,5.51100000000000E+07,6.72000000000000E+07,9.18600000000000E+07,7.53900000000000E+07,7.37100000000000E+07,
SVK,Slovak Republic,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,4.00000000000000E-02,3.00000000000000E-02,4.00000000000000E-02,2.00000000000000E-02,5.00000000000000E-02,7.00000000000000E-02,1.20000000000000E-01,1.00000000000000E-01,9.00000000000000E-02,1.00000000000000E-01,9.00000000000000E-02,9.00000000000000E-02,
