Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SVN,Slovenia,AG.LND.FRST.K2,Forest area (sq. km),1.18800000000000E+04,,,,,,,,,,1.23300000000000E+04,,,,,1.24300000000000E+04,,,,,1.25300000000000E+04,
SVN,Slovenia,AG.LND.FRST.ZS,Forest area (% of land area),5.89870903674280E+01,,,,,,,,,,6.12214498510427E+01,,,,,6.17179741807349E+01,,,,,6.22144985104270E+01,
SVN,Slovenia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,,7.14000000000000E+06,3.18700000000000E+07,5.25400000000000E+07,8.22000000000000E+07,9.66200000000000E+07,3.97600000000000E+07,3.10500000000000E+07,6.08100000000000E+07,1.25660000000000E+08,5.27600000000000E+07,6.62000000000000E+07,6.24200000000000E+07,,,,,,,
SVN,Slovenia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,7.14000000000000E+06,3.18700000000000E+07,5.25400000000000E+07,8.22000000000000E+07,9.66200000000000E+07,3.97600000000000E+07,3.10500000000000E+07,6.08100000000000E+07,1.25660000000000E+08,5.27600000000000E+07,,,,,,,,,
SVN,Slovenia,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,5.65690662281591E-02,2.18935395706726E-01,2.50206668922017E-01,3.88521731473596E-01,4.74992735612895E-01,1.83664239426613E-01,1.39683793252571E-01,3.05570568234447E-01,6.14973306922322E-01,2.29971083188336E-01,,,,,,,,,
SVN,Slovenia,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,3.63026235509457E+00,1.60239328271909E+01,2.64020100502513E+01,4.12857860371673E+01,4.86516317582061E+01,2.00544739231312E+01,1.56383782422564E+01,3.05731523378582E+01,6.30823293172691E+01,2.64593781344032E+01,,,,,,,,,
SVN,Slovenia,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),5.74049492629066E+00,5.37453721689428E+00,5.47187779672170E+00,5.36836129661256E+00,5.43526116162267E+00,5.22291170073369E+00,5.19300009635223E+00,5.23736014610863E+00,5.53014889213616E+00,5.84410737348690E+00,6.11676281374662E+00,5.99293451740709E+00,6.14166861749152E+00,6.24087210313760E+00,6.31028001886904E+00,6.44549141282684E+00,6.79293528629757E+00,7.25659183770904E+00,7.10709991207263E+00,,,
SVN,Slovenia,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.74201007550785E+02,1.86062531459752E+02,1.82752619329167E+02,1.86276583252882E+02,1.83983799538614E+02,1.91464083120441E+02,1.92566913430724E+02,1.90935886038504E+02,1.80826957737430E+02,1.71112530296196E+02,1.63485168617726E+02,1.66863161460449E+02,1.62822200656022E+02,1.60234015931403E+02,1.58471572895306E+02,1.55147208482809E+02,1.47211766026560E+02,1.37805738887432E+02,1.40704367797240E+02,,,
SVN,Slovenia,EN.ATM.CO2E.KT,CO2 emissions (kt),,,1.23366880000000E+04,1.26151520000000E+04,1.08637600000000E+04,1.40001440000000E+04,1.49308000000000E+04,1.58871040000000E+04,1.51616320000000E+04,1.50150720000000E+04,1.44324960000000E+04,1.44911200000000E+04,1.46303520000000E+04,1.48611840000000E+04,1.49088160000000E+04,1.49124800000000E+04,1.51579680000000E+04,1.50956800000000E+04,,,,
SVN,Slovenia,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,6.17884804167084E+00,6.41404921700224E+00,5.46219518326713E+00,7.03524824120603E+00,7.49914615770969E+00,7.99972607650925E+00,7.64734792696459E+00,7.56236313271216E+00,7.25615686274510E+00,7.27465863453815E+00,7.33718756268807E+00,7.44660265279066E+00,7.46560674657686E+00,7.45447328983031E+00,7.55304683716119E+00,7.48006314781763E+00,,,,
SVN,Slovenia,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,5.89948347936522E-01,5.74001005863368E-01,4.59944094207517E-01,5.43675482635301E-01,5.46799823025804E-01,5.42894835415934E-01,4.91040813542705E-01,4.56154521389687E-01,4.15302484133736E-01,3.96603049500287E-01,3.72214528936327E-01,3.64062746340620E-01,3.36231241188072E-01,3.17239770129675E-01,2.96841167850015E-01,2.74615011785988E-01,,,,
SVN,Slovenia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,9.35089652409096E+03,,,,,9.40101391974445E+03,,,,,9.36308926780341E+03,,,,,9.25117510239718E+03,,,,
SVN,Slovenia,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),2.40386416841576E-02,6.09798559641484E-02,6.13321477344589E-02,6.16867718871256E-02,6.20437814570415E-02,6.24031539620236E-02,6.27648749904162E-02,6.31289733655309E-02,2.85380072830743E-01,2.85380072830743E-01,2.85380072830743E-01,2.85380072830743E-01,2.85380072830743E-01,2.85380072830743E-01,6.07691859201583E-01,6.07691859201583E-01,6.07691859201583E-01,6.07691859201583E-01,6.07691859201583E-01,6.07691673579458E-01,,
SVN,Slovenia,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,2.61277913773293E-02,1.75298006611239E-01,3.30486068741102E-01,8.21157423701544E-01,1.37190954773869E+00,2.06956303365143E+00,4.71364924499838E+00,8.15121557550691E+00,3.18011080332410E+01,6.11161890397184E+01,7.37994477911647E+01,8.36125376128385E+01,8.71446663818325E+01,9.25707102372959E+01,8.79407580403444E+01,9.06672486680738E+01,9.55547781551363E+01,1.01661442347461E+02,1.02979208881441E+02,,
SVN,Slovenia,IT.MLT.MAIN.P2,Telephone lines (per 100 people),2.11102046944597E+01,2.29163710845781E+01,2.47554843233497E+01,2.68368415700630E+01,2.90197093870984E+01,3.08942713567839E+01,3.33248116524360E+01,3.57532593874185E+01,3.64775547261172E+01,3.81547720977084E+01,3.94871292106586E+01,4.02548694779116E+01,4.05108826479438E+01,4.07036152713015E+01,4.06120198600765E+01,4.08085783669270E+01,4.17297998672558E+01,4.24725561685567E+01,4.99559198067002E+01,5.07027855990359E+01,,
SVN,Slovenia,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,4.06752084604434E-01,1.05586002312836E+00,2.86432160804020E+00,5.02260170768458E+00,7.55303742882521E+00,1.00877635428226E+01,1.25912868295140E+01,1.50829562594268E+01,3.01204819277108E+01,2.77998495486459E+01,3.18304373942126E+01,3.69454197947336E+01,5.01074245403839E+01,5.39708640528425E+01,5.65152651821842E+01,5.75033295140394E+01,6.36627805786135E+01,,
SVN,Slovenia,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),1.71796372989454E+01,1.71295463849937E+01,1.77771756409990E+01,1.93458980686890E+01,2.05775295583732E+01,2.37353198077183E+01,2.33212625174037E+01,2.45718272818812E+01,2.57236606738318E+01,2.77696790484792E+01,2.72931167654838E+01,2.47537495774669E+01,2.37804166611608E+01,2.51908946604492E+01,2.74350941897754E+01,2.72270188035960E+01,2.89362276792814E+01,3.16930072224027E+01,3.20159169898156E+01,2.31110582110537E+01,,
SVN,Slovenia,NE.TRD.GNFS.ZS,Trade (% of GDP),1.69289288336999E+02,1.57783742814265E+02,1.19329696174028E+02,1.16416543726922E+02,1.15201483549303E+02,1.01738478720536E+02,1.01458700533709E+02,1.04221863594587E+02,1.04377380350521E+02,9.93232107914882E+01,1.11377997232417E+02,1.11784249453980E+02,1.09299924003682E+02,1.08172826433941E+02,1.17302847570135E+02,1.24645485340848E+02,1.33574629169967E+02,1.40813062743762E+02,1.37763585921984E+02,1.14697850080271E+02,,
SVN,Slovenia,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",,,1.35568704434384E+10,1.31010800293942E+10,1.44399376779465E+10,1.69169128372796E+10,1.97338162467908E+10,2.18795663411480E+10,2.14025592856879E+10,2.20238045591392E+10,2.20661831830357E+10,2.13847230979154E+10,2.14344928249666E+10,2.47859263190907E+10,3.06254112638543E+10,3.61729675998219E+10,3.92917151486461E+10,4.34169873602283E+10,4.89451340650569E+10,4.85930468640886E+10,4.92755957374447E+10,
SVN,Slovenia,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",,,6.79000000000000E+03,6.66000000000000E+03,7.26000000000000E+03,8.50000000000000E+03,9.91000000000000E+03,1.10200000000000E+04,1.08000000000000E+04,1.10900000000000E+04,1.10900000000000E+04,1.07400000000000E+04,1.07500000000000E+04,1.24200000000000E+04,1.53400000000000E+04,1.80800000000000E+04,1.95800000000000E+04,2.15100000000000E+04,2.42100000000000E+04,2.38200000000000E+04,2.40000000000000E+04,
SVN,Slovenia,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",3.57010486115202E-02,6.73033339805727E-02,2.03135355774818E-01,2.72484305741327E-01,3.27371060000000E-01,3.99762567000000E-01,4.34566552000000E-01,4.61611282000000E-01,4.84806621000000E-01,5.10587261000000E-01,5.31790627000000E-01,5.65280189000000E-01,5.88416996000000E-01,6.15232651000000E-01,6.10573002000000E-01,6.11602841000000E-01,6.08065362000000E-01,6.28852582000000E-01,6.30960937000000E-01,6.29549373000000E-01,6.37485008000000E-01,
SVN,Slovenia,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",,,2.50570913688727E-01,3.23359865742040E-01,3.81302311763924E-01,4.20830723000000E-01,4.55390994000000E-01,4.82196500000000E-01,5.09632686000000E-01,5.34696387000000E-01,5.61671393000000E-01,5.95744983000000E-01,6.20035329000000E-01,6.48489211000000E-01,6.52625976000000E-01,6.59999605000000E-01,5.80954423000000E-01,6.77518938000000E-01,6.83229370000000E-01,6.81116999000000E-01,6.86678186000000E-01,
SVN,Slovenia,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,9.97790094008699E+01,,,,,,,,,,,,,9.99000000000000E+01,,,,,9.98900400000000E+01,,
SVN,Slovenia,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,9.97369664837762E+01,,,,,,,,,,,,,9.98000000000000E+01,,,,,9.98010200000000E+01,,
SVN,Slovenia,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",,9.97577366573204E+01,,,,,,,,,,,,,9.98000000000000E+01,,,,,9.98443800000000E+01,,
SVN,Slovenia,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",,9.95245166688235E+01,,,,,,,,,,,,,9.97000000000000E+01,,,,,9.96845200000000E+01,,
SVN,Slovenia,SE.ENR.ORPH,Ratio of school attendance of orphans to school attendance of non-orphans ages 10-14,,,,,,,,,,,,,,,,,,,,,,
