Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SLB,Solomon Islands,AG.LND.FRST.K2,Forest area (sq. km),2.32400000000000E+04,,,,,,,,,,2.26800000000000E+04,,,,,2.24100000000000E+04,,,,,2.21300000000000E+04,
SLB,Solomon Islands,AG.LND.FRST.ZS,Forest area (% of land area),8.30296534476599E+01,,,,,,,,,,8.10289389067524E+01,,,,,8.00643086816720E+01,,,,,7.90639514112183E+01,
SLB,Solomon Islands,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.56600000000000E+07,3.66100000000000E+07,4.55700000000000E+07,5.61300000000000E+07,4.78900000000000E+07,4.76900000000000E+07,4.26200000000000E+07,4.17300000000000E+07,4.25900000000000E+07,3.96300000000000E+07,6.82500000000000E+07,5.87700000000000E+07,2.61800000000000E+07,6.01400000000000E+07,1.21320000000000E+08,1.98470000000000E+08,2.04510000000000E+08,2.46050000000000E+08,2.24410000000000E+08,2.05910000000000E+08,,
SLB,Solomon Islands,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.56600000000000E+07,3.66100000000000E+07,4.55700000000000E+07,5.61300000000000E+07,4.78900000000000E+07,4.76900000000000E+07,4.26200000000000E+07,4.17300000000000E+07,4.25900000000000E+07,3.96300000000000E+07,6.82500000000000E+07,5.87700000000000E+07,2.61800000000000E+07,6.01400000000000E+07,1.21320000000000E+08,1.98470000000000E+08,2.04510000000000E+08,2.46050000000000E+08,2.24410000000000E+08,2.05910000000000E+08,,
SLB,Solomon Islands,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.20226984550830E+01,1.58869609974425E+01,1.76173114602588E+01,2.19870289585028E+01,1.65217029769741E+01,1.48688549066276E+01,1.25879890683230E+01,7.44753659428272E+00,9.17933415863365E+00,8.31839461089669E+00,1.56715979885355E+01,1.45844079150344E+01,7.70536987799106E+00,1.81233936175356E+01,3.20266354724188E+01,4.77654106187094E+01,4.43684690073253E+01,4.47629852242319E+01,4.06931336102709E+01,4.35247385132441E+01,,
SLB,Solomon Islands,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.47515402533543E+02,1.14991629262716E+02,1.39132718018862E+02,1.66577635327635E+02,1.38171200724757E+02,1.33808823694459E+02,1.16332708270213E+02,1.10833415225584E+02,1.10078416979835E+02,9.96662701476509E+01,1.66979830304454E+02,1.39851320223115E+02,6.05868453878322E+01,1.35345588102911E+02,2.65517520610874E+02,4.22451868328349E+02,4.23416149068323E+02,4.95578964329594E+02,4.39829015269854E+02,3.92864297638922E+02,,
SLB,Solomon Islands,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",1.18422320191400E+01,1.13443904272152E+01,5.48577336943145E+00,5.79123279285843E+00,8.19766684842302E+00,3.83654735306378E+00,3.86820155704872E+00,2.49292183763189E+00,5.99795535293198E+00,4.83283959360730E+00,7.07852961175544E+00,7.14426425683073E+00,1.09312284933788E+01,9.85292819103225E+00,1.30903693476827E+01,9.06032374987318E+00,2.38091041065197E+00,5.86705026626459E+00,5.22252377083475E+00,4.00029783625284E+00,,
SLB,Solomon Islands,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.13360663296940E+01,1.01201756329114E+01,4.84437317253260E+00,5.66230643104389E+00,4.19670136774935E+00,1.28153080450188E+00,2.13686569216523E+00,4.61458525791324E-01,3.25699477236367E+00,2.53173988584475E+00,2.77161516010479E+00,1.77189093671397E+00,2.80327241840374E+00,5.58098527999646E+00,3.77926422349007E+00,4.79424913360949E+00,2.26954883859154E+00,4.82807592172247E+00,5.20940878912105E+00,3.34316059499157E+00,,
SLB,Solomon Islands,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),1.35842821006384E+01,,,,,,,,,,,,,,1.59262643789526E+01,1.67896579456406E+01,1.76516381305795E+01,1.80137725191022E+01,,,,
SLB,Solomon Islands,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",7.36144900843162E+01,,,,,,,,,,,,,,6.27893632936017E+01,5.95604748612314E+01,5.66519658177000E+01,5.55130802800790E+01,,,,
SLB,Solomon Islands,EN.ATM.CO2E.KT,CO2 emissions (kt),1.61216000000000E+02,1.61216000000000E+02,1.61216000000000E+02,1.57552000000000E+02,1.53888000000000E+02,1.61216000000000E+02,1.61216000000000E+02,1.61216000000000E+02,1.61216000000000E+02,1.64880000000000E+02,1.64880000000000E+02,1.72208000000000E+02,1.72208000000000E+02,1.79536000000000E+02,1.79536000000000E+02,1.79536000000000E+02,1.79536000000000E+02,1.97856000000000E+02,,,,
SLB,Solomon Islands,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),5.20846323584049E-01,5.06377779383173E-01,4.92219009614416E-01,4.67568850902184E-01,4.43994356590758E-01,4.52340602237910E-01,4.40044436801751E-01,4.28184037119765E-01,4.16680020470088E-01,4.14659970273648E-01,4.03393910924518E-01,4.09792685944907E-01,3.98530919425050E-01,4.04047314693121E-01,3.92927411641888E-01,3.82150040974447E-01,3.71710144927536E-01,3.98509536949385E-01,,,,
SLB,Solomon Islands,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),3.08495820957686E-01,2.81454482150333E-01,2.44608770093537E-01,2.24974884880306E-01,1.97225587120333E-01,1.86576565496373E-01,1.80432163093374E-01,1.79606091345875E-01,1.74012494541368E-01,1.76247330964566E-01,2.01224506686575E-01,2.23326934339813E-01,2.26087281065865E-01,2.16652408352834E-01,2.00842511762745E-01,1.84366369218725E-01,1.66960530767367E-01,1.61463815598404E-01,,,,
SLB,Solomon Islands,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,1.36476464679464E+05,,,,,1.18721630974925E+05,,,,,1.03446600031937E+05,,,,,9.00320248141957E+04,,,,
SLB,Solomon Islands,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,8.56039292105352E-02,1.24568479716490E-01,1.24580518135171E-01,1.24592556459593E-01,1.24604594736887E-01,1.24604594736887E-01,1.24604594736887E-01,1.24604594736887E-01,1.24604594736887E-01,1.24604594736887E-01,1.24604594736887E-01,1.24604594736887E-01,1.24604594736887E-01,1.24604594736887E-01,1.24604594736887E-01,1.24604594784016E-01,,
SLB,Solomon Islands,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.15465711095531E-02,6.45335069191143E-02,9.19852714384367E-02,1.74762490338928E-01,1.81439419393858E-01,2.74880729930312E-01,2.81602614916376E-01,2.30110986312323E-01,2.31192736984127E-01,2.38553913184380E-01,6.56571514863685E-01,1.27712561594704E+00,1.44927536231884E+00,2.19541179077121E+00,5.87980502566535E+00,5.72382542332459E+00,,
SLB,Solomon Islands,IT.MLT.MAIN.P2,Telephone lines (per 100 people),1.51036904696521E+00,1.52337995608897E+00,1.57024263500331E+00,1.62037037037037E+00,1.73687748666326E+00,1.82433418255687E+00,1.96799349279267E+00,2.04376498960190E+00,2.04364884493908E+00,2.04513275003961E+00,1.88118375855084E+00,1.75831445487255E+00,1.52763088771994E+00,1.40386727400392E+00,1.52368362882699E+00,1.57661157288662E+00,1.57349896480331E+00,1.57102862091885E+00,1.56794800684409E+00,1.56451228237539E+00,,
SLB,Solomon Islands,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,2.52522418379143E-02,2.72953327710495E-01,3.98394734815185E-01,5.16921422774524E-01,5.02983952297002E-01,4.89318184042355E-01,4.75927582858992E-01,5.09133154519598E-01,5.62627153736745E-01,6.56571514863685E-01,8.51417077298028E-01,1.65631469979296E+00,1.81272533182944E+00,1.95993500855512E+00,1.90794180777486E+00,,
SLB,Solomon Islands,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),2.02614379084967E+01,,,,,,,7.62707849732342E+00,6.75628029969149E+00,6.19374196313759E+00,6.62993406196369E+00,6.74190443952420E+00,5.18256937302575E+00,9.40540540540541E+00,1.13940732298048E+01,1.37613501459877E+01,1.45973009524358E+01,,,,,
