Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SOM,Somalia,AG.LND.FRST.K2,Forest area (sq. km),8.28200000000000E+04,,,,,,,,,,7.51500000000000E+04,,,,,7.13100000000000E+04,,,,,6.74700000000000E+04,
SOM,Somalia,AG.LND.FRST.ZS,Forest area (% of land area),1.32017725635222E+01,,,,,,,,,,1.19791500621672E+01,,,,,1.13670417955176E+01,,,,,1.07549335288679E+01,
SOM,Somalia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00
SOM,Somalia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.91390000000000E+08,1.85340000000000E+08,6.53530000000000E+08,8.90620000000000E+08,5.34920000000000E+08,1.87830000000000E+08,8.79400000000000E+07,8.08100000000000E+07,8.03500000000000E+07,1.14650000000000E+08,1.01010000000000E+08,1.47730000000000E+08,1.46830000000000E+08,1.73690000000000E+08,1.98680000000000E+08,2.36950000000000E+08,3.90950000000000E+08,3.84140000000000E+08,7.58260000000000E+08,6.61650000000000E+08,,
SOM,Somalia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.91390000000000E+08,1.85340000000000E+08,6.53530000000000E+08,8.90620000000000E+08,5.34920000000000E+08,1.87830000000000E+08,8.79400000000000E+07,8.08100000000000E+07,8.03500000000000E+07,1.14650000000000E+08,1.01010000000000E+08,1.47730000000000E+08,1.46830000000000E+08,1.73690000000000E+08,1.98680000000000E+08,2.36950000000000E+08,3.90950000000000E+08,3.84140000000000E+08,7.58260000000000E+08,6.61650000000000E+08,,
SOM,Somalia,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),5.88527601401570E+01,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),7.44615031195216E+01,2.81454482170981E+01,9.98765164181203E+01,1.37051986562867E+02,8.24955569113239E+01,2.87875436974315E+01,1.32668452274810E+01,1.19072247281275E+01,1.15066146923789E+01,1.59388415597126E+01,1.36517839560926E+01,1.94460386577718E+01,1.88454900841379E+01,2.17603331514648E+01,2.43155618494366E+01,2.83437794824051E+01,4.57385360884011E+01,4.39846920355922E+01,8.49851943341709E+01,7.25505512811178E+01,,
SOM,Somalia,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,EN.ATM.CO2E.KT,CO2 emissions (kt),1.83200000000000E+01,3.66400000000000E+00,1.09920000000000E+01,1.09920000000000E+01,1.09920000000000E+01,1.09920000000000E+01,,,,,5.16624000000000E+02,5.01968000000000E+02,5.71584000000000E+02,5.75248000000000E+02,5.75248000000000E+02,5.78912000000000E+02,5.75248000000000E+02,6.00896000000000E+02,,,,
SOM,Somalia,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2.77607345926787E-03,5.56409421967451E-04,1.67986575745257E-03,1.69149068772207E-03,1.69519023698735E-03,1.68467593207777E-03,,,,,6.98231782450491E-02,6.60751988963949E-02,7.33622597851386E-02,7.20685596448489E-02,7.04020451115600E-02,6.92490148458246E-02,6.73001698625925E-02,6.88036275978008E-02,,,,
SOM,Somalia,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
