Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ESP,Spain,AG.LND.FRST.K2,Forest area (sq. km),1.38180000000000E+05,,,,,,,,,,1.69880000000000E+05,,,,,1.72930000000000E+05,,,,,1.81730000000000E+05,
ESP,Spain,AG.LND.FRST.ZS,Forest area (% of land area),2.76669870254685E+01,,,,,,,,,,3.40440881763527E+01,,,,,3.46490612915506E+01,,,,,3.64108112440143E+01,
ESP,Spain,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,8.85040000000000E+08,4.35310000000000E+08,2.66670000000000E+08,4.00610000000000E+08,3.87880000000000E+08,1.98970000000000E+08,6.33870000000000E+08,,8.44670000000000E+08,1.02596000000000E+09,8.57850000000000E+08,1.01720000000000E+09,1.22425000000000E+09,1.74682000000000E+09,1.89931000000000E+09,3.12311000000000E+09,3.32176000000000E+09,3.53639000000000E+09,,
ESP,Spain,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,3.14888497250000E+08,3.68500929570000E+08,5.09008371839999E+08,7.03461218960000E+08,6.35450497770000E+08,7.18711716639999E+08,7.09026393410000E+08,8.40402141380001E+08,1.00336231131000E+09,9.09006299840001E+08,9.18638848779999E+08,1.64310910732000E+09,2.72994673321000E+09,3.14293324255999E+09,3.02443457517002E+09,,
ESP,Spain,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,1.53400000000000E+07,4.66111044000000E+07,7.54295503700000E+07,7.89853509000000E+07,1.09702869050000E+08,1.15889345770000E+08,8.00607749000000E+07,1.02860643640000E+08,1.32513685630000E+08,1.31639831020000E+08,1.92418549040000E+08,2.25689866880000E+08,4.20024665910000E+08,6.42788149150000E+08,7.30672872760000E+08,,
ESP,Spain,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,4.87156569197289E+00,1.26488430990907E+01,1.48189213661324E+01,1.12281030952598E+01,1.72637946519804E+01,1.61245939208820E+01,1.12916494567931E+01,1.22394552054681E+01,1.32069626431342E+01,1.44817292292881E+01,2.09460496141157E+01,1.37355374560678E+01,1.53858191004377E+01,2.04518549883813E+01,2.41589908658852E+01,,
ESP,Spain,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",9.09800000000000E+07,9.87500000000000E+07,9.99800000000000E+07,6.59200000000000E+07,4.66000000000000E+07,1.21090000000000E+08,1.05330000000000E+08,1.50150000000000E+08,6.91400000000000E+07,1.06140000000000E+08,6.56200000000000E+07,7.65700000000000E+07,1.28580000000000E+08,1.58340000000000E+08,1.60140000000000E+08,4.01400000000000E+08,1.41830000000000E+08,4.36080000000000E+08,7.07910000000000E+08,9.91130000000000E+08,,
ESP,Spain,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),1.87355848434926E-02,1.89182373704865E-02,1.76283767849547E-02,1.39196269506192E-02,9.88534526838161E-03,2.18281651650677E-02,1.83623663154183E-02,2.86390243528410E-02,1.22417270474125E-02,1.79193824306179E-02,1.18863891605985E-02,1.33475390986846E-02,1.97289520023045E-02,1.88613758795975E-02,1.57272593493617E-02,3.61597733367759E-02,1.17186065693535E-02,3.11427855439143E-02,4.60442550001361E-02,6.91308510447674E-02,,
ESP,Spain,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",9.65000000000000E+08,1.26169000000000E+09,1.51822000000000E+09,1.30359000000000E+09,1.30451000000000E+09,1.34816000000000E+09,1.25143000000000E+09,1.23440000000000E+09,1.37568000000000E+09,1.36328000000000E+09,1.19482000000000E+09,1.73704000000000E+09,1.71221000000000E+09,1.96126000000000E+09,2.43699000000000E+09,3.01830000000000E+09,3.81367000000000E+09,5.13980000000000E+09,6.86683000000000E+09,6.58411000000000E+09,5.91659000000000E+09,
ESP,Spain,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",2.00000000000000E-01,2.40000000000000E-01,2.70000000000000E-01,2.80000000000000E-01,2.80000000000000E-01,2.40000000000000E-01,2.20000000000000E-01,2.40000000000000E-01,2.40000000000000E-01,2.30000000000000E-01,2.20000000000000E-01,3.00000000000000E-01,2.60000000000000E-01,2.30000000000000E-01,2.40000000000000E-01,2.70000000000000E-01,3.20000000000000E-01,3.70000000000000E-01,4.50000000000000E-01,4.60000000000000E-01,4.30000000000000E-01,
