Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LKA,Sri Lanka,AG.LND.FRST.K2,Forest area (sq. km),2.35000000000000E+04,,,,,,,,,,2.08200000000000E+04,,,,,1.93300000000000E+04,,,,,1.86000000000000E+04,
LKA,Sri Lanka,AG.LND.FRST.ZS,Forest area (% of land area),3.74740870674534E+01,,,,,,,,,,3.32004464997608E+01,,,,,3.08244299154840E+01,,,,,2.96603412533886E+01,
LKA,Sri Lanka,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),7.28340000000000E+08,8.89080000000000E+08,6.39610000000000E+08,6.61050000000000E+08,6.00860000000000E+08,5.53800000000000E+08,4.86260000000000E+08,3.30790000000000E+08,4.24230000000000E+08,2.61980000000000E+08,2.74540000000000E+08,3.40670000000000E+08,3.43150000000000E+08,6.71360000000000E+08,5.06150000000000E+08,1.15511000000000E+09,7.86240000000000E+08,6.12680000000000E+08,7.30390000000000E+08,7.03750000000000E+08,,
LKA,Sri Lanka,DT.ODA.ODAT.CD,Net official development assistance received (current US$),7.28340000000000E+08,8.89080000000000E+08,6.39610000000000E+08,6.61050000000000E+08,6.00860000000000E+08,5.53800000000000E+08,4.86260000000000E+08,3.30790000000000E+08,4.24230000000000E+08,2.61980000000000E+08,2.74540000000000E+08,3.40670000000000E+08,3.43150000000000E+08,6.71360000000000E+08,5.06150000000000E+08,1.15511000000000E+09,7.86240000000000E+08,6.12680000000000E+08,7.30390000000000E+08,7.03750000000000E+08,,
LKA,Sri Lanka,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),9.13446258844155E+00,9.96074321213664E+00,6.60694023044309E+00,6.39322047467886E+00,5.15952328991813E+00,4.30653971625825E+00,3.54887906742128E+00,2.21746101065474E+00,2.72897729314303E+00,1.70415619886385E+00,1.71414691353959E+00,2.20291090714207E+00,2.03634312534662E+00,3.58815455501395E+00,2.47413631359508E+00,4.79163634622552E+00,2.82023086987485E+00,1.91473642755155E+00,1.83765862761720E+00,1.69241711000132E+00,,
