Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KNA,St. Kitts and Nevis,AG.LND.FRST.K2,Forest area (sq. km),1.10000000000000E+02,,,,,,,,,,1.10000000000000E+02,,,,,1.10000000000000E+02,,,,,1.10000000000000E+02,
KNA,St. Kitts and Nevis,AG.LND.FRST.ZS,Forest area (% of land area),4.23076923076923E+01,,,,,,,,,,4.23076923076923E+01,,,,,4.23076923076923E+01,,,,,4.23076923076923E+01,
KNA,St. Kitts and Nevis,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),8.12000000000000E+06,7.51000000000000E+06,8.07000000000000E+06,1.07700000000000E+07,4.70000000000000E+06,3.90000000000000E+06,6.83000000000000E+06,7.23000000000000E+06,6.60000000000000E+06,4.67000000000000E+06,3.90000000000000E+06,1.01300000000000E+07,2.81000000000000E+07,1.60000000000000E+05,4.00000000000000E+04,2.50000000000000E+06,5.16000000000000E+06,3.44000000000000E+06,4.68000000000000E+07,5.50000000000000E+06,,
KNA,St. Kitts and Nevis,DT.ODA.ODAT.CD,Net official development assistance received (current US$),8.12000000000000E+06,7.51000000000000E+06,8.07000000000000E+06,1.07700000000000E+07,4.70000000000000E+06,3.90000000000000E+06,6.83000000000000E+06,7.23000000000000E+06,6.60000000000000E+06,4.67000000000000E+06,3.90000000000000E+06,1.01300000000000E+07,2.81000000000000E+07,1.60000000000000E+05,4.00000000000000E+04,2.50000000000000E+06,5.16000000000000E+06,3.44000000000000E+06,4.68000000000000E+07,5.50000000000000E+06,,
KNA,St. Kitts and Nevis,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),5.25577701728048E+00,4.76611345389697E+00,4.70297983439114E+00,5.77754113288809E+00,2.25219639443871E+00,1.77442999208967E+00,3.04005940087039E+00,2.82986935572404E+00,2.51962800662632E+00,1.68881846166948E+00,1.31727188677077E+00,3.28760916932773E+00,8.97141600141099E+00,5.01801682062667E-02,1.10899924020562E-02,6.19453606982784E-01,1.13457390333873E+00,7.14522010634130E-01,8.36333792227047E+00,1.11570247933884E+00,,
KNA,St. Kitts and Nevis,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.93218322427127E+02,1.79665071770335E+02,1.94059701783793E+02,2.60268914820295E+02,1.14118458178046E+02,9.51219512195122E+01,1.67115243454857E+02,1.77466863033873E+02,1.64465487166708E+02,1.10506389020350E+02,8.80639479745292E+01,2.19687276354883E+02,6.01584243202740E+02,3.42539070862770E+00,8.24011700966154E-01,5.08409086287190E+01,1.03591576157877E+02,6.81795659498563E+01,9.15815427967594E+02,1.06276085948369E+02,,
KNA,St. Kitts and Nevis,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.41336387604270E+00,3.43495586756546E+00,3.07938906752412E+00,4.04238009649038E+00,5.32071409347805E+00,5.29479068117313E+00,5.16765805574437E+00,4.67535465996255E+00,7.07322439494695E+00,1.11630957586357E+01,1.26238776822501E+01,1.35653007789180E+01,2.47224193349333E+01,2.59787328587775E+01,2.30382601298458E+01,1.97760639683367E+01,1.85649451433408E+01,1.95338173273500E+01,1.86934383752986E+01,2.08183067283520E+01,,
KNA,St. Kitts and Nevis,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",3.41336387604270E+00,3.43495586756546E+00,3.07938906752412E+00,4.04238009649038E+00,5.32071409347805E+00,5.29479068117313E+00,5.16765805574437E+00,4.67535465996255E+00,7.07322439494695E+00,1.11630957586357E+01,1.26238776822501E+01,1.35653007789180E+01,2.47224193349333E+01,2.59787328587775E+01,2.30382601298458E+01,1.97760639683367E+01,1.85649451433408E+01,1.95338173273500E+01,1.86934383752986E+01,2.08183067283520E+01,,
KNA,St. Kitts and Nevis,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),1.65578867874865E+01,,,,,,,,,,,,,,7.86844458834599E+00,7.99443862322288E+00,8.43461252546729E+00,8.19083712018027E+00,,,,
KNA,St. Kitts and Nevis,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",6.03941802981611E+01,,,,,,,,,,,,,,1.27089920856926E+02,1.25086956962196E+02,1.18559091716498E+02,1.22087643219792E+02,,,,
KNA,St. Kitts and Nevis,EN.ATM.CO2E.KT,CO2 emissions (kt),6.59520000000000E+01,7.32800000000000E+01,7.32800000000000E+01,8.42720000000000E+01,8.79360000000000E+01,9.52640000000000E+01,1.02592000000000E+02,1.02592000000000E+02,1.02592000000000E+02,1.02592000000000E+02,1.02592000000000E+02,1.83200000000000E+02,1.97856000000000E+02,2.19840000000000E+02,2.27168000000000E+02,2.34496000000000E+02,2.34496000000000E+02,2.49152000000000E+02,,,,
KNA,St. Kitts and Nevis,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1.56935157644259E+00,1.75311004784689E+00,1.76216789922136E+00,2.03652571863843E+00,2.13513207198823E+00,2.32351219512195E+00,2.51020308294593E+00,2.51821305841924E+00,2.55649140294044E+00,2.42763842877425E+00,2.31657860271869E+00,3.97302162173885E+00,4.23583815028902E+00,4.70648683365446E+00,4.67972725212698E+00,4.76879588392004E+00,4.70771516331734E+00,4.93810326033099E+00,,,,
KNA,St. Kitts and Nevis,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),2.55537729188156E-01,2.73520705461994E-01,2.59299707357544E-01,2.73582892504881E-01,2.66193975984459E-01,2.71849609874082E-01,2.69997386011187E-01,2.48095487545518E-01,2.41890415724188E-01,2.26589799142013E-01,2.15780353324691E-01,3.69219360118922E-01,3.88402832472829E-01,4.20478663492513E-01,3.92546116233232E-01,3.71296089364648E-01,3.40833685002493E-01,3.44801089942308E-01,,,,
KNA,St. Kitts and Nevis,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,5.77129224635817E+02,,,,,5.89101620029455E+02,,,,,5.13808606294155E+02,,,,,4.75671390347835E+02,,,,
KNA,St. Kitts and Nevis,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),5.26718946557019E-01,5.26808189336679E-01,5.26949136296748E-01,5.27090118556285E-01,5.27231135479263E-01,5.27372187701710E-01,5.27513274269585E-01,5.27654788565249E-01,5.27797122380998E-01,5.27797122380998E-01,5.27797122380998E-01,5.27797122380998E-01,5.27797122380998E-01,5.27797122380998E-01,5.27797122380998E-01,5.27797122380998E-01,5.27797122380998E-01,5.27797122380998E-01,5.27797122380998E-01,5.27797106798350E-01,,
KNA,St. Kitts and Nevis,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,,,,,,7.34034744311231E-01,5.03190967108493E-01,1.09643658111139E+00,1.65641268338855E+00,2.70965993767782E+00,4.55422784151287E+00,1.07043459644616E+01,4.70991222436309E+01,5.97408483200461E+01,1.03715453602587E+02,1.28485675854731E+02,1.46665345357249E+02,1.56549645806426E+02,1.60380275158448E+02,,
KNA,St. Kitts and Nevis,IT.MLT.MAIN.P2,Telephone lines (per 100 people),2.31100535395598E+01,2.43253588516746E+01,2.77238451284430E+01,2.95599755439354E+01,3.30117990933769E+01,3.51463414634146E+01,3.82774651333497E+01,4.21723122238586E+01,4.57712434587590E+01,4.74656885944155E+01,4.94738743621009E+01,4.87952983019236E+01,5.03104260329694E+01,5.03104260329694E+01,4.19215952866531E+01,4.12828178065198E+01,4.14567063500030E+01,4.05311663858884E+01,3.99201596806387E+01,3.96119956716649E+01,,
KNA,St. Kitts and Nevis,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,,2.07976510888182E+00,2.45459008345606E+00,3.73785198106155E+00,4.73260766682442E+00,6.09673485977510E+00,7.80724772830778E+00,2.14086919289231E+01,2.35495611218155E+01,2.47203510289846E+01,2.64372724869339E+01,2.81062415932224E+01,2.97294618967397E+01,3.13099291612853E+01,3.28489720204050E+01,,
KNA,St. Kitts and Nevis,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),5.53972293084602E+01,4.29277747919501E+01,3.90322291933713E+01,4.53408930046201E+01,3.80591260766794E+01,4.62937373996790E+01,4.58717924585219E+01,4.40296495956873E+01,4.29734193548387E+01,3.56630592667827E+01,5.01051291668087E+01,5.41401204988696E+01,5.18008354614596E+01,4.55352625023748E+01,4.37759122646520E+01,4.23303560875952E+01,3.79131281029751E+01,4.28842559517366E+01,4.07306837817823E+01,4.10415405622264E+01,1.93734043542222E+00,
