Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
VCT,St. Vincent and the Grenadines,AG.LND.FRST.K2,Forest area (sq. km),2.50000000000000E+02,,,,,,,,,,2.60000000000000E+02,,,,,2.60000000000000E+02,,,,,2.70000000000000E+02,
VCT,St. Vincent and the Grenadines,AG.LND.FRST.ZS,Forest area (% of land area),6.41025641025641E+01,,,,,,,,,,6.66666666666667E+01,,,,,6.66666666666667E+01,,,,,6.92307692307692E+01,
VCT,St. Vincent and the Grenadines,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.53700000000000E+07,1.59300000000000E+07,1.81300000000000E+07,1.36900000000000E+07,9.41000000000000E+06,4.76400000000000E+07,2.63200000000000E+07,5.90000000000000E+06,2.05000000000000E+07,1.63300000000000E+07,6.18000000000000E+06,8.12000000000000E+06,4.57000000000000E+06,6.48000000000000E+06,1.06200000000000E+07,7.69000000000000E+06,4.73000000000000E+06,6.58500000000000E+07,2.68600000000000E+07,3.11400000000000E+07,,
VCT,St. Vincent and the Grenadines,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.53700000000000E+07,1.59300000000000E+07,1.81300000000000E+07,1.36900000000000E+07,9.41000000000000E+06,4.76400000000000E+07,2.63200000000000E+07,5.90000000000000E+06,2.05000000000000E+07,1.63300000000000E+07,6.18000000000000E+06,8.12000000000000E+06,4.57000000000000E+06,6.48000000000000E+06,1.06200000000000E+07,7.69000000000000E+06,4.73000000000000E+06,6.58500000000000E+07,2.68600000000000E+07,3.11400000000000E+07,,
VCT,St. Vincent and the Grenadines,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),8.20769328125442E+00,7.90480650299969E+00,8.02109851266637E+00,5.94455457337255E+00,4.06840750128049E+00,1.86955236090170E+01,9.70818331191781E+00,2.08513306815510E+00,6.73242985661064E+00,5.25130445428796E+00,1.95023317040266E+00,2.43862834245707E+00,1.29663103107486E+00,1.78452658354060E+00,2.70833909672729E+00,1.83623084156417E+00,9.98501678754392E-01,1.23465423292761E+01,4.80364038602929E+00,5.54326327171075E+00,,
VCT,St. Vincent and the Grenadines,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.43044607209001E+02,1.47835367268340E+02,1.67948124131542E+02,1.26699428973355E+02,8.70578874816124E+01,4.40756057620250E+02,2.43593184573666E+02,5.46402541234870E+01,1.89978407332240E+02,1.51387330929183E+02,5.72800326255202E+01,7.51942363432635E+01,4.22561257512714E+01,5.98039758569135E+01,9.78206805077096E+01,7.07093926716013E+01,4.34271653904772E+01,6.03796075554740E+02,2.46020260492041E+02,2.84984762375422E+02,,
VCT,St. Vincent and the Grenadines,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.18572252905778E+00,4.15507471980075E+00,4.17108471235149E+00,6.86910202475713E+00,7.39957441402527E+00,6.13785367398648E+00,6.57382793620108E+00,7.63152861556566E+00,7.24607607792449E+00,7.97085823424313E+00,7.17301332900530E+00,6.71727724767061E+00,6.50516985007794E+00,7.79568829207870E+00,1.01915361348631E+01,1.13103698127934E+01,1.47698903246004E+01,1.23287987410801E+01,1.30435284394200E+01,1.47557520085508E+01,,
