Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SSF,Sub-Saharan Africa (all income levels),AG.LND.FRST.K2,Forest area (sq. km),7.39777000000000E+06,,,,,,,,,,6.97746000000000E+06,,,,,6.79902000000000E+06,,,,,6.62126000000000E+06,
SSF,Sub-Saharan Africa (all income levels),AG.LND.FRST.ZS,Forest area (% of land area),3.13286814568502E+01,,,,,,,,,,2.95487182918520E+01,,,,,2.87930459853109E+01,,,,,2.80402533983868E+01,
SSF,Sub-Saharan Africa (all income levels),DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SSF,Sub-Saharan Africa (all income levels),DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.78386700000000E+10,1.78930400000000E+10,1.92966900000000E+10,1.73615900000000E+10,1.92667400000000E+10,1.87159500000000E+10,1.64568800000000E+10,1.49637000000000E+10,1.45230100000000E+10,1.32797800000000E+10,1.30883700000000E+10,1.43412900000000E+10,1.91880700000000E+10,2.50710200000000E+10,2.67152600000000E+10,3.30239500000000E+10,4.10809600000000E+10,3.59570800000000E+10,4.04012000000000E+10,4.45853600000000E+10,,
