Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SSA,Sub-Saharan Africa (developing only),AG.LND.FRST.K2,Forest area (sq. km),7.37917000000000E+06,,,,,,,,,,6.96003000000000E+06,,,,,6.78217000000000E+06,,,,,6.60500000000000E+06,
SSA,Sub-Saharan Africa (developing only),AG.LND.FRST.ZS,Forest area (% of land area),3.12870780857278E+01,,,,,,,,,,2.95099587201552E+01,,,,,2.87558468473663E+01,,,,,2.80046605182198E+01,
SSA,Sub-Saharan Africa (developing only),DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa (developing only),DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa (developing only),DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa (developing only),DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa (developing only),DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa (developing only),DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa (developing only),DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa (developing only),DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa (developing only),DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa (developing only),DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa (developing only),DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SSA,Sub-Saharan Africa (developing only),DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
