Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SDN,Sudan,AG.LND.FRST.K2,Forest area (sq. km),7.63810000000000E+05,,,,,,,,,,7.04910000000000E+05,,,,,7.02200000000000E+05,,,,,6.99490000000000E+05,
SDN,Sudan,AG.LND.FRST.ZS,Forest area (% of land area),3.21468855218855E+01,,,,,,,,,,2.96679292929293E+01,,,,,2.95538720538721E+01,,,,,2.94398148148148E+01,
SDN,Sudan,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00,3.00000000000000E+00
SDN,Sudan,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),8.13130000000000E+08,8.67000000000000E+08,5.36310000000000E+08,4.47600000000000E+08,4.07600000000000E+08,2.37020000000000E+08,2.17680000000000E+08,1.38450000000000E+08,2.09390000000000E+08,2.42950000000000E+08,2.20390000000000E+08,1.80630000000000E+08,3.01060000000000E+08,6.13180000000000E+08,9.91930000000000E+08,1.82322000000000E+09,2.04413000000000E+09,2.11151000000000E+09,2.38358000000000E+09,2.28889000000000E+09,,
SDN,Sudan,DT.ODA.ODAT.CD,Net official development assistance received (current US$),8.13130000000000E+08,8.67000000000000E+08,5.36310000000000E+08,4.47600000000000E+08,4.07600000000000E+08,2.37020000000000E+08,2.17680000000000E+08,1.38450000000000E+08,2.09390000000000E+08,2.42950000000000E+08,2.20390000000000E+08,1.80630000000000E+08,3.01060000000000E+08,6.13180000000000E+08,9.91930000000000E+08,1.82322000000000E+09,2.04413000000000E+09,2.11151000000000E+09,2.38358000000000E+09,2.28889000000000E+09,,
SDN,Sudan,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),7.12731248834509E+00,8.86573570493320E+00,8.66227238207753E+00,5.57798358882749E+00,3.42691069050025E+00,1.83455423318481E+00,2.51334864921163E+00,1.22131022473951E+00,1.92409188977682E+00,2.37614957064141E+00,1.94988685448506E+00,1.46165023527708E+00,2.19802031614199E+00,3.73246771804975E+00,4.96186254048917E+00,6.99838919278778E+00,5.99782542158837E+00,4.95297789877527E+00,4.48611515428045E+00,4.57611969551221E+00,,
SDN,Sudan,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.06909041004456E+01,3.19220697960776E+01,1.92460490980776E+01,1.56472508381557E+01,1.38794887172288E+01,7.86366889090186E+00,7.03803055160952E+00,4.36286288257770E+00,6.43300570954987E+00,7.28077924326706E+00,6.44646504598185E+00,5.16052775374280E+00,8.40571463511811E+00,1.67336941383194E+01,2.64488944235210E+01,4.74669307623576E+01,5.19226860427234E+01,5.22992294352490E+01,5.75533335614302E+01,5.38837362852650E+01,,
SDN,Sudan,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",9.71059835745014E+00,5.79748822605965E+00,7.20683111954459E+00,5.38416578108395E+00,5.36313777630048E-01,1.01026504612681E+01,7.06711746294218E+00,8.95315904139434E+00,9.78870761356366E+00,6.45674386920981E+00,1.33103823353456E+01,1.36642019525157E+01,6.84836222867675E+00,1.06629684856258E+01,8.46934342080958E+00,7.99232479908797E+00,5.49226256228162E+00,3.88032386728376E+00,2.98394496164420E+00,5.82549496134841E+00,,
SDN,Sudan,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",4.82205709816191E+00,5.79748822605965E+00,7.20683111954459E+00,5.38416578108395E+00,5.36313777630048E-01,1.01026504612681E+01,7.06711746294218E+00,8.95315904139434E+00,9.78870761356366E+00,6.45674386920981E+00,1.30164246478490E+01,1.34850095315118E+01,6.68584072893025E+00,1.05191102732688E+01,8.17650134895713E+00,7.76134621097168E+00,5.32406464940413E+00,3.79331444464373E+00,2.85916164485908E+00,5.76162241315558E+00,,
SDN,Sudan,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),2.56590125636717E+00,2.76408489147749E+00,2.94756976189720E+00,3.17415003321200E+00,2.76576912858674E+00,2.92062195639234E+00,3.01963845701592E+00,3.27023059492963E+00,3.37423258097342E+00,3.13292999828060E+00,3.53022762071059E+00,3.61842305237773E+00,3.52253288442648E+00,3.72241939087287E+00,3.75423065999432E+00,3.98555144376218E+00,4.45000656847058E+00,5.09014018183062E+00,5.27934213103203E+00,,,
