Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SUR,Suriname,AG.LND.FRST.K2,Forest area (sq. km),1.47760000000000E+05,,,,,,,,,,1.47760000000000E+05,,,,,1.47760000000000E+05,,,,,1.47580000000000E+05,
SUR,Suriname,AG.LND.FRST.ZS,Forest area (% of land area),9.47179487179487E+01,,,,,,,,,,9.47179487179487E+01,,,,,9.47179487179487E+01,,,,,9.46025641025641E+01,
SUR,Suriname,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),6.11300000000000E+07,4.35600000000000E+07,7.97000000000000E+07,7.88300000000000E+07,6.01300000000000E+07,7.67200000000000E+07,1.09070000000000E+08,7.61800000000000E+07,5.88200000000000E+07,3.50200000000000E+07,3.43300000000000E+07,2.31900000000000E+07,1.15900000000000E+07,1.08600000000000E+07,2.38900000000000E+07,4.41700000000000E+07,6.42200000000000E+07,1.50870000000000E+08,1.01500000000000E+08,1.57090000000000E+08,,
SUR,Suriname,DT.ODA.ODAT.CD,Net official development assistance received (current US$),6.11300000000000E+07,4.35600000000000E+07,7.97000000000000E+07,7.88300000000000E+07,6.01300000000000E+07,7.67200000000000E+07,1.09070000000000E+08,7.61800000000000E+07,5.88200000000000E+07,3.50200000000000E+07,3.43300000000000E+07,2.31900000000000E+07,1.15900000000000E+07,1.08600000000000E+07,2.38900000000000E+07,4.41700000000000E+07,6.42200000000000E+07,1.50870000000000E+08,1.01500000000000E+08,1.57090000000000E+08,,
SUR,Suriname,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.56552891820180E+01,1.02009046084043E+01,2.00705107576344E+01,,1.00762331688042E+01,1.11025932787110E+01,1.25825205179241E+01,8.26886979057667E+00,5.34130763458699E+00,4.80464226798745E+00,3.85039122621939E+00,3.39272878533145E+00,1.12334407510500E+00,8.88307608380153E-01,1.68121643847230E+00,2.52093594112161E+00,3.09105956605364E+00,6.21464480221588E+00,3.28875807604392E+00,4.82280867517614E+00,,
