Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SWZ,Swaziland,AG.LND.FRST.K2,Forest area (sq. km),4.72000000000000E+03,,,,,,,,,,5.18000000000000E+03,,,,,5.41000000000000E+03,,,,,5.63000000000000E+03,
SWZ,Swaziland,AG.LND.FRST.ZS,Forest area (% of land area),2.74418604651163E+01,,,,,,,,,,3.01162790697674E+01,,,,,3.14534883720930E+01,,,,,3.27325581395349E+01,
SWZ,Swaziland,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.36300000000000E+07,5.29200000000000E+07,5.60100000000000E+07,5.42100000000000E+07,5.77800000000000E+07,5.77500000000000E+07,3.30500000000000E+07,2.82800000000000E+07,3.48000000000000E+07,2.89900000000000E+07,1.31300000000000E+07,2.91500000000000E+07,2.23000000000000E+07,4.00900000000000E+07,2.48900000000000E+07,4.66500000000000E+07,3.47800000000000E+07,5.06700000000000E+07,6.98900000000000E+07,5.65700000000000E+07,,
SWZ,Swaziland,DT.ODA.ODAT.CD,Net official development assistance received (current US$),5.36300000000000E+07,5.29200000000000E+07,5.60100000000000E+07,5.42100000000000E+07,5.77800000000000E+07,5.77500000000000E+07,3.30500000000000E+07,2.82800000000000E+07,3.48000000000000E+07,2.89900000000000E+07,1.31300000000000E+07,2.91500000000000E+07,2.23000000000000E+07,4.00900000000000E+07,2.48900000000000E+07,4.66500000000000E+07,3.47800000000000E+07,5.06700000000000E+07,6.98900000000000E+07,5.65700000000000E+07,,
SWZ,Swaziland,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),4.56808154076108E+00,4.30910258222127E+00,4.09103803737016E+00,3.85330003170027E+00,4.11645587407909E+00,3.24527419809497E+00,1.89200762879748E+00,1.52340678543415E+00,2.15000002824452E+00,1.78662899998480E+00,8.61663414637714E-01,2.09272987778312E+00,1.89404657071365E+00,2.28573410163665E+00,1.08968996748041E+00,1.72632223068669E+00,1.29598622691414E+00,1.69416509925298E+00,2.47006146994581E+00,2.08889815872138E+00,,
SWZ,Swaziland,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),6.21475015267450E+01,5.96303862566157E+01,6.16742901565587E+01,5.85155760885991E+01,6.11814435347584E+01,5.99320666133245E+01,3.35658398264529E+01,2.80883252683687E+01,3.38288416149189E+01,2.76576217307432E+01,1.23421743282774E+01,2.71141856024140E+01,2.05951918077314E+01,3.68229229813984E+01,2.27204886958951E+01,4.22206715666177E+01,3.11201463130053E+01,4.47217007485391E+01,6.07557391528099E+01,4.84189173574586E+01,,
SWZ,Swaziland,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",5.39475611058713E+00,3.03269444786570E+00,2.31884132147864E+00,2.26777584433218E+00,2.22772321013293E+00,1.52768961939976E+00,2.57702561712854E+00,2.29134924368758E+00,2.22700965155272E+00,3.00312820095212E+00,2.22004469585579E+00,1.82974980962948E+00,1.42530993513051E+00,1.33195821757254E+00,2.00834172577833E+00,1.57445057866456E+00,1.62513318067424E+00,1.90156264421268E+00,,2.14182790454824E+00,,
SWZ,Swaziland,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",5.34070361687495E+00,3.00008232537540E+00,2.29099380445396E+00,2.24097125064474E+00,2.20469665556848E+00,1.49309435588531E+00,2.55115901219391E+00,1.66023500586975E+00,2.09955637670537E+00,2.86834800144622E+00,2.07008978365085E+00,1.82462793807822E+00,1.42407776747533E+00,1.33169955477346E+00,1.97220449068428E+00,1.44844339902314E+00,1.48558792401277E+00,1.84418999467671E+00,2.49798972814291E+00,2.05634394059150E+00,,
SWZ,Swaziland,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),9.78034975773798E+00,,,,,,,,,,,,,,1.17454010214422E+01,1.22154255739858E+01,1.23495489205615E+01,1.22693524082926E+01,,,,
SWZ,Swaziland,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.02245832180881E+02,,,,,,,,,,,,,,8.51397068669187E+01,8.18637053570705E+01,8.09746174886631E+01,8.15038941520760E+01,,,,
SWZ,Swaziland,EN.ATM.CO2E.KT,CO2 emissions (kt),4.25024000000000E+02,3.26096000000000E+02,2.63808000000000E+02,1.31904000000000E+02,4.83648000000000E+02,4.54336000000000E+02,3.40752000000000E+02,1.20179200000000E+03,1.21278400000000E+03,1.23843200000000E+03,1.18713600000000E+03,1.14316800000000E+03,1.12484800000000E+03,1.04057600000000E+03,1.02958400000000E+03,1.01859200000000E+03,1.01492800000000E+03,1.06256000000000E+03,,,,
SWZ,Swaziland,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),4.92526192222697E-01,3.67445775448552E-01,2.90486897654373E-01,1.42380345847456E-01,5.12119813130821E-01,4.71502950940804E-01,3.46070410061830E-01,1.19364655590252E+00,1.17893901865252E+00,1.18151375630382E+00,1.11590551891652E+00,1.06332999405627E+00,1.03885472262525E+00,9.55775752164920E-01,9.39841367355341E-01,9.21878634349073E-01,9.08128460528058E-01,9.37822979028373E-01,,,,
SWZ,Swaziland,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),1.95023246137363E-01,1.41028814808208E-01,1.09924181803290E-01,5.23180420747815E-02,1.81118863213561E-01,1.61523569701079E-01,1.14909828495468E-01,3.83117418796269E-01,3.71045790396300E-01,3.60883057826843E-01,3.07621967528712E-01,2.86793259425719E-01,2.72692329896542E-01,2.37703841302714E-01,2.23107369275833E-01,2.08986755305938E-01,1.96045737657196E-01,1.92620315230636E-01,,,,
