Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SWE,Sweden,AG.LND.FRST.K2,Forest area (sq. km),2.72810000000000E+05,,,,,,,,,,2.73890000000000E+05,,,,,2.82030000000000E+05,,,,,2.82030000000000E+05,
SWE,Sweden,AG.LND.FRST.ZS,Forest area (% of land area),6.64838914071258E+01,,,,,,,,,,6.67470877808646E+01,,,,,6.87308085977482E+01,,,,,6.87308085977482E+01,
SWE,Sweden,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),1.28483000000000E+09,1.46867000000000E+09,1.66398000000000E+09,1.25896000000000E+09,1.29783000000000E+09,1.19214000000000E+09,1.03905000000000E+09,1.07178000000000E+09,1.30714000000000E+09,1.70286000000000E+09,9.40980000000000E+08,9.53260000000000E+08,1.12067000000000E+09,1.81094000000000E+09,1.86540000000000E+09,2.22848000000000E+09,2.82575000000000E+09,1.98142000000000E+09,2.29367000000000E+09,2.89112000000000E+09,,
SWE,Sweden,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,9.92917964779999E+08,8.00624167890000E+08,9.13562445889998E+08,6.41038400229999E+08,5.69993021720000E+08,5.34077914730000E+08,6.16968583019998E+08,7.33532250179999E+08,1.07136480098000E+09,1.03363717691000E+09,1.71624029457000E+09,1.91994639211000E+09,1.28672150893000E+09,1.60546891709000E+09,1.63869465657000E+09,,
SWE,Sweden,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,1.59847449670000E+08,8.22972544100000E+07,9.49641905200000E+07,1.17719310090000E+08,6.91288227100000E+07,9.00553692000000E+07,6.55848100400000E+07,1.30014093210000E+08,2.71381636740000E+08,1.62037707600000E+08,2.68499631370000E+08,3.78678915720000E+08,1.70943637010000E+08,1.87924471700000E+08,1.76420995320000E+08,,
SWE,Sweden,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,1.60987569305806E+01,1.02791369172492E+01,1.03949315065688E+01,1.83638468534433E+01,1.21280121116919E+01,1.68618410752909E+01,1.06301701326458E+01,1.77243867843706E+01,2.53304604082346E+01,1.56764589374003E+01,1.56446409176794E+01,1.97234108866881E+01,1.32852086347847E+01,1.17052700117436E+01,1.07659468231423E+01,,
SWE,Sweden,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",5.21330000000000E+08,6.10780000000000E+08,5.17140000000000E+08,4.25210000000000E+08,3.70200000000000E+08,3.51530000000000E+08,4.05510000000000E+08,3.61230000000000E+08,2.93700000000000E+08,2.89670000000000E+08,3.37310000000000E+08,3.25660000000000E+08,3.44660000000000E+08,6.08680000000000E+08,5.86640000000000E+08,6.38570000000000E+08,7.28590000000000E+08,7.48500000000000E+08,9.02690000000000E+08,8.07730000000000E+08,,
SWE,Sweden,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),2.35679230680207E-01,2.58395265475138E-01,2.16487077085374E-01,2.36851486692735E-01,1.96322792429216E-01,1.57943848138111E-01,1.69398284144223E-01,1.65084064545799E-01,1.33615553159746E-01,1.24017109711622E-01,1.50238976669955E-01,1.49818881825584E-01,1.43305600252799E-01,2.01498973867436E-01,1.67519560844262E-01,1.78975796660490E-01,1.88791884045263E-01,1.61245899781742E-01,1.86876998606636E-01,1.99153634653073E-01,,
SWE,Sweden,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",2.00699000000000E+09,2.11643000000000E+09,2.45953000000000E+09,1.76852000000000E+09,1.81919000000000E+09,1.70396000000000E+09,1.99900000000000E+09,1.73059000000000E+09,1.57272000000000E+09,1.62988000000000E+09,1.79895000000000E+09,1.66560000000000E+09,2.01156000000000E+09,2.40011000000000E+09,2.72201000000000E+09,3.36168000000000E+09,3.95496000000000E+09,4.33894000000000E+09,4.73175000000000E+09,4.54823000000000E+09,4.52662000000000E+09,
SWE,Sweden,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",9.10000000000000E-01,9.00000000000000E-01,1.03000000000000E+00,9.90000000000000E-01,9.60000000000000E-01,7.70000000000000E-01,8.40000000000000E-01,7.90000000000000E-01,7.20000000000000E-01,7.00000000000000E-01,8.00000000000000E-01,7.70000000000000E-01,8.40000000000000E-01,7.90000000000000E-01,7.80000000000000E-01,9.40000000000000E-01,1.02000000000000E+00,9.30000000000000E-01,9.80000000000000E-01,1.12000000000000E+00,9.70000000000000E-01,
