Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,Switzerland,AG.LND.FRST.K2,Forest area (sq. km),1.15100000000000E+04,,,,,,,,,,1.19400000000000E+04,,,,,1.21700000000000E+04,,,,,1.24000000000000E+04,
CHE,Switzerland,AG.LND.FRST.ZS,Forest area (% of land area),2.87750000000000E+01,,,,,,,,,,2.98500000000000E+01,,,,,3.04250000000000E+01,,,,,3.10000000000000E+01,
CHE,Switzerland,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),5.99560000000000E+08,,5.48000000000000E+08,4.68850000000000E+08,9.19650000000000E+08,5.56950000000000E+08,3.61420000000000E+08,2.98610000000000E+08,1.79380000000000E+08,6.91150000000000E+08,5.49240000000000E+08,6.28680000000000E+08,6.00650000000000E+08,6.66160000000000E+08,1.15811000000000E+09,1.26710000000000E+09,1.08109000000000E+09,1.22597000000000E+09,1.46233000000000E+09,1.40631000000000E+09,,
CHE,Switzerland,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,2.42293715880000E+08,3.61614200710000E+08,3.30169207440000E+08,3.31133507030000E+08,4.16732548000000E+08,4.85101605600000E+08,4.16673780270000E+08,5.43212358589999E+08,5.01607434729999E+08,7.44095115650001E+08,6.51217593810001E+08,6.83929939339999E+08,8.44612435019999E+08,8.82538756460000E+08,8.85725993250002E+08,,
CHE,Switzerland,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,1.79138820700000E+07,2.10363239400000E+07,3.78451724000000E+07,4.00953887300000E+07,5.08531310500000E+07,9.09402216200000E+07,8.35840890900000E+07,9.17201953100000E+07,4.77828995800000E+07,6.57584292200000E+07,4.36905048600000E+07,3.95403766500000E+07,4.71128521100000E+07,8.31734452600000E+07,8.40775034600000E+07,,
CHE,Switzerland,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,7.39345715382571E+00,5.81733900347301E+00,1.14623567392721E+01,1.21085265848277E+01,1.22028220003588E+01,1.87466338124196E+01,2.00598389070314E+01,1.68847769863108E+01,9.52595521350679E+00,8.83736874990196E+00,6.70904859992882E+00,5.78134899141233E+00,5.57804386444825E+00,9.42433911838859E+00,9.49249588481577E+00,,
CHE,Switzerland,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",2.30000000000000E+08,2.28650000000000E+08,2.30030000000000E+08,1.94910000000000E+08,2.30920000000000E+08,2.39850000000000E+08,2.08790000000000E+08,1.75500000000000E+08,1.76700000000000E+08,1.73470000000000E+08,1.63070000000000E+08,1.63070000000000E+08,1.89110000000000E+08,2.52610000000000E+08,2.52770000000000E+08,2.44580000000000E+08,2.48640000000000E+08,2.95260000000000E+08,2.90630000000000E+08,4.71000000000000E+08,,
CHE,Switzerland,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),9.79662880113457E-02,9.46119752485308E-02,9.16676778683908E-02,8.06262530761743E-02,8.55344983834306E-02,7.58373098253377E-02,6.85859025042806E-02,6.63488424792283E-02,6.31167816913754E-02,6.24645537873209E-02,6.31162489680762E-02,6.10485160310101E-02,6.60517161431079E-02,7.21691101581001E-02,6.49562739455109E-02,6.00421782923247E-02,5.90305752216644E-02,6.73195641424163E-02,6.29853963949286E-02,9.15733075823748E-02,,
CHE,Switzerland,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",7.49740000000000E+08,8.62820000000000E+08,1.13913000000000E+09,7.93250000000000E+08,9.82280000000000E+08,1.08357000000000E+09,1.02642000000000E+09,9.10520000000000E+08,8.97620000000000E+08,9.83750000000000E+08,8.90370000000000E+08,9.08210000000000E+08,9.38870000000000E+08,1.29949000000000E+09,1.54544000000000E+09,1.77159000000000E+09,1.64644000000000E+09,1.68487000000000E+09,2.03763000000000E+09,2.31007000000000E+09,2.29522000000000E+09,
CHE,Switzerland,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",3.20000000000000E-01,3.60000000000000E-01,4.50000000000000E-01,3.30000000000000E-01,3.60000000000000E-01,3.40000000000000E-01,3.40000000000000E-01,3.40000000000000E-01,3.20000000000000E-01,3.50000000000000E-01,3.40000000000000E-01,3.40000000000000E-01,3.30000000000000E-01,3.70000000000000E-01,4.00000000000000E-01,4.30000000000000E-01,3.90000000000000E-01,3.80000000000000E-01,4.40000000000000E-01,4.50000000000000E-01,4.10000000000000E-01,
CHE,Switzerland,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",1.22001000000000E+09,1.37465000000000E+09,1.74431000000000E+09,1.24685000000000E+09,1.41084000000000E+09,1.33591000000000E+09,1.32071000000000E+09,1.37610000000000E+09,1.35242000000000E+09,1.52698000000000E+09,1.53500000000000E+09,1.55248000000000E+09,1.47419000000000E+09,1.74538000000000E+09,1.90696000000000E+09,2.18927000000000E+09,2.00521000000000E+09,1.91677000000000E+09,2.06727000000000E+09,2.31007000000000E+09,2.20534000000000E+09,
