Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
TJK,Tajikistan,AG.LND.FRST.K2,Forest area (sq. km),4.08000000000000E+03,,,,,,,,,,4.10000000000000E+03,,,,,4.10000000000000E+03,,,,,4.10000000000000E+03,
TJK,Tajikistan,AG.LND.FRST.ZS,Forest area (% of land area),2.91511860531580E+00,,,,,,,,,,2.92940840240069E+00,,,,,2.92940840240069E+00,,,,,2.92940840240069E+00,
TJK,Tajikistan,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),,,1.18600000000000E+07,2.59800000000000E+07,6.65000000000000E+07,6.50800000000000E+07,1.03140000000000E+08,8.59100000000000E+07,1.60590000000000E+08,1.22500000000000E+08,1.23500000000000E+08,1.65290000000000E+08,1.68320000000000E+08,1.48090000000000E+08,2.48290000000000E+08,2.51480000000000E+08,2.41210000000000E+08,2.22080000000000E+08,2.90640000000000E+08,4.08890000000000E+08,,
TJK,Tajikistan,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,1.18600000000000E+07,2.59800000000000E+07,6.65000000000000E+07,6.50800000000000E+07,1.03140000000000E+08,8.59100000000000E+07,1.60590000000000E+08,1.22500000000000E+08,1.23500000000000E+08,1.65290000000000E+08,1.68320000000000E+08,1.48090000000000E+08,2.48290000000000E+08,2.51480000000000E+08,2.41210000000000E+08,2.22080000000000E+08,2.90640000000000E+08,4.08890000000000E+08,,
TJK,Tajikistan,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,6.21187422646373E-01,1.59325354204456E+00,5.07761540405084E+00,5.50126673064673E+00,1.06594116030328E+01,9.56419905330893E+00,1.24772996644263E+01,1.15888611537365E+01,1.49801999974945E+01,1.60462038881397E+01,1.44565293222516E+01,1.01163322201702E+01,1.24171866962463E+01,1.12580704742928E+01,8.83917951451054E+00,6.11184123414623E+00,5.68943722877742E+00,8.33291170773516E+00,,
TJK,Tajikistan,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,2.14893184860141E+00,4.63273205297791E+00,1.16833821019371E+01,1.12684757637734E+01,1.75996794721939E+01,1.44503590386903E+01,2.66421088326579E+01,2.00679262443916E+01,2.00071053574168E+01,2.65202876429964E+01,2.67777783257493E+01,2.33701199547274E+01,3.88492157869043E+01,3.89695718739734E+01,3.69691234788036E+01,3.36259350926182E+01,4.34347528236176E+01,6.02781205267573E+01,,
TJK,Tajikistan,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,1.24265711769733E+01,8.25043079590353E+00,8.09552871235741E+00,5.56146087515676E+00,4.04783721002590E+00,3.69058165275187E+00,7.11580876577827E+00,3.84015529640180E+01,,
TJK,Tajikistan,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,8.96905575034038E+00,5.43108666628300E+00,5.59654894217415E+00,4.77183754312826E+00,3.32872820573922E+00,2.69457078882023E+00,6.13339182755675E+00,6.01840472574236E+00,,
TJK,Tajikistan,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),2.95808502025439E+00,2.87649530705917E+00,2.49977370709363E+00,2.67803471192599E+00,2.74865423881317E+00,2.68269147848254E+00,2.31478931727491E+00,2.36183759935362E+00,2.36548160734232E+00,2.46725333545946E+00,2.78269663122795E+00,3.10554980452318E+00,3.37701482552900E+00,3.65115684287256E+00,3.72887210469404E+00,4.11986246677418E+00,4.24767645654314E+00,4.24806824837618E+00,4.77964080292510E+00,,,
TJK,Tajikistan,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",3.38056544403853E+02,3.47645274284270E+02,4.00036210142658E+02,3.73408154698943E+02,3.63814402655382E+02,3.72759971849483E+02,4.32004758505302E+02,4.23399136449381E+02,4.22746893020033E+02,4.05309007238114E+02,3.59363643444927E+02,3.22004174121927E+02,2.96119517285019E+02,2.73885796484504E+02,2.68177607577681E+02,2.42726549263425E+02,2.35422827098706E+02,2.35401114467087E+02,2.09220742987215E+02,,,
TJK,Tajikistan,EN.ATM.CO2E.KT,CO2 emissions (kt),,,2.12805120000000E+04,1.39598400000000E+04,5.21020800000000E+03,5.33478400000000E+03,5.74148800000000E+03,5.07464000000000E+03,5.44104000000000E+03,5.51798400000000E+03,4.26489600000000E+03,4.97204800000000E+03,4.64228800000000E+03,5.04532800000000E+03,5.42272000000000E+03,5.80011200000000E+03,6.38635200000000E+03,7.22174400000000E+03,,,,
TJK,Tajikistan,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,3.85584907178284E+00,2.48930709093315E+00,9.15381216459689E-01,9.23707501674342E-01,9.79720268503468E-01,8.53571993855191E-01,9.02676255326265E-01,9.03955068814148E-01,6.90916790367818E-01,7.97750276089207E-01,7.38534689806833E-01,7.96204474109966E-01,8.48477262201304E-01,8.98790684989246E-01,9.78806167518362E-01,1.09347034852083E+00,,,,
