Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
THA,Thailand,AG.LND.FRST.K2,Forest area (sq. km),1.95490000000000E+05,,,,,,,,,,1.90040000000000E+05,,,,,1.88980000000000E+05,,,,,1.89720000000000E+05,
THA,Thailand,AG.LND.FRST.ZS,Forest area (% of land area),3.82645970756914E+01,,,,,,,,,,3.71978312356867E+01,,,,,3.69903501732271E+01,,,,,3.71351954432461E+01,
THA,Thailand,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),7.95580000000000E+08,7.13560000000000E+08,7.37820000000000E+08,5.77610000000000E+08,5.76600000000000E+08,8.37040000000000E+08,8.25020000000000E+08,6.22970000000000E+08,6.97860000000000E+08,1.01326000000000E+09,6.96510000000000E+08,2.80300000000000E+08,2.92920000000000E+08,-9.43550000000000E+08,4.67000000000000E+07,-1.68750000000000E+08,-2.17760000000000E+08,-3.12070000000000E+08,-6.20530000000000E+08,-7.65900000000000E+07,,
THA,Thailand,DT.ODA.ODAT.CD,Net official development assistance received (current US$),7.95580000000000E+08,7.13560000000000E+08,7.37820000000000E+08,5.77610000000000E+08,5.76600000000000E+08,8.37040000000000E+08,8.25020000000000E+08,6.22970000000000E+08,6.97860000000000E+08,1.01326000000000E+09,6.96510000000000E+08,2.80300000000000E+08,2.92920000000000E+08,-9.43550000000000E+08,4.67000000000000E+07,-1.68750000000000E+08,-2.17760000000000E+08,-3.12070000000000E+08,-6.20530000000000E+08,-7.65900000000000E+07,,
THA,Thailand,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),9.44075694539677E-01,7.37232843504103E-01,6.77060704845818E-01,4.68851792439220E-01,4.05799910422685E-01,5.06433916324332E-01,4.63704136887204E-01,4.23910683723630E-01,6.46226079331121E-01,8.49436850512940E-01,5.76539343602173E-01,2.49087074644352E-01,2.39136734859867E-01,-6.89809701895190E-01,3.03041662818499E-02,-1.00567027096741E-01,-1.09578099237164E-01,-1.31143143380476E-01,-2.36065084551408E-01,-3.02215819518801E-02,,
THA,Thailand,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.39399213534581E+01,1.23642560855139E+01,1.26716654556664E+01,9.84486811982654E+00,9.75194112844808E+00,1.40324861173458E+01,1.36914343799647E+01,1.02237262527343E+01,1.13178019020738E+01,1.62358932390754E+01,1.10285754124189E+01,4.38661842565345E+00,4.53135393876246E+00,-1.44339299648371E+01,7.06928992524915E-01,-2.53004254984330E+00,-3.23679707929601E+00,-4.60304330679492E+00,-9.08961978691563E+00,-1.11474782407309E+00,,
THA,Thailand,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",1.69080623982785E+01,1.29730149350539E+01,1.37352033859250E+01,1.29521860684225E+01,1.33740939539920E+01,1.15887876515111E+01,1.26338500046522E+01,1.55069957574373E+01,1.84127632774684E+01,2.17847108716013E+01,1.62697905080205E+01,2.53818085542820E+01,2.32370032584153E+01,1.57303294902418E+01,1.10464613327772E+01,1.36555744450588E+01,9.37092056384470E+00,1.17623192967988E+01,7.91920425008746E+00,6.78361064480331E+00,,
THA,Thailand,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.14057094096237E+01,4.80548951307126E+00,4.85290202459681E+00,4.32620565806648E+00,4.48466294745713E+00,3.72727402772636E+00,2.90547446975628E+00,2.65070361863547E+00,3.46481029744699E+00,5.65503133068134E+00,5.75970441705526E+00,8.19092747113818E+00,1.06218003621929E+01,8.16327155382469E+00,4.25705065017491E+00,2.47027179261795E+00,2.09507221652127E+00,1.26167461305948E+00,1.37478502968617E+00,8.31510874966296E-01,,
THA,Thailand,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),5.34133582840176E+00,5.33664144921747E+00,5.41356009509853E+00,5.55516108363675E+00,5.61446260053357E+00,5.43641799742480E+00,5.23135618433945E+00,5.02008475485856E+00,4.79491993583518E+00,4.73100082423306E+00,4.80635778870658E+00,4.68554938867858E+00,4.62230332137001E+00,4.58265755294356E+00,4.51184217629428E+00,4.57897112949122E+00,4.68688584880483E+00,4.72875668797121E+00,4.69853925794791E+00,,,
THA,Thailand,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",1.87219083788488E+02,1.87383771144422E+02,1.84721326157514E+02,1.80012781797740E+02,1.78111436685849E+02,1.83944648934959E+02,1.91155020756108E+02,1.99199824073125E+02,2.08554055830302E+02,2.11371766176369E+02,2.08057752660379E+02,2.13422144779061E+02,2.16342358013755E+02,2.18213992306205E+02,2.21638958307121E+02,2.18389671330186E+02,2.13361287699167E+02,2.11472077331395E+02,2.12832104852254E+02,,,
THA,Thailand,EN.ATM.CO2E.KT,CO2 emissions (kt),9.57549760000000E+04,1.16053536000000E+05,1.26726768000000E+05,1.42438000000000E+05,1.58149232000000E+05,1.81313040000000E+05,2.02545920000000E+05,2.09892240000000E+05,1.86351040000000E+05,1.96786112000000E+05,2.01384432000000E+05,2.16908800000000E+05,2.30447280000000E+05,2.45473344000000E+05,2.63478240000000E+05,2.70209008000000E+05,2.78914672000000E+05,2.77284192000000E+05,,,,
THA,Thailand,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1.67779083768102E+00,2.01092499402069E+00,2.17646473174195E+00,2.42773380871497E+00,2.67475199440388E+00,3.03960708770641E+00,3.36130538969914E+00,3.44459733909049E+00,3.02221671247160E+00,3.15318704514611E+00,3.18873152603572E+00,3.39456346331209E+00,3.56492622526661E+00,3.75512167402931E+00,3.98844554080166E+00,4.05120170424266E+00,4.14580361729613E+00,4.08995143418348E+00,,,,
THA,Thailand,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),5.91119865503492E-01,6.38251106970998E-01,6.31529380437834E-01,6.41653000030087E-01,6.40637649808608E-01,6.57075283736579E-01,6.81052855609128E-01,7.02036923115675E-01,6.86845524844850E-01,6.84391137216329E-01,6.54463450187801E-01,6.74665962811353E-01,6.69705184844966E-01,6.51783928308981E-01,6.39722516671288E-01,6.06945225017749E-01,5.77360361527907E-01,5.30810484497612E-01,,,,
THA,Thailand,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),1.95000000000000E+01,,,,,,,,,,,,,,,2.60000000000000E+01,,,,,,
THA,Thailand,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,2.55278396437000E+01,,,,
THA,Thailand,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,3.85566790653153E+03,,,,,3.68432917112998E+03,,,,,3.47292420883577E+03,,,,,3.31138277429891E+03,,,,
THA,Thailand,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),4.00167497843713E+00,4.00205710926026E+00,4.01051300499442E+00,4.01088880770007E+00,4.01126462042865E+00,4.01164045229192E+00,4.01201630055637E+00,4.01239216977786E+00,4.06631180825310E+00,4.34571921326310E+00,4.34571921326310E+00,4.34571921326310E+00,4.34571921326310E+00,4.34571921326310E+00,4.34571921326310E+00,4.34571921326310E+00,4.34571921326310E+00,4.34571921326310E+00,4.34571921326310E+00,4.34571921326310E+00,,
THA,Thailand,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1.10777501662898E-01,2.14083777625053E-01,4.30364671131536E-01,7.04872513466024E-01,1.24695463250184E+00,2.17572939497879E+00,3.06120936777426E+00,3.61688707434264E+00,3.20620291962831E+00,3.74852109817681E+00,4.83888622709682E+00,1.18155437437330E+01,1.57349764972755E+01,3.33915978358176E+01,4.14449004935379E+01,4.66825309954951E+01,6.05311673786030E+01,7.81751835357872E+01,9.08185626462490E+01,1.20887335192634E+02,,
THA,Thailand,IT.MLT.MAIN.P2,Telephone lines (per 100 people),2.32078892266335E+00,2.69124782523919E+00,3.07427945080656E+00,3.77445811254136E+00,4.65244883486628E+00,5.83736435094379E+00,6.90389690762470E+00,7.92119940357521E+00,8.16983086206260E+00,8.35723400409357E+00,8.85295136195726E+00,9.46672163059386E+00,1.01434494051639E+01,1.01459092792279E+01,1.03111951379392E+01,1.05469595163056E+01,1.05113156871112E+01,1.03604965988559E+01,1.02888642585041E+01,1.02232520123898E+01,,
THA,Thailand,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,5.19826899721700E-05,3.43489345793455E-04,1.36353153440232E-02,3.88995223646039E-02,7.54398684985858E-02,1.16166930086244E-01,3.61047847504943E-01,1.08659720780521E+00,2.40351339820117E+00,3.64183191175480E+00,5.47740438451197E+00,7.42540588080698E+00,9.17848336484791E+00,1.05509530575988E+01,1.48564098526799E+01,1.69643483954837E+01,1.97886464587947E+01,2.35835299774937E+01,2.54509750965132E+01,,
