Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
TON,Tonga,AG.LND.FRST.K2,Forest area (sq. km),9.00000000000000E+01,,,,,,,,,,9.00000000000000E+01,,,,,9.00000000000000E+01,,,,,9.00000000000000E+01,
TON,Tonga,AG.LND.FRST.ZS,Forest area (% of land area),1.25000000000000E+01,,,,,,,,,,1.25000000000000E+01,,,,,1.25000000000000E+01,,,,,1.25000000000000E+01,
TON,Tonga,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.97500000000000E+07,1.92900000000000E+07,2.37000000000000E+07,3.12300000000000E+07,3.51600000000000E+07,3.88400000000000E+07,3.20000000000000E+07,2.75200000000000E+07,2.46800000000000E+07,2.11900000000000E+07,1.88200000000000E+07,2.02700000000000E+07,2.25900000000000E+07,2.78500000000000E+07,1.93600000000000E+07,3.19800000000000E+07,2.14900000000000E+07,3.08600000000000E+07,2.57100000000000E+07,3.95100000000000E+07,,
TON,Tonga,DT.ODA.ODAT.CD,Net official development assistance received (current US$),2.97500000000000E+07,1.92900000000000E+07,2.37000000000000E+07,3.12300000000000E+07,3.51600000000000E+07,3.88400000000000E+07,3.20000000000000E+07,2.75200000000000E+07,2.46800000000000E+07,2.11900000000000E+07,1.88200000000000E+07,2.02700000000000E+07,2.25900000000000E+07,2.78500000000000E+07,1.93600000000000E+07,3.19800000000000E+07,2.14900000000000E+07,3.08600000000000E+07,2.57100000000000E+07,3.95100000000000E+07,,
TON,Tonga,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),2.55354150244756E+01,1.43402559427569E+01,1.71025038033813E+01,2.23774766892224E+01,1.73542892304285E+01,1.88338219033689E+01,1.42476155319492E+01,1.26700802463333E+01,1.25557988823501E+01,1.05394209659835E+01,9.85087728812179E+00,1.22489168857586E+01,1.22619114918895E+01,1.32374663577909E+01,8.01160617585573E+00,1.23201270926307E+01,7.16043502940245E+00,9.88315904176809E+00,7.23182060589932E+00,1.18773678742080E+01,,
TON,Tonga,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.12664214398318E+02,2.02402812024553E+02,2.48359985748119E+02,3.26875372876566E+02,3.67432673919177E+02,4.04975653497659E+02,3.32654164414321E+02,2.85030709158890E+02,2.54522203659015E+02,2.17487247385329E+02,1.92168274876193E+02,2.05836955197205E+02,2.28059725601446E+02,2.79452934506668E+02,1.93047883054464E+02,3.16865822483800E+02,2.11549062844542E+02,3.01797484694975E+02,2.49829948498688E+02,3.81669065582164E+02,,
TON,Tonga,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.48637212537903E+00,4.35155382233232E+00,4.69386302647328E+00,4.45842656464398E+00,,,,,,,,8.30632459298540E+00,7.18670895465152E+00,6.91686870444939E+00,8.81741058512761E+00,8.22318930768454E+00,9.23632126104803E+00,9.15001319499761E+00,9.07893455698362E+00,7.69799743587580E+00,,
