Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
TTO,Trinidad and Tobago,AG.LND.FRST.K2,Forest area (sq. km),2.41000000000000E+03,,,,,,,,,,2.34000000000000E+03,,,,,2.30000000000000E+03,,,,,2.26000000000000E+03,
TTO,Trinidad and Tobago,AG.LND.FRST.ZS,Forest area (% of land area),4.69785575048733E+01,,,,,,,,,,4.56140350877193E+01,,,,,4.48343079922027E+01,,,,,4.40545808966862E+01,
TTO,Trinidad and Tobago,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.77800000000000E+07,-2.21000000000000E+06,7.46000000000000E+06,1.43000000000000E+06,2.10500000000000E+07,2.48600000000000E+07,1.65000000000000E+07,3.30300000000000E+07,1.37800000000000E+07,2.62000000000000E+07,-1.53000000000000E+06,-1.73000000000000E+06,-8.58000000000000E+06,-2.90000000000000E+06,-1.81000000000000E+06,-1.98000000000000E+06,1.38200000000000E+07,2.08000000000000E+07,9.29000000000000E+06,6.90000000000000E+06,,
TTO,Trinidad and Tobago,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.77800000000000E+07,-2.21000000000000E+06,7.46000000000000E+06,1.43000000000000E+06,2.10500000000000E+07,2.48600000000000E+07,1.65000000000000E+07,3.30300000000000E+07,1.37800000000000E+07,2.62000000000000E+07,-1.53000000000000E+06,-1.73000000000000E+06,-8.58000000000000E+06,-2.90000000000000E+06,-1.81000000000000E+06,-1.98000000000000E+06,1.38200000000000E+07,2.08000000000000E+07,9.29000000000000E+06,6.90000000000000E+06,,
TTO,Trinidad and Tobago,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.80453447559675E-01,-4.48865528074370E-02,1.46624756469252E-01,3.35716522110312E-02,4.64284537024169E-01,5.11124348584710E-01,3.14631035820548E-01,6.16658126539650E-01,2.41696857489242E-01,4.08801651454892E-01,-2.03305625758801E-02,-2.08789500677068E-02,-1.00652947341051E-01,-2.74763223301702E-02,-1.44945962760232E-02,-1.30083181591439E-02,7.92603556011469E-02,1.00121331405886E-01,3.58259332329038E-02,3.74840246810090E-02,,
