Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
TUN,Tunisia,AG.LND.FRST.K2,Forest area (sq. km),6.43000000000000E+03,,,,,,,,,,8.37000000000000E+03,,,,,9.24000000000000E+03,,,,,1.00600000000000E+04,
TUN,Tunisia,AG.LND.FRST.ZS,Forest area (% of land area),4.13877445932029E+00,,,,,,,,,,5.38748712667353E+00,,,,,5.94747682801236E+00,,,,,6.47528321318229E+00,
TUN,Tunisia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.91010000000000E+08,3.54460000000000E+08,3.87980000000000E+08,2.24360000000000E+08,1.04700000000000E+08,7.44100000000000E+07,1.25860000000000E+08,1.94200000000000E+08,1.49880000000000E+08,2.52290000000000E+08,2.21540000000000E+08,3.65350000000000E+08,2.20860000000000E+08,2.99730000000000E+08,3.52290000000000E+08,3.62380000000000E+08,4.31340000000000E+08,3.21160000000000E+08,3.31560000000000E+08,4.73850000000000E+08,,
