Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
TUR,Turkey,AG.LND.FRST.K2,Forest area (sq. km),9.68000000000000E+04,,,,,,,,,,1.01460000000000E+05,,,,,1.07400000000000E+05,,,,,1.13340000000000E+05,
TUR,Turkey,AG.LND.FRST.ZS,Forest area (% of land area),1.25774722918805E+01,,,,,,,,,,1.31829580447748E+01,,,,,1.39547574808674E+01,,,,,1.47265569169601E+01,
TUR,Turkey,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,1.00000000000000E+04,6.12000000000000E+06,1.03000000000000E+06,1.94000000000000E+06,,,7.90000000000000E+05,4.60000000000000E+05,3.70000000000000E+05,8.90000000000000E+05,4.30000000000000E+05,7.80000000000000E+05,1.13400000000000E+07,3.35800000000000E+07,8.05500000000000E+07,1.00840000000000E+08,1.95060000000000E+08,1.36700000000000E+08,,
TUR,Turkey,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,6.24001597444089E-06,3.48499515972894E-03,7.88064269319051E-04,1.13185530921820E-03,,,3.82470273829351E-04,2.48419028897614E-04,1.83881083606256E-04,6.00677618346989E-04,2.39024336012629E-04,4.50086555106751E-04,3.76942049314923E-03,9.28984424710211E-03,2.01539758752780E-02,1.53069433776674E-02,2.62957810275657E-02,2.21336731372984E-02,,
TUR,Turkey,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,1.04000000000000E+08,8.70200000000000E+07,7.30700000000000E+07,5.75400000000000E+07,1.06760000000000E+08,8.76000000000000E+07,7.67200000000000E+07,6.87900000000000E+07,1.20280000000000E+08,8.19100000000000E+07,6.41300000000000E+07,7.29700000000000E+07,6.66300000000000E+07,3.39150000000000E+08,6.01040000000000E+08,7.14210000000000E+08,6.02240000000000E+08,7.80360000000000E+08,7.07170000000000E+08,9.66820000000000E+08,
TUR,Turkey,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,7.00000000000000E-02,5.00000000000000E-02,4.00000000000000E-02,4.00000000000000E-02,6.00000000000000E-02,5.00000000000000E-02,4.00000000000000E-02,3.00000000000000E-02,6.00000000000000E-02,4.00000000000000E-02,4.00000000000000E-02,4.00000000000000E-02,4.00000000000000E-02,1.10000000000000E-01,1.70000000000000E-01,1.80000000000000E-01,9.00000000000000E-02,1.10000000000000E-01,1.10000000000000E-01,1.30000000000000E-01,
TUR,Turkey,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,1.67120000000000E+08,1.40320000000000E+08,1.11960000000000E+08,1.15690000000000E+08,1.75850000000000E+08,1.44330000000000E+08,1.29840000000000E+08,1.13870000000000E+08,2.07830000000000E+08,1.41300000000000E+08,1.42400000000000E+08,1.44850000000000E+08,1.06880000000000E+08,4.58800000000000E+08,7.13390000000000E+08,8.26510000000000E+08,5.97990000000000E+08,6.95600000000000E+08,7.07170000000000E+08,8.75360000000000E+08,
TUR,Turkey,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.20230000000000E+09,1.61003000000000E+09,2.56270000000000E+08,3.93810000000000E+08,1.47330000000000E+08,3.12740000000000E+08,2.45060000000000E+08,5.75000000000000E+06,2.79400000000000E+07,1.01000000000000E+07,3.26710000000000E+08,1.31620000000000E+08,2.79020000000000E+08,1.64530000000000E+08,2.85250000000000E+08,3.95930000000000E+08,5.65620000000000E+08,7.91890000000000E+08,1.11587000000000E+09,1.36216000000000E+09,,
TUR,Turkey,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.20230000000000E+09,1.61003000000000E+09,2.56270000000000E+08,3.93810000000000E+08,1.47330000000000E+08,3.12740000000000E+08,2.45060000000000E+08,5.75000000000000E+06,2.79400000000000E+07,1.01000000000000E+07,3.26710000000000E+08,1.31620000000000E+08,2.79020000000000E+08,1.64530000000000E+08,2.85250000000000E+08,3.95930000000000E+08,5.65620000000000E+08,7.91890000000000E+08,1.11587000000000E+09,1.36216000000000E+09,,
TUR,Turkey,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),8.11442172357607E-01,1.08508492296039E+00,1.63782191332813E-01,2.21642154155497E-01,1.15619889810600E-01,1.88079281984371E-01,1.37251180561047E-01,3.07780175764090E-03,1.04918436572323E-02,4.10211469876099E-03,1.24429888997288E-01,6.89090866544276E-02,1.22388701398742E-01,5.53138136748759E-02,7.37924283035343E-02,8.29796922502828E-02,1.07892488619135E-01,1.23723701094323E-01,1.54557877299452E-01,2.24643601728163E-01,,
TUR,Turkey,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),2.22112330942090E+01,2.92366578001950E+01,4.57526068157869E+00,6.91380061386249E+00,2.54406426189250E+00,5.31286613124967E+00,4.09648774903431E+00,9.45984810247868E-02,4.52523322847987E-01,1.61103502205108E-01,5.13470026699938E+00,2.03920017617500E+00,4.26335141256940E+00,2.48012369958001E+00,4.24252349491664E+00,5.81026546073147E+00,8.18984975834861E+00,1.13138854344837E+01,1.57333800689840E+01,1.89593850821251E+01,,
TUR,Turkey,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",3.37974133612642E+01,3.60681248367720E+01,3.58973014618728E+01,3.16227753850646E+01,3.41017452877231E+01,3.00793406882059E+01,2.33521647013504E+01,2.22971906116643E+01,2.64036149687268E+01,3.88887732062218E+01,3.88868544247871E+01,4.23622846953487E+01,4.85147089133814E+01,3.87201670956464E+01,3.45176895460243E+01,3.83104787556765E+01,3.35547885592261E+01,3.25003965228001E+01,2.98843495634562E+01,4.16022767501250E+01,,
TUR,Turkey,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",2.98757958012660E+01,3.05088708975363E+01,2.94933030422758E+01,2.54505219359077E+01,2.54579136331904E+01,2.40014552140793E+01,1.79876816401652E+01,1.63943681215842E+01,1.90696862079932E+01,1.84235532697776E+01,1.85642820884017E+01,2.47493417558237E+01,3.01271244170408E+01,2.03224381649760E+01,1.88938754700147E+01,1.96028580095972E+01,1.53809331219465E+01,1.17068821239830E+01,8.41474614774065E+00,8.32090671422491E+00,,
TUR,Turkey,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),8.29897447229977E+00,8.46578410043706E+00,8.62805879506931E+00,8.76446567206716E+00,8.45805937296362E+00,8.33198020793038E+00,8.22627630024886E+00,8.40452356221559E+00,8.45445366526385E+00,8.32154535901523E+00,8.19027083035979E+00,8.37595323980647E+00,8.43162143388622E+00,8.46675855262956E+00,8.91307593352228E+00,9.25874215539008E+00,8.97617383196942E+00,8.74041856671126E+00,8.93224884443050E+00,9.08669289034930E+00,,
