Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
TCA,Turks and Caicos Islands,AG.LND.FRST.K2,Forest area (sq. km),3.40000000000000E+02,,,,,,,,,,3.40000000000000E+02,,,,,3.40000000000000E+02,,,,,3.40000000000000E+02,
TCA,Turks and Caicos Islands,AG.LND.FRST.ZS,Forest area (% of land area),3.57894736842105E+01,,,,,,,,,,3.57894736842105E+01,,,,,3.57894736842105E+01,,,,,3.57894736842105E+01,
TCA,Turks and Caicos Islands,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.16000000000000E+07,1.75000000000000E+07,1.48000000000000E+07,1.09000000000000E+07,1.53200000000000E+07,5.55000000000000E+06,4.18000000000000E+06,4.20000000000000E+06,6.02000000000000E+06,7.38000000000000E+06,6.65000000000000E+06,6.67000000000000E+06,4.10000000000000E+06,2.20000000000000E+06,3.15000000000000E+06,5.20000000000000E+06,-4.20000000000000E+05,1.53900000000000E+07,,,,
TCA,Turks and Caicos Islands,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.16000000000000E+07,1.75000000000000E+07,1.48000000000000E+07,1.09000000000000E+07,1.53200000000000E+07,5.55000000000000E+06,4.18000000000000E+06,4.20000000000000E+06,6.02000000000000E+06,7.38000000000000E+06,6.65000000000000E+06,6.67000000000000E+06,4.10000000000000E+06,2.20000000000000E+06,3.15000000000000E+06,5.20000000000000E+06,-4.20000000000000E+05,1.53900000000000E+07,,,,
TCA,Turks and Caicos Islands,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),1.00441596675037E+03,1.43254747871644E+03,1.13802383698577E+03,7.87117273252455E+02,1.04616225075116E+03,3.61964390530229E+02,2.63572734724762E+02,2.58064516129032E+02,3.59124261766987E+02,4.19962442383202E+02,3.52355216446776E+02,3.21786954843690E+02,1.77920499913209E+02,8.58536585365854E+01,1.11737788655954E+02,1.70318692476499E+02,-1.28873887695612E+01,4.47331705615626E+02,,,,
TCA,Turks and Caicos Islands,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,1.09920000000000E+01,1.09920000000000E+01,1.09920000000000E+01,1.46560000000000E+01,1.46560000000000E+01,1.46560000000000E+01,1.46560000000000E+01,9.89280000000000E+01,1.02592000000000E+02,1.02592000000000E+02,1.20912000000000E+02,1.42896000000000E+02,1.57552000000000E+02,,,,
TCA,Turks and Caicos Islands,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,7.16885149677167E-01,6.93108014376695E-01,6.75391705069124E-01,8.74306508381555E-01,8.34006714846640E-01,7.76559105600593E-01,7.07062910073331E-01,4.29300468668634E+00,4.00359024390244E+00,3.63917562342592E+00,3.96030264321509E+00,4.38465787051243E+00,4.57946750377863E+00,,,,
TCA,Turks and Caicos Islands,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),2.95401162848174E-01,2.95586352910569E-01,9.51123781721167E-01,9.51536653245136E-01,9.51949928729329E-01,9.52363520383966E-01,9.52777372227158E-01,9.53191481714273E-01,9.53605850753784E-01,9.53605850753784E-01,9.53605850753784E-01,9.53605850753784E-01,9.53605850753784E-01,9.53605850117626E-01,9.53605850117626E-01,9.53605850117626E-01,9.53605850117626E-01,9.53605850753784E-01,9.53605850117626E-01,9.53605855206889E-01,,
TCA,Turks and Caicos Islands,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),,,,,,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,IT.MLT.MAIN.P2,Telephone lines (per 100 people),,,,,,,,,,,,,,,,,,,,,,
