Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
TUV,Tuvalu,AG.LND.FRST.K2,Forest area (sq. km),1.00000000000000E+01,,,,,,,,,,1.00000000000000E+01,,,,,1.00000000000000E+01,,,,,1.00000000000000E+01,
TUV,Tuvalu,AG.LND.FRST.ZS,Forest area (% of land area),3.33333333333333E+01,,,,,,,,,,3.33333333333333E+01,,,,,3.33333333333333E+01,,,,,3.33333333333333E+01,
TUV,Tuvalu,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.06000000000000E+06,5.01000000000000E+06,8.06000000000000E+06,4.25000000000000E+06,7.37000000000000E+06,7.85000000000000E+06,1.03400000000000E+07,1.01300000000000E+07,5.19000000000000E+06,6.78000000000000E+06,4.03000000000000E+06,9.51000000000000E+06,1.17100000000000E+07,6.24000000000000E+06,8.00000000000000E+06,9.20000000000000E+06,1.53400000000000E+07,1.17400000000000E+07,1.61200000000000E+07,1.75000000000000E+07,,
TUV,Tuvalu,DT.ODA.ODAT.CD,Net official development assistance received (current US$),5.06000000000000E+06,5.01000000000000E+06,8.06000000000000E+06,4.25000000000000E+06,7.37000000000000E+06,7.85000000000000E+06,1.03400000000000E+07,1.01300000000000E+07,5.19000000000000E+06,6.78000000000000E+06,4.03000000000000E+06,9.51000000000000E+06,1.17100000000000E+07,6.24000000000000E+06,8.00000000000000E+06,9.20000000000000E+06,1.53400000000000E+07,1.17400000000000E+07,1.61200000000000E+07,1.75000000000000E+07,,
TUV,Tuvalu,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,,5.68658823529412E+01,4.02761871388630E+01,4.33613432887896E+01,4.36616972477064E+01,,
TUV,Tuvalu,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),5.61972456685917E+02,5.53224381625442E+02,8.85422388223663E+02,4.64582422387407E+02,8.02133217239878E+02,8.50764061991980E+02,1.11614853195164E+03,1.08948160894816E+03,5.56031712020570E+02,7.23277149562620E+02,4.27858583713770E+02,1.00411783338613E+03,1.22875131164743E+03,6.50677789363921E+02,8.29359319925358E+02,9.49040643697132E+02,1.57624332100288E+03,1.20262241343987E+03,1.64725117514817E+03,1.78462166020804E+03,,
TUV,Tuvalu,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.88673079829057E-01,1.88708784580847E-01,1.88744489438194E-01,1.88744489438194E-01,1.88744489438194E-01,1.88744489438194E-01,1.88744489438194E-01,1.88744489438194E-01,1.88744489438194E-01,1.88744489438194E-01,1.88744489438194E-01,1.88744489438194E-01,1.88744489438194E-01,1.88744489438194E-01,,
TUV,Tuvalu,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.18349574953348E+00,1.34103569218073E+01,1.64406083025072E+01,1.84388444990781E+01,2.04373594931535E+01,2.03956761166633E+01,,
TUV,Tuvalu,IT.MLT.MAIN.P2,Telephone lines (per 100 people),1.33274100399822E+00,1.32508833922261E+00,1.38415906843898E+00,1.63970266724967E+00,5.36569438397910E+00,5.46223041075106E+00,5.44041450777202E+00,5.46354054635405E+00,6.42811227769445E+00,6.72071687646682E+00,7.00711328166472E+00,6.86305564354345E+00,6.92549842602309E+00,7.29927007299270E+00,7.77524362430023E+00,9.18093666185269E+00,1.13029182079737E+01,1.33169432493342E+01,1.53280196198651E+01,1.73363246991638E+01,,
TUV,Tuvalu,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,,,,,,,5.30841915277630E+00,1.05585471439130E+01,1.31164742917104E+01,1.56412930135558E+01,2.07339829981339E+01,2.57891479265525E+01,3.08261405672010E+01,4.09752099979512E+01,4.34293889229512E+01,4.38507036508260E+01,,
TUV,Tuvalu,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,NE.TRD.GNFS.ZS,Trade (% of GDP),,,,,,,,,,,,,,,,,,,,,,
