Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
UKR,Ukraine,AG.LND.FRST.K2,Forest area (sq. km),9.27400000000000E+04,,,,,,,,,,9.51000000000000E+04,,,,,9.57500000000000E+04,,,,,9.70500000000000E+04,
UKR,Ukraine,AG.LND.FRST.ZS,Forest area (% of land area),1.60075947182187E+01,,,,,,,,,,1.64149477863122E+01,,,,,1.65262867202872E+01,,,,,1.67523993647725E+01,
UKR,Ukraine,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),2.89000000000000E+08,3.68300000000000E+08,5.57600000000000E+08,3.27880000000000E+08,2.89910000000000E+08,3.19220000000000E+08,3.97620000000000E+08,2.67300000000000E+08,4.63760000000000E+08,5.68560000000000E+08,5.38720000000000E+08,5.12460000000000E+08,4.75530000000000E+08,3.28210000000000E+08,3.65880000000000E+08,4.11700000000000E+08,4.83430000000000E+08,4.20240000000000E+08,6.17570000000000E+08,6.67990000000000E+08,,
UKR,Ukraine,DT.ODA.ODAT.CD,Net official development assistance received (current US$),,,,,,,,,,,,,,,,4.11700000000000E+08,4.83430000000000E+08,4.20240000000000E+08,6.17570000000000E+08,6.67990000000000E+08,,
UKR,Ukraine,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),,,,,,,,,,,,,,,,4.83459859602785E-01,4.55932400908458E-01,2.98886196787604E-01,3.45368798464276E-01,5.81934818677100E-01,,
UKR,Ukraine,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,,,,,,,,,,,,,,8.74002099558116E+00,1.03324053838879E+01,9.03560251863335E+00,1.33504978576771E+01,1.45047151887053E+01,,
UKR,Ukraine,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",,,,,1.96658681200216E+00,6.55710907308069E+00,6.14743251173709E+00,6.61157314873495E+00,1.14023051344192E+01,1.63289461412917E+01,1.86152402745995E+01,1.12983155319249E+01,1.48050263650281E+01,1.34458177834081E+01,1.09464563339731E+01,1.29390796703297E+01,1.81091815167439E+01,1.74681836321445E+01,1.96878513912843E+01,3.61575352005027E+01,,
UKR,Ukraine,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",,,,,1.52996945559082E+00,6.21474303512718E+00,5.61878423317684E+00,5.85232291717448E+00,8.55475962351350E+00,1.13407670785731E+01,1.38818001525553E+01,6.66337458241189E+00,5.87297159380847E+00,5.47592700380046E+00,4.46895153550864E+00,4.60509571074087E+00,4.44805219987978E+00,3.16210443856512E+00,1.84825938416583E+00,4.64974098544423E+00,,
UKR,Ukraine,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),1.66186583018103E+00,1.51855754219521E+00,1.57591375785445E+00,1.52592520716708E+00,1.37982848708454E+00,1.22596252904785E+00,1.20343120668095E+00,1.22112740797500E+00,1.26744453659256E+00,1.27085654439254E+00,1.35864240970546E+00,1.48022990249821E+00,1.53996481649184E+00,1.57970018099474E+00,1.78001377526449E+00,1.84067617283238E+00,2.05492060184381E+00,2.21709790443243E+00,2.28359279771094E+00,,,
