Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,United Kingdom,AG.LND.FRST.K2,Forest area (sq. km),2.61100000000000E+04,,,,,,,,,,2.79300000000000E+04,,,,,2.84500000000000E+04,,,,,2.88100000000000E+04,
GBR,United Kingdom,AG.LND.FRST.ZS,Forest area (% of land area),1.07923779605671E+01,,,,,,,,,,1.15446616789981E+01,,,,,1.17595998842640E+01,,,,,1.19084032571405E+01,
GBR,United Kingdom,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,2.24345000000000E+09,1.71089000000000E+09,1.63000000000000E+09,1.57406000000000E+09,7.12030000000000E+08,9.09280000000000E+08,9.74120000000000E+08,1.57445000000000E+09,1.36610000000000E+09,1.67132000000000E+09,1.02714000000000E+09,1.94569000000000E+09,1.72894000000000E+09,2.98303000000000E+09,5.63069000000000E+09,6.31135000000000E+09,5.85199000000000E+09,6.24295000000000E+09,9.02214000000000E+09,,
GBR,United Kingdom,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,8.38866792890000E+08,1.53862274038000E+09,1.02306065128000E+09,1.99266683849000E+09,2.28886394481000E+09,2.88550187484999E+09,1.83581378438000E+09,2.15891477309000E+09,2.56101020262000E+09,3.03839841357999E+09,3.59480212043000E+09,4.83216183206000E+09,4.54673194590000E+09,6.11031806855999E+09,8.20239333016000E+09,,
GBR,United Kingdom,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,1.25067866120000E+08,4.42947877650000E+08,1.25723587200000E+08,5.12357029530000E+08,4.34813331220000E+08,9.33750361770000E+08,4.14619124950000E+08,6.33607524370000E+08,5.85570751150000E+08,1.21700718340000E+09,8.85999485460000E+08,1.71787819900000E+09,1.47543966067000E+09,1.13286464158000E+09,1.65637824117000E+09,,
GBR,United Kingdom,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,1.49091449536494E+01,2.87885955423097E+01,1.22889671343240E+01,2.57121270667731E+01,1.89969059631500E+01,3.23600677548873E+01,2.25850316888228E+01,2.93484269165074E+01,2.28648347652400E+01,4.00542331104650E+01,2.46466830656598E+01,3.55509243834172E+01,3.24505530175464E+01,1.85401910157351E+01,2.01938406815915E+01,,
GBR,United Kingdom,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",4.72870000000000E+08,5.75940000000000E+08,5.95390000000000E+08,4.15290000000000E+08,5.73720000000000E+08,5.60800000000000E+08,5.66480000000000E+08,5.58780000000000E+08,6.86900000000000E+08,6.31370000000000E+08,1.01533000000000E+09,1.07198000000000E+09,8.61800000000000E+08,1.36413000000000E+09,2.20199000000000E+09,1.75130000000000E+09,2.15103000000000E+09,2.31810000000000E+09,2.57284000000000E+09,2.56455000000000E+09,,
GBR,United Kingdom,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),4.90670006381294E-02,5.74409199483377E-02,5.72312637517386E-02,4.44021375509131E-02,5.51756966347643E-02,5.00667795133309E-02,4.85588693141685E-02,4.27233936201261E-02,4.87837204328770E-02,4.35190143463312E-02,7.16140317909931E-02,7.48941618157120E-02,5.40302043512860E-02,7.45652447422013E-02,1.01029182347615E-01,7.68522737501951E-02,8.87554103889577E-02,8.36309689926520E-02,9.62854274847465E-02,1.15366690701788E-01,,
GBR,United Kingdom,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",2.63814000000000E+09,3.20085000000000E+09,3.24310000000000E+09,2.92018000000000E+09,3.19698000000000E+09,3.20221000000000E+09,3.19865000000000E+09,3.43310000000000E+09,3.86351000000000E+09,3.42625000000000E+09,4.50126000000000E+09,4.56620000000000E+09,4.92904000000000E+09,6.26175000000000E+09,7.90470000000000E+09,1.07717000000000E+10,1.24590200000000E+10,9.84853000000000E+09,1.14998700000000E+10,1.12826100000000E+10,1.37630700000000E+10,
GBR,United Kingdom,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",2.70000000000000E-01,3.20000000000000E-01,3.10000000000000E-01,3.10000000000000E-01,3.10000000000000E-01,2.90000000000000E-01,2.70000000000000E-01,2.60000000000000E-01,2.70000000000000E-01,2.40000000000000E-01,3.20000000000000E-01,3.20000000000000E-01,3.10000000000000E-01,3.40000000000000E-01,3.60000000000000E-01,4.70000000000000E-01,5.10000000000000E-01,3.60000000000000E-01,4.30000000000000E-01,5.10000000000000E-01,5.60000000000000E-01,
