Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
USA,United States,AG.LND.FRST.K2,Forest area (sq. km),2.96335000000000E+06,,,,,,,,,,3.00195000000000E+06,,,,,3.02108000000000E+06,,,,,3.04022000000000E+06,
USA,United States,AG.LND.FRST.ZS,Forest area (% of land area),3.23546559871426E+01,,,,,,,,,,3.27655120324124E+01,,,,,3.29743110614369E+01,,,,,3.32358194988314E+01,
USA,United States,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),1.98713000000000E+10,1.61809000000000E+10,8.84810000000000E+09,8.84810000000000E+09,,5.98900000000000E+09,5.15800000000000E+09,,,,,,,,,,1.21994800000000E+10,2.25833100000000E+10,2.92094200000000E+10,2.74783000000000E+10,,
USA,United States,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,3.85126400000000E+09,2.41287600000000E+09,2.86015900000000E+09,3.19903400000000E+09,5.72673945200001E+09,6.75831500000000E+09,5.66618700000001E+09,7.32174800000000E+09,1.06602810000000E+10,1.81353610000001E+10,1.68965560000001E+10,1.68604640000000E+10,1.86205407930000E+10,2.32644523030000E+10,2.17664939010000E+10,,
USA,United States,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,9.65319000000000E+08,4.91931000000000E+08,7.58253000000000E+08,7.30422000000000E+08,1.04104830600000E+09,1.25437400000000E+09,1.43912500000000E+09,1.94192200000000E+09,2.40373500000000E+09,3.10038400000000E+09,3.97318300000000E+09,4.49150800000000E+09,5.88926057700000E+09,7.21657868800000E+09,6.88939951000000E+09,,
USA,United States,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,2.50649916494948E+01,2.03877447494194E+01,2.65108688013499E+01,2.28325800851132E+01,1.81787265637941E+01,1.85604547879168E+01,2.53984734354866E+01,2.65226555188734E+01,2.25485144340942E+01,1.70957942331558E+01,2.35147505799405E+01,2.66392905912910E+01,3.16277633526839E+01,3.10197660964037E+01,3.16513975164530E+01,,
USA,United States,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",1.09300000000000E+09,1.01100000000000E+09,1.15500000000000E+09,1.42300000000000E+09,1.96400000000000E+09,1.26200000000000E+09,6.00000000000000E+08,7.29000000000000E+08,6.30520000000000E+08,1.03568000000000E+09,1.04347000000000E+09,9.88140000000000E+08,2.08124000000000E+09,4.23291000000000E+09,3.42683000000000E+09,4.64894000000000E+09,5.30818000000000E+09,4.80074000000000E+09,7.02726000000000E+09,8.03338000000000E+09,,
USA,United States,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),2.00885882850264E-02,1.79334811529933E-02,1.93441414885777E-02,2.16920731707317E-02,2.83716630070496E-02,1.74369602763385E-02,7.85576809772576E-03,9.04455279711170E-03,7.20594285714286E-03,1.11373021335169E-02,1.05098453945712E-02,9.72684050438532E-03,1.98398505271587E-02,3.85480736481478E-02,2.93994308564350E-02,3.76167396247178E-02,4.00318252777170E-02,3.44744533409931E-02,4.87655357626142E-02,5.73362358147170E-02,,
USA,United States,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",1.13940000000000E+10,1.12620000000000E+10,1.17090000000000E+10,1.01230000000000E+10,9.92700000000000E+09,7.36700000000000E+09,9.37700000000000E+09,6.87800000000000E+09,8.78598000000000E+09,9.14526000000000E+09,9.95489000000000E+09,1.14293500000000E+10,1.32900700000000E+10,1.63195200000000E+10,1.97049100000000E+10,2.79347400000000E+10,2.35321400000000E+10,2.17869000000000E+10,2.64367800000000E+10,2.88313400000000E+10,3.01542900000000E+10,
USA,United States,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",2.10000000000000E-01,2.00000000000000E-01,2.00000000000000E-01,1.50000000000000E-01,1.40000000000000E-01,1.00000000000000E-01,1.20000000000000E-01,9.00000000000000E-02,1.00000000000000E-01,1.00000000000000E-01,1.00000000000000E-01,1.10000000000000E-01,1.30000000000000E-01,1.50000000000000E-01,1.70000000000000E-01,2.30000000000000E-01,1.80000000000000E-01,1.60000000000000E-01,1.90000000000000E-01,2.10000000000000E-01,2.10000000000000E-01,
