Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
UMC,Upper middle income,AG.LND.FRST.K2,Forest area (sq. km),2.03837200000000E+07,,,,,,,,,,2.01403500000000E+07,,,,,2.00782000000000E+07,,,,,2.00557800000000E+07,
UMC,Upper middle income,AG.LND.FRST.ZS,Forest area (% of land area),3.51867345293408E+01,,,,,,,,,,3.47890140828284E+01,,,,,3.46830654425165E+01,,,,,3.46472757727787E+01,
UMC,Upper middle income,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),9.65936000000000E+09,1.14358800000000E+10,1.13485600000000E+10,1.20733200000000E+10,1.16179200000000E+10,1.35477400000000E+10,1.12353500000000E+10,9.67720000000000E+09,1.14157200000000E+10,1.31255200000000E+10,1.16234600000000E+10,1.13577400000000E+10,1.24828700000000E+10,1.21798600000000E+10,1.35350400000000E+10,1.02526900000000E+10,1.12678300000000E+10,1.11514100000000E+10,1.36779200000000E+10,1.32222600000000E+10,,
UMC,Upper middle income,DT.ODA.ODAT.CD,Net official development assistance received (current US$),9.14832000000000E+09,1.00413300000000E+10,8.58093000000000E+09,9.08916000000000E+09,9.21654000000000E+09,1.10609300000000E+10,9.30382000000000E+09,8.20775000000000E+09,9.46811000000000E+09,1.02656800000000E+10,9.09556000000000E+09,8.95621000000000E+09,1.01850500000000E+10,9.35931000000000E+09,1.01739500000000E+10,1.02526900000000E+10,1.12678300000000E+10,1.11514100000000E+10,1.36779200000000E+10,1.32222600000000E+10,,
UMC,Upper middle income,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.50537645117985E-01,3.73523594372974E-01,3.03955101982813E-01,3.05333139792992E-01,2.83602498284485E-01,2.99720395604220E-01,2.32120407031455E-01,1.92345709232945E-01,2.25747157784603E-01,2.60694443849072E-01,2.09232411149714E-01,2.03820106880426E-01,2.30316360673163E-01,1.85284308690716E-01,1.67403492969213E-01,1.40439235697913E-01,1.29765912376929E-01,1.03317420679421E-01,1.04073657219497E-01,1.04798290620574E-01,,
UMC,Upper middle income,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),4.49297134287450E+00,4.86374980734363E+00,4.10544425600501E+00,4.29794461415168E+00,4.30848229169104E+00,5.11316504365807E+00,4.25408560904930E+00,3.71251344591678E+00,4.23807761482077E+00,4.55010731319502E+00,3.99321986823348E+00,3.89803283220292E+00,4.39745689075755E+00,4.00998338217530E+00,4.32676384602370E+00,4.32842745089670E+00,4.72334148862738E+00,4.64235300246394E+00,5.65506147516006E+00,5.42952799580880E+00,,
UMC,Upper middle income,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",1.82388469965171E+01,1.72867075658139E+01,1.75907230617879E+01,1.76877428331287E+01,1.60808058168425E+01,1.67238765366461E+01,1.87762017384295E+01,2.04177179123672E+01,2.09686720378446E+01,2.50481608801449E+01,2.23018518527035E+01,2.09169758599788E+01,1.93827908796869E+01,1.76721296255283E+01,1.38996151849828E+01,1.33137181091475E+01,1.25770412651010E+01,9.84103194903865E+00,9.22985809731502E+00,1.16924341051012E+01,,
