Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
VUT,Vanuatu,AG.LND.FRST.K2,Forest area (sq. km),4.40000000000000E+03,,,,,,,,,,4.40000000000000E+03,,,,,4.40000000000000E+03,,,,,4.40000000000000E+03,
VUT,Vanuatu,AG.LND.FRST.ZS,Forest area (% of land area),3.60951599671862E+01,,,,,,,,,,3.60951599671862E+01,,,,,3.60951599671862E+01,,,,,3.60951599671862E+01,
VUT,Vanuatu,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.95300000000000E+07,5.22400000000000E+07,3.98300000000000E+07,3.49800000000000E+07,4.17200000000000E+07,4.55800000000000E+07,3.10700000000000E+07,2.71600000000000E+07,4.06400000000000E+07,3.72100000000000E+07,4.58000000000000E+07,3.17100000000000E+07,2.74800000000000E+07,3.28100000000000E+07,3.87400000000000E+07,3.94800000000000E+07,4.87900000000000E+07,5.66900000000000E+07,9.22700000000000E+07,1.03310000000000E+08,,
VUT,Vanuatu,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.95300000000000E+07,5.22400000000000E+07,3.98300000000000E+07,3.49800000000000E+07,4.17200000000000E+07,4.55800000000000E+07,3.10700000000000E+07,2.71600000000000E+07,4.06400000000000E+07,3.72100000000000E+07,4.58000000000000E+07,3.17100000000000E+07,2.74800000000000E+07,3.28100000000000E+07,3.87400000000000E+07,3.94800000000000E+07,4.87900000000000E+07,5.66900000000000E+07,9.22700000000000E+07,1.03310000000000E+08,,
VUT,Vanuatu,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.04564001432631E+01,3.02554759577915E+01,2.28181841545278E+01,1.93243517170780E+01,2.18757497165244E+01,2.10202363780325E+01,1.40621839774432E+01,1.19115830319782E+01,1.54669981796544E+01,1.36886009641683E+01,1.71038179221749E+01,1.20568567615833E+01,1.05640754800527E+01,1.05992409288975E+01,1.08315930106169E+01,1.03776731549931E+01,1.13922860826025E+01,1.09680787126508E+01,1.50476970803388E+01,1.73978205292691E+01,,
VUT,Vanuatu,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.37775171172154E+02,3.46439774257084E+02,2.56520899079024E+02,2.18820570885229E+02,2.53996858523993E+02,2.70885459072999E+02,1.80867722650088E+02,1.55270093356429E+02,2.28383891742439E+02,2.05309011857271E+02,2.47468580135513E+02,1.67296247836914E+02,1.41245406183341E+02,1.64076252200352E+02,1.88459873224979E+02,1.86958374769143E+02,2.25087654548810E+02,2.54927443035925E+02,4.04620221802220E+02,4.41892296505411E+02,,
VUT,Vanuatu,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.28590056284059E+00,1.49481126899128E+00,1.42598699623966E+00,1.51284716285917E+00,1.40563203720233E+00,1.30810911960240E+00,1.18115516988016E+00,1.39547934274336E+00,8.42240221043393E-01,1.00025091240157E+00,1.06466464066138E+00,9.77096052752047E-01,1.39795401533225E+00,1.34008841376314E+00,1.84359902130177E+00,1.28683969282649E+00,1.66998581686019E+00,1.48857709988853E+00,,,,
VUT,Vanuatu,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.60079187823562E+00,1.12347066929876E+00,1.35952954634833E+00,1.38052241101640E+00,1.19359452059104E+00,1.06421058891208E+00,9.64958372464634E-01,8.29490825045072E-01,5.32253144614333E-01,8.30548900018893E-01,8.72330782540832E-01,9.36170563631542E-01,1.15578875283375E+00,1.10818571179674E+00,1.28913315023357E+00,8.85099386140816E-01,1.45125296932372E+00,1.18280686292692E+00,,,,
