Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
VEN,"Venezuela, RB",AG.LND.FRST.K2,Forest area (sq. km),5.20260000000000E+05,,,,,,,,,,4.91510000000000E+05,,,,,4.77130000000000E+05,,,,,4.62750000000000E+05,
VEN,"Venezuela, RB",AG.LND.FRST.ZS,Forest area (% of land area),5.89830508474576E+01,,,,,,,,,,5.57235984354628E+01,,,,,5.40933053681764E+01,,,,,5.24630123008900E+01,
VEN,"Venezuela, RB",DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),7.63600000000000E+07,2.81100000000000E+07,3.33900000000000E+07,4.07500000000000E+07,2.62000000000000E+07,4.33200000000000E+07,3.77800000000000E+07,8.92000000000000E+06,4.22800000000000E+07,4.42300000000000E+07,7.60600000000000E+07,4.46800000000000E+07,5.65300000000000E+07,8.11100000000000E+07,4.49100000000000E+07,5.03000000000000E+07,6.29300000000000E+07,7.77600000000000E+07,5.92200000000000E+07,6.68100000000000E+07,,
VEN,"Venezuela, RB",DT.ODA.ODAT.CD,Net official development assistance received (current US$),7.63600000000000E+07,2.81100000000000E+07,3.33900000000000E+07,4.07500000000000E+07,2.62000000000000E+07,4.33200000000000E+07,3.77800000000000E+07,8.92000000000000E+06,4.22800000000000E+07,4.42300000000000E+07,7.60600000000000E+07,4.46800000000000E+07,5.65300000000000E+07,8.11100000000000E+07,4.49100000000000E+07,5.03000000000000E+07,6.29300000000000E+07,7.77600000000000E+07,5.92200000000000E+07,6.68100000000000E+07,,
