Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
VNM,Vietnam,AG.LND.FRST.K2,Forest area (sq. km),9.36300000000000E+04,,,,,,,,,,1.17250000000000E+05,,,,,1.30770000000000E+05,,,,,1.37970000000000E+05,
VNM,Vietnam,AG.LND.FRST.ZS,Forest area (% of land area),2.87658607023257E+01,,,,,,,,,,3.76936925352022E+01,,,,,4.21743477279324E+01,,,,,4.44964040377979E+01,
VNM,Vietnam,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),1.80550000000000E+08,2.27300000000000E+08,5.65220000000000E+08,2.51610000000000E+08,9.03300000000000E+08,8.34800000000000E+08,9.36000000000000E+08,9.98250000000000E+08,1.17733000000000E+09,1.42858000000000E+09,1.68136000000000E+09,1.43193000000000E+09,1.28021000000000E+09,1.77172000000000E+09,1.84629000000000E+09,1.91343000000000E+09,1.84451000000000E+09,2.51092000000000E+09,2.55176000000000E+09,3.74428000000000E+09,,
VNM,Vietnam,DT.ODA.ODAT.CD,Net official development assistance received (current US$),1.80550000000000E+08,2.27300000000000E+08,5.65220000000000E+08,2.51610000000000E+08,9.03300000000000E+08,8.34800000000000E+08,9.36000000000000E+08,9.98250000000000E+08,1.17733000000000E+09,1.42858000000000E+09,1.68136000000000E+09,1.43193000000000E+09,1.28021000000000E+09,1.77172000000000E+09,1.84629000000000E+09,1.91343000000000E+09,1.84451000000000E+09,2.51092000000000E+09,2.55176000000000E+09,3.74428000000000E+09,,
