Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
WLD,World,AG.LND.FRST.K2,Forest area (sq. km),4.15819700000000E+07,,,,,,,,,,4.07377226000000E+07,,,,,4.04895528000000E+07,,,,,4.02043200000000E+07,
WLD,World,AG.LND.FRST.ZS,Forest area (% of land area),3.21020465675486E+01,,,,,,,,,,3.14472474929511E+01,,,,,3.12569687637301E+01,,,,,3.11409631524876E+01,
WLD,World,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
WLD,World,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
WLD,World,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
WLD,World,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
WLD,World,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
WLD,World,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
WLD,World,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
WLD,World,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
WLD,World,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
WLD,World,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
WLD,World,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
WLD,World,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
WLD,World,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
WLD,World,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
WLD,World,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
WLD,World,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),5.92311900000000E+10,6.75175300000000E+10,6.64488900000000E+10,6.18241100000000E+10,6.67709400000000E+10,6.74094500000000E+10,6.17104500000000E+10,5.43298100000000E+10,5.80607800000000E+10,6.05077500000000E+10,5.75016400000000E+10,5.86087000000000E+10,6.82646000000000E+10,7.84000900000000E+10,8.87939400000000E+10,1.08441000000000E+11,1.06548500000000E+11,1.06774800000000E+11,1.26889600000000E+11,1.27635900000000E+11,,
