Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
YEM,"Yemen, Rep.",AG.LND.FRST.K2,Forest area (sq. km),5.49000000000000E+03,,,,,,,,,,5.49000000000000E+03,,,,,5.49000000000000E+03,,,,,5.49000000000000E+03,
YEM,"Yemen, Rep.",AG.LND.FRST.ZS,Forest area (% of land area),1.03983180862549E+00,,,,,,,,,,1.03983180862549E+00,,,,,1.03983180862549E+00,,,,,1.03983180862549E+00,
YEM,"Yemen, Rep.",DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
YEM,"Yemen, Rep.",DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
YEM,"Yemen, Rep.",DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
YEM,"Yemen, Rep.",DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
YEM,"Yemen, Rep.",DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
YEM,"Yemen, Rep.",DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
YEM,"Yemen, Rep.",DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
YEM,"Yemen, Rep.",DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
YEM,"Yemen, Rep.",DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
YEM,"Yemen, Rep.",DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
YEM,"Yemen, Rep.",DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
YEM,"Yemen, Rep.",DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
