Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ZMB,Zambia,AG.LND.FRST.K2,Forest area (sq. km),5.28000000000000E+05,,,,,,,,,,5.11340000000000E+05,,,,,5.03010000000000E+05,,,,,4.94680000000000E+05,
ZMB,Zambia,AG.LND.FRST.ZS,Forest area (% of land area),7.10259755982728E+01,,,,,,,,,,6.87848908379182E+01,,,,,6.76643484577409E+01,,,,,6.65438060775636E+01,
ZMB,Zambia,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,3.67198123769272E+09
ZMB,Zambia,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,1.96199118908703E+09
ZMB,Zambia,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00,2.00000000000000E+00
ZMB,Zambia,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,5.63397242677975E+09
ZMB,Zambia,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),4.74810000000000E+08,8.77970000000000E+08,1.03078000000000E+09,8.66920000000000E+08,7.15130000000000E+08,2.03067000000000E+09,6.08060000000000E+08,6.09510000000000E+08,3.47970000000000E+08,6.23030000000000E+08,7.94650000000000E+08,5.70840000000000E+08,8.11330000000000E+08,7.74540000000000E+08,1.13047000000000E+09,1.17205000000000E+09,1.44864000000000E+09,1.00848000000000E+09,1.11624000000000E+09,1.26869000000000E+09,,
ZMB,Zambia,DT.ODA.ODAT.CD,Net official development assistance received (current US$),4.74810000000000E+08,8.77970000000000E+08,1.03078000000000E+09,8.66920000000000E+08,7.15130000000000E+08,2.03067000000000E+09,6.08060000000000E+08,6.09510000000000E+08,3.47970000000000E+08,6.23030000000000E+08,7.94650000000000E+08,5.70840000000000E+08,8.11330000000000E+08,7.74540000000000E+08,1.13047000000000E+09,1.17205000000000E+09,1.44864000000000E+09,1.00848000000000E+09,1.11624000000000E+09,1.26869000000000E+09,,
ZMB,Zambia,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),1.57841964867094E+01,2.93350599365229E+01,3.59487828916233E+01,2.87201574339898E+01,2.29932397480807E+01,6.27696289708794E+01,1.98423393140927E+01,1.66551713498119E+01,1.15431928843802E+01,2.09955992936118E+01,2.57859536413946E+01,1.64415452295556E+01,2.27576212744544E+01,1.83069077818156E+01,2.21740077703830E+01,1.77953883218052E+01,1.51946106433898E+01,1.00294089122699E+01,8.42992764010396E+00,1.10876916275379E+01,,
ZMB,Zambia,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),6.04079896153372E+01,1.08821646877307E+02,1.24603233509395E+02,1.02249568347878E+02,8.22688358222897E+01,2.27667472096953E+02,6.63681051516323E+01,6.47167375229876E+01,3.59396731562649E+01,6.26468371657844E+01,7.78949341287148E+01,5.46267521226432E+01,7.58715294594244E+01,7.08101589457410E+01,1.01003160888680E+02,1.02252022161221E+02,1.23287408921027E+02,8.36539093238341E+01,9.01676078377901E+01,9.97104154704126E+01,,
ZMB,Zambia,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",1.47330934723548E+01,4.68750691426314E+01,,,,,,1.93720252167061E+01,2.09557191745307E+01,1.60939837398374E+01,2.08040432143779E+01,1.71892494599178E+01,1.96269160059298E+01,4.34640133321179E+01,2.21449353177385E+01,1.11126733197804E+01,3.36911972751024E+00,2.51380137640193E+00,3.14823997910460E+00,3.75301014018043E+00,,
ZMB,Zambia,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.45122255672223E+01,4.66533386013433E+01,,,,,,1.83012608353034E+01,1.60397061673922E+01,1.49497226589150E+01,1.57248252868030E+01,1.31251270182315E+01,1.07868047406122E+01,1.52117948879481E+01,1.78862894417896E+01,6.49403431944820E+00,1.58777127433079E+00,1.26496158268562E+00,1.20000000000000E+00,2.60000000000000E+00,,
ZMB,Zambia,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),1.81772017167535E+00,1.76286165733156E+00,1.70176805622145E+00,1.81168543536533E+00,1.64184107831916E+00,1.56869057868260E+00,1.69216402808943E+00,1.67604712079588E+00,1.62867783252589E+00,1.66929456572297E+00,1.68489949246143E+00,1.72373659723357E+00,1.73392580162622E+00,1.77869540458966E+00,1.83775326395964E+00,1.88557039920332E+00,1.95815007021433E+00,2.09192503370399E+00,2.15066375653425E+00,,,
ZMB,Zambia,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",5.50139683534635E+02,5.67259487346103E+02,5.87624145572673E+02,5.51972202502334E+02,6.09072347625601E+02,6.37474345539710E+02,5.90959258913609E+02,5.96641936609244E+02,6.13994971890246E+02,5.99055445655814E+02,5.93507211839160E+02,5.80135040124403E+02,5.76725947016948E+02,5.62209806929082E+02,5.44142687492983E+02,5.30343497343039E+02,5.10686088472548E+02,4.78028602310565E+02,4.64972730842630E+02,,,
ZMB,Zambia,EN.ATM.CO2E.KT,CO2 emissions (kt),2.44388800000000E+03,2.41457600000000E+03,2.45488000000000E+03,2.49884800000000E+03,2.41824000000000E+03,2.16908800000000E+03,1.86864000000000E+03,2.38892800000000E+03,2.31198400000000E+03,1.80635200000000E+03,1.81734400000000E+03,1.90528000000000E+03,1.96756800000000E+03,2.12512000000000E+03,2.24236800000000E+03,2.36328000000000E+03,2.56113600000000E+03,2.68937600000000E+03,,,,
ZMB,Zambia,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),3.10925129894162E-01,2.99279174493913E-01,2.96751960532357E-01,2.94728613213397E-01,2.78195278535223E-01,2.43186131530892E-01,2.03957004260346E-01,2.53652321270062E-01,2.38790554652740E-01,1.81632087713415E-01,1.78143699954968E-01,1.82326498290641E-01,1.83997132455870E-01,1.94283168046548E-01,2.00346984772375E-01,2.06177346472565E-01,2.17967073485726E-01,2.23085054777185E-01,,,,
ZMB,Zambia,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),3.45099043618317E-01,3.29869502433604E-01,3.34245544092314E-01,3.11742698600513E-01,3.23576523197311E-01,2.91874449321052E-01,2.31022396915191E-01,2.80508087754512E-01,2.72780731655169E-01,2.05474535951903E-01,1.95355660901640E-01,1.90913249356890E-01,1.87805359428028E-01,1.88928618636803E-01,1.83959236207632E-01,1.78108594628515E-01,1.75984380924125E-01,1.69046585945896E-01,,,,
ZMB,Zambia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),5.70000000000000E+01,,,,,5.71000000000000E+01,,,,,5.72000000000000E+01,,,,,5.72000000000000E+01,,5.73000000000000E+01,,,,
ZMB,Zambia,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,2.17830423940000E+00,,2.12718204488778E+00,,,,,,2.16957605985037E+00,,,,,,,,,,,
ZMB,Zambia,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,9.69477417824701E+03,,,,,8.51549990868666E+03,,,,,7.49990344575676E+03,,,,,6.65262923188511E+03,,,,
ZMB,Zambia,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.73441070845576E-02,2.96989793963740E-02,4.83111279108782E-02,8.53124408054569E-02,2.83455746866678E-01,9.68998669027351E-01,1.15982803539772E+00,1.30071891530823E+00,2.20327527383009E+00,4.14882498175998E+00,8.28414554936961E+00,1.41558564795804E+01,2.18908497647192E+01,2.85873499104818E+01,3.46335269503179E+01,,
ZMB,Zambia,IT.MLT.MAIN.P2,Telephone lines (per 100 people),8.27691619891113E-01,8.54427853740692E-01,9.17256190330901E-01,9.19576183016961E-01,9.17861274861523E-01,8.60691504055853E-01,8.50639455809043E-01,8.21575855903301E-01,8.02515333000484E-01,8.35425231382443E-01,8.16796486655671E-01,8.19745785216499E-01,8.19883459729773E-01,8.08410038853525E-01,8.19474104889898E-01,8.25876684261930E-01,7.95116298960733E-01,7.61394245094142E-01,7.31848461809627E-01,7.10018889091310E-01,,
ZMB,Zambia,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,6.90242354444281E-03,8.96915686337822E-03,9.27752020834909E-03,9.55604727907480E-03,3.09851479922967E-02,1.50827818481737E-01,1.96048409057358E-01,2.39238456146395E-01,4.90205659135373E-01,1.00564431585606E+00,2.06389644707821E+00,2.92043570415006E+00,4.25528112301975E+00,4.97702935053749E+00,5.65445831420242E+00,6.41870719519236E+00,,
ZMB,Zambia,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),1.72782791508971E+01,1.10164296890868E+01,1.18917278526157E+01,1.50425464732243E+01,1.44030849461979E+01,1.59227974988893E+01,1.28451067193928E+01,1.45727491706831E+01,1.63920320645522E+01,1.61974943385072E+01,1.74346657642483E+01,1.90059064823594E+01,2.19019181755512E+01,2.53781575439071E+01,2.42833244372448E+01,2.37691669529563E+01,2.29881067505868E+01,2.38256886548534E+01,2.21931608413874E+01,2.21458175801356E+01,2.24054167777448E+01,
ZMB,Zambia,NE.TRD.GNFS.ZS,Trade (% of GDP),7.24650786541152E+01,7.18637413193832E+01,8.43537639613677E+01,7.39692925011943E+01,7.28291904921335E+01,7.57826351651893E+01,7.02014199256650E+01,6.41278598977393E+01,6.14724843826472E+01,6.49771980260796E+01,6.85968716649275E+01,7.23709306851639E+01,6.94829176449218E+01,6.97632158949514E+01,8.08503616084821E+01,7.12347034157433E+01,6.85908180244897E+01,7.68471916726767E+01,6.95047254833514E+01,6.77707310745268E+01,7.91313470495057E+01,
