Country Code,Country Name,Series Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ZWE,Zimbabwe,AG.LND.FRST.K2,Forest area (sq. km),2.21640000000000E+05,,,,,,,,,,1.88940000000000E+05,,,,,1.72590000000000E+05,,,,,1.56240000000000E+05,
ZWE,Zimbabwe,AG.LND.FRST.ZS,Forest area (% of land area),5.72935246219465E+01,,,,,,,,,,4.88406359053897E+01,,,,,4.46141915471113E+01,,,,,4.03877471888329E+01,
ZWE,Zimbabwe,DC.ODA.COMM.CD,Total bilateral ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DC.ODA.COMM.SA.CD,Total bilateral sector allocable ODA commitments (current US$),,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DC.ODA.SOCL.CD,"Bilateral, sector-allocable ODA to basic social services (current US$)",,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2009 US$)",,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DC.ODA.UNTD.CD,Bilateral ODA commitments that is untied (current US$),,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DC.ODA.UNTD.ZS,Bilateral ODA commitments that is untied (% of bilateral ODA commitments),,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DT.HPC.STTS,Status under enhanced HIPC initiative,,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DT.HPC.TOTL.PV,"Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2009 NPV terms",,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),3.34260000000000E+08,3.88680000000000E+08,7.88780000000000E+08,4.95620000000000E+08,5.58980000000000E+08,4.89100000000000E+08,3.69360000000000E+08,3.35510000000000E+08,2.61210000000000E+08,2.44500000000000E+08,1.75640000000000E+08,1.60930000000000E+08,1.98830000000000E+08,1.86970000000000E+08,1.87050000000000E+08,3.72720000000000E+08,2.78240000000000E+08,4.78670000000000E+08,6.12420000000000E+08,7.36760000000000E+08,,
ZWE,Zimbabwe,DT.ODA.ODAT.CD,Net official development assistance received (current US$),3.34260000000000E+08,3.88680000000000E+08,7.88780000000000E+08,4.95620000000000E+08,5.58980000000000E+08,4.89100000000000E+08,3.69360000000000E+08,3.35510000000000E+08,2.61210000000000E+08,2.44500000000000E+08,1.75640000000000E+08,1.60930000000000E+08,1.98830000000000E+08,1.86970000000000E+08,1.87050000000000E+08,3.72720000000000E+08,2.78240000000000E+08,4.78670000000000E+08,6.12420000000000E+08,7.36760000000000E+08,,
ZWE,Zimbabwe,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),3.92701131721046E+00,4.66183931722608E+00,1.21892799527731E+01,7.84728706869812E+00,8.47623273279659E+00,7.20826071453106E+00,4.48571076127420E+00,4.12957159607256E+00,4.34122290289412E+00,3.81017781662630E+00,2.81228000915884E+00,2.50220526381804E+00,3.30087824119524E+00,3.43745408619864E+00,3.47190211481849E+00,7.02247419962664E+00,5.69003570647002E+00,1.02846870227862E+01,1.55476009139375E+01,1.36588802373007E+01,,
ZWE,Zimbabwe,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),3.19279349085059E+01,3.61622836908268E+01,7.16701996876161E+01,4.40764558694735E+01,4.87346327840450E+01,4.18581814686958E+01,3.10613903117324E+01,2.77590263995779E+01,2.13028458762222E+01,1.97094194741640E+01,1.40405550128115E+01,1.27975990485896E+01,1.57704073616068E+01,1.48236464156380E+01,1.48477398215588E+01,2.96499331858261E+01,2.22065172584560E+01,3.83511420535371E+01,4.91842657572640E+01,5.90636902765370E+01,,
ZWE,Zimbabwe,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and income)",2.31453618377705E+01,2.30816903899054E+01,3.22985959518790E+01,3.09986235085798E+01,2.52043283797687E+01,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports, excluding workers' remittances)",1.94373196267606E+01,1.83143157180525E+01,2.56962296238794E+01,2.43347626167946E+01,1.86018556306297E+01,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,EN.ATM.CO2E.KT,CO2 emissions (kt),1.55097120000000E+04,1.58174880000000E+04,1.68947040000000E+04,1.61985440000000E+04,1.76384960000000E+04,1.51286560000000E+04,1.49930880000000E+04,1.43958560000000E+04,1.42419680000000E+04,1.58284800000000E+04,1.38865600000000E+04,1.25638560000000E+04,1.19299840000000E+04,1.06292640000000E+04,9.92577600000000E+03,1.07794880000000E+04,1.03471360000000E+04,9.62899200000000E+03,,,,
ZWE,Zimbabwe,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),1.48146076463134E+00,1.47163859301289E+00,1.53508812259840E+00,1.44056819693661E+00,1.53781105839716E+00,1.29474141939373E+00,1.26084621601189E+00,1.19106717161492E+00,1.16149630289073E+00,1.27595154175221E+00,1.11008317933675E+00,9.99112605432280E-01,9.46239035846962E-01,8.42725844758358E-01,7.87892753675877E-01,8.57509924279391E-01,8.25811724265353E-01,7.71476883916628E-01,,,,
ZWE,Zimbabwe,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),4.00000000000000E+00,,,,,3.70000000000000E+00,,,,,3.30000000000000E+00,,,,,1.79000000000000E+01,,1.79000000000000E+01,,,,
ZWE,Zimbabwe,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,3.42985318108000E+01,,,,,,,,,
ZWE,Zimbabwe,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),,,1.11396922864446E+03,,,,,1.01435326416150E+03,,,,,9.72414596656940E+02,,,,,9.82273803614944E+02,,,,
ZWE,Zimbabwe,ER.LND.PTLD.TR.ZS,Terrestrial protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,ER.MRN.PTMR.ZS,Marine protected areas (% of total surface area),,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.74412856174718E-02,1.54953513130516E-01,1.40263353313069E+00,2.12991318501965E+00,2.49703081865111E+00,2.68706072300850E+00,2.88315443263260E+00,3.37949799001848E+00,5.14776997850396E+00,6.77709003160901E+00,9.81996587680155E+00,1.32892847095336E+01,2.39778893557091E+01,,
ZWE,Zimbabwe,IT.MLT.MAIN.P2,Telephone lines (per 100 people),1.18122661115909E+00,1.17308781039456E+00,1.15460275548375E+00,1.13894266307808E+00,1.17535749309147E+00,1.30489521633131E+00,1.47153925267990E+00,1.75130655898526E+00,1.92900812951373E+00,1.92625114105044E+00,1.99368846515326E+00,2.01779480978750E+00,2.28314381163203E+00,2.38580868751148E+00,2.51629699194555E+00,2.60924503245089E+00,2.67813439396376E+00,2.76414732664890E+00,2.79483434302078E+00,3.08735166737320E+00,,
ZWE,Zimbabwe,IT.NET.USER.P2,Internet users (per 100 people),0.00000000000000E+00,,,,1.74369862192011E-03,7.70238464972935E-03,1.68190330906067E-02,3.30947231374062E-02,8.15544805950084E-02,1.61222245187435E-01,3.99696965748448E-01,7.95227679648891E-01,3.96580178081949E+00,6.34268445874226E+00,6.50903322837650E+00,7.95501534283809E+00,9.73690017801767E+00,1.08242406907324E+01,1.14122402340015E+01,1.13997187107383E+01,,
ZWE,Zimbabwe,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),1.73769430107354E+01,1.91033993565562E+01,2.02372653839393E+01,2.27748869046597E+01,2.37290558544342E+01,1.96601862855060E+01,1.85419401458860E+01,1.81339030938897E+01,2.07504609407926E+01,1.43962804747067E+01,1.35694244457991E+01,1.02664732005598E+01,5.00000000000000E+00,8.00000000000000E+00,4.49493066663347E+00,1.57212020170292E+00,1.64379689725761E+00,7.49757343117830E+00,5.49285747672006E+00,2.16938633084010E+00,5.30551937199633E-01,
ZWE,Zimbabwe,NE.TRD.GNFS.ZS,Trade (% of GDP),4.56592527744093E+01,5.10515487901120E+01,6.37124926338215E+01,6.31670643652728E+01,7.11195013993822E+01,7.91567931369169E+01,7.20696209907177E+01,8.22050640418837E+01,8.85140426546312E+01,7.18201558384168E+01,7.50029065919949E+01,6.80812671915508E+01,6.73466519204557E+01,7.13181641287794E+01,7.78411571294021E+01,7.83842740787728E+01,8.66494904444380E+01,8.87643370239214E+01,1.08849261888587E+02,9.79787965704948E+01,9.37055063420067E+01,
ZWE,Zimbabwe,NY.AGR.SUBS.GD.ZS,Agricultural support estimate (% of GDP),,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",9.01397622250572E+09,9.11434804662466E+09,7.63795400641676E+09,7.05902494799260E+09,7.10245693468983E+09,7.02030570877656E+09,7.94962411488313E+09,8.13023162989502E+09,7.27382809494798E+09,6.54107832734554E+09,6.01695399459193E+09,6.41139156811139E+09,5.83729536004702E+09,5.18539063554550E+09,5.28855183148508E+09,5.35802219560488E+09,5.15637225480476E+09,4.98236684437476E+09,3.95344554695200E+09,4.66220887857746E+09,5.84086004614124E+09,
ZWE,Zimbabwe,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",8.60000000000000E+02,8.50000000000000E+02,6.90000000000000E+02,6.30000000000000E+02,6.20000000000000E+02,6.00000000000000E+02,6.70000000000000E+02,6.70000000000000E+02,5.90000000000000E+02,5.30000000000000E+02,4.80000000000000E+02,5.10000000000000E+02,4.60000000000000E+02,4.10000000000000E+02,4.20000000000000E+02,4.30000000000000E+02,4.10000000000000E+02,4.00000000000000E+02,3.20000000000000E+02,3.70000000000000E+02,4.60000000000000E+02,
ZWE,Zimbabwe,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,9.43534359666658E+01,,,,,,,,,,,,,,,,,9.94841200000000E+01,,
ZWE,Zimbabwe,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,,9.65406234267688E+01,,,,,,,,,,,,,,,,,9.83949000000000E+01,,
ZWE,Zimbabwe,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",,,9.54113581173611E+01,,,,,,,,,,,,,,,,,9.89438300000000E+01,,
